company_name,high,low,last_price,prev_close,change,percent_gain
Guj Amb Exports,263.00,225.50,257.90,229.00,28.90,12.62
Kalyan Jeweller,119.25,104.25,117.95,105.00,12.95,12.33
EID Parry,551.00,480.25,543.85,484.70,59.15,12.2
Suzlon Energy,9.95,8.90,9.80,8.95,0.85,9.5
IIFL Finance,521.25,466.00,513.35,470.00,43.35,9.22
Trident,34.60,32.05,34.45,31.80,2.65,8.33
Asahi India,515.00,470.95,508.00,470.15,37.85,8.05
Chambal Fert,315.00,289.10,312.70,289.80,22.90,7.9
Sunteck Realty,371.40,326.70,365.75,339.00,26.75,7.89
NIIT,332.85,302.10,326.55,303.45,23.10,7.61
KPIT Tech,772.35,701.70,762.90,709.30,53.60,7.56
Rashtriya Chem,122.40,113.70,120.85,113.05,7.80,6.9
Thyrocare Techn,582.25,516.45,557.85,522.00,35.85,6.87
Bharat Elec,96.25,89.05,94.95,88.95,6.00,6.75
CenturyPlyboard,521.00,476.00,518.40,485.65,32.75,6.74
Greenpanel Ind,331.15,280.00,324.30,303.90,20.40,6.71
Gujarat Fluoro,"2,798.50","2,542.65","2,777.40","2,602.95",174.45,6.7
Vedant Fashions,"1,225.15","1,092.70","1,191.60","1,116.75",74.85,6.7
IRB Infra,291.40,267.65,286.20,268.35,17.85,6.65
Sharda Crop,501.55,460.55,495.10,464.25,30.85,6.65
Infibeam Avenue,17.40,15.95,17.05,16.00,1.05,6.56
Westlife Food,744.70,689.00,735.40,690.80,44.60,6.46
Triveni Engg,289.00,267.80,285.70,268.60,17.10,6.37
Ratnamani Metal,"2,249.00","2,071.55","2,220.40","2,092.30",128.10,6.12
MTAR Tech,"1,749.00","1,625.00","1,737.55","1,637.55",100.00,6.11
IRFC,33.25,31.40,33.05,31.20,1.85,5.93
BHEL,78.90,74.00,78.40,74.05,4.35,5.87
Tejas Networks,570.00,539.35,566.65,535.40,31.25,5.84
Nippon,254.00,236.80,248.95,235.40,13.55,5.76
Deepak Fert,658.80,609.60,647.30,612.30,35.00,5.72
Shree Renuka,52.70,49.35,51.80,49.00,2.80,5.71
Balaji Amines,"2,399.90","2,257.70","2,386.00","2,258.35",127.65,5.65
Bank of Baroda,168.90,159.40,167.85,158.90,8.95,5.63
Route,"1,268.35","1,165.90","1,230.25","1,164.70",65.55,5.63
PNB,54.00,50.55,53.55,50.70,2.85,5.62
Bank of India,84.30,78.20,82.70,78.35,4.35,5.55
Bank of Mah,30.85,28.70,30.40,28.85,1.55,5.37
Network 18,62.00,58.20,61.55,58.45,3.10,5.3
IDFC,86.00,81.50,85.75,81.50,4.25,5.21
IOB,28.95,26.75,28.45,27.05,1.40,5.18
Elgi Equipments,387.80,361.65,380.05,361.40,18.65,5.16
Shipping Corp,134.50,125.65,132.85,126.35,6.50,5.14
Cochin Shipyard,514.90,492.00,511.95,487.30,24.65,5.06
Century,715.50,657.65,702.35,668.75,33.60,5.02
REC,122.10,114.00,121.75,115.95,5.80,5
Fert and Chem,297.60,284.80,297.60,283.45,14.15,4.99
Can Fin Homes,569.80,541.30,567.55,540.70,26.85,4.97
TataTeleservice,79.25,73.00,79.25,75.50,3.75,4.97
Rail Vikas,76.10,72.40,76.10,72.50,3.60,4.97
PNB Housing Fin,559.80,525.90,554.25,528.05,26.20,4.96
Zomato,50.70,46.45,49.75,47.40,2.35,4.96
Cyient,885.00,840.55,879.85,838.55,41.30,4.93
Allcargo,419.95,401.25,419.05,399.50,19.55,4.89
Shree Cements,"23,743.60","22,704.20","23,684.55","22,585.35","1,099.20",4.87
Sterling Wilson,294.00,272.40,286.25,273.05,13.20,4.83
Godfrey Phillip,"1,928.80","1,835.00","1,923.20","1,835.30",87.90,4.79
V-Mart Retail,"2,863.45","2,633.30","2,773.30","2,648.65",124.65,4.71
Poly Medicure,910.00,846.00,895.35,855.55,39.80,4.65
Union Bank,79.30,75.00,78.50,75.05,3.45,4.6
Redington,186.40,177.45,184.90,176.85,8.05,4.55
HUDCO,48.95,46.40,48.50,46.40,2.10,4.53
Central Bank,30.15,28.55,30.05,28.75,1.30,4.52
Rajesh Exports,889.50,826.05,874.00,836.20,37.80,4.52
NCC,91.25,86.50,90.20,86.35,3.85,4.46
JK Paper,414.85,395.50,412.10,394.60,17.50,4.43
Indiabulls Real,73.95,69.15,72.25,69.20,3.05,4.41
INDUS TOWERS,158.40,145.65,153.30,146.95,6.35,4.32
SAIL,91.15,87.00,90.60,86.85,3.75,4.32
GNFC,553.40,526.00,550.40,527.65,22.75,4.31
Jubilant Pharmo,358.85,333.90,352.00,337.75,14.25,4.22
Ceat,"1,585.00","1,496.10","1,573.15","1,509.75",63.40,4.2
