company_name,high,low,last_price,prev_close,change,percent_gain
Shipping CorpAdd toWatchlist | PortfolioACTIONSShipping Corp closes above 200-Day Moving Average of 120.53 today.,129.00,112.85,126.50,115.05,11.45,9.95
"Equitas BankAdd toWatchlist | PortfolioACTIONSEquitas Bank closes above 30-Day,50-Day Moving Average today.NEWSEquitas Small Finance Bank forms long bullish candle, rallies for 5th straight day 2023-02-23 16:15:47View all",70.75,63.10,69.55,63.90,5.65,8.84
Infibeam AvenueAdd toWatchlist | PortfolioACTIONSBuy Infibeam Avenues; target of Rs 28: KR ChokseyNEWSBuy Infibeam Avenues; target of Rs 28: KR Choksey 2023-02-22 13:37:37View all,16.90,15.25,16.65,15.35,1.3,8.47
"Finolex CablesAdd toWatchlist | PortfolioACTIONSFinolex Cables Block Deal on NSE||Qty: 30,574||Deal Price: 613.60||Value (cr): 1.88||Time: 09:16am",720.00,662.60,713.90,661.50,52.4,7.92
"RaymondAdd toWatchlist | PortfolioACTIONSRaymond Q3 profit down 4.4% to Rs 97 crore; income up 17.6% to Rs 2,168 crore","1,335.00","1,233.05","1,318.45","1,227.40",91.05,7.42
Prism JohnsonAdd toWatchlist | PortfolioACTIONSPrism Johnson closes above 30-Day Moving Average of 104.16 today.,109.50,101.10,108.05,102.00,6.05,5.93
Karur VysyaAdd toWatchlist | PortfolioACTIONSKarur Vysya closes above 50-Day Moving Average of 107.52 today.,103.60,96.10,102.15,96.65,5.5,5.69
"RITESAdd toWatchlist | PortfolioACTIONSRITES closes above 30-Day,50-Day Moving Average today.RITES Dividend||Interim Dividend 60.00%||Announcement date: Jan 19, 2023||Record date: Feb 17, 2023||Ex-Div: Feb 17, 2023",332.00,312.65,329.00,312.05,16.95,5.43
"SonataAdd toWatchlist | PortfolioACTIONSBuy Sonata Software; target of Rs 725: ICICI DirectNEWSTrade Spotlight | Your game plan for Sonata Software, JBM Auto, Kalyan Jewellers today 2023-02-21 06:49:54View all",738.00,693.95,727.10,690.25,36.85,5.34
"Bharat DynamicsAdd toWatchlist | PortfolioACTIONSBharat Dynamics closes above  its 30-Day,50-Day,150-Day Moving Average today.",984.00,922.10,970.00,922.30,47.7,5.17
"EIHAdd toWatchlist | PortfolioACTIONSEIH closes above 30-Day,150-Day Moving Average today.",165.75,155.50,164.60,156.60,8,5.11
"Zensar TechAdd toWatchlist | PortfolioACTIONSZensar Tech closes above 200-Day Moving Average of 244.37 today.NEWSHot Stocks | Bet on Siemens, NTPC, Zensar Technologies for at least 10% return in short term 2023-02-22 07:05:24View all",304.40,280.70,300.60,286.10,14.5,5.07
Fert and ChemAdd toWatchlist | PortfolioACTIONSOnly Buyers in Fert and Chem on NSE,237.20,222.55,237.20,225.95,11.25,4.98
