company_name,high,low,last_price,prev_close,change,percent_gain
CSB Bank,254.25,224.45,245.55,225.50,20.05,8.89
Anupam Rasayan,816.35,746.10,807.40,748.65,58.75,7.85
Saregama India,369.50,320.50,344.45,320.40,24.05,7.51
Sterling Wilson,327.55,311.10,319.25,299.40,19.85,6.63
UTI AMC,689.30,650.00,675.00,637.15,37.85,5.94
Welspun India,68.80,63.15,67.65,63.95,3.7,5.79
Gland,"1,280.00","1,161.10","1,224.55","1,160.60",63.95,5.51
BASF,"2,398.40","2,249.20","2,369.95","2,251.40",118.55,5.27
HDFC AMC,"1,768.90","1,690.15","1,764.20","1,680.10",84.1,5.01
Adani Green Ene,891.05,865.65,891.05,848.65,42.4,5
New India Assur,105.90,100.00,104.55,99.85,4.7,4.71
CreditAccess Gr,965.00,911.70,950.25,908.95,41.3,4.54
Gujarat Fluoro,"3,148.25","2,982.25","3,096.95","2,964.00",132.95,4.49
Adani Total Gas,895.50,816.75,890.80,852.90,37.9,4.44
One 97 Paytm,586.25,564.80,583.90,559.20,24.7,4.42
Nazara,510.00,486.00,506.65,485.90,20.75,4.27
CG Consumer,295.95,281.25,292.25,280.70,11.55,4.11
Relaxo Footwear,825.00,786.15,818.35,786.15,32.2,4.1
Indiamart Inter,"5,139.95","4,900.50","5,102.30","4,904.25",198.05,4.04
Sapphire Foods,"1,297.00","1,170.50","1,224.65","1,177.40",47.25,4.01
Aarti Drugs,394.50,365.50,382.80,368.25,14.55,3.95
Shipping Corp,137.95,131.75,136.85,131.65,5.2,3.95
HDFC Life,484.00,466.50,482.75,465.25,17.5,3.76
Laxmi Organic,260.95,249.45,256.90,247.75,9.15,3.69
Guj Amb Exports,253.20,243.10,252.05,243.10,8.95,3.68
Finolex Ind,168.15,160.60,165.70,160.00,5.7,3.56
JK Lakshmi Cem,722.70,685.80,717.25,693.05,24.2,3.49
ABB India,"3,432.95","3,299.00","3,412.35","3,298.85",113.5,3.44
IDBI Bank,47.80,45.65,46.80,45.25,1.55,3.43
Home First,696.00,670.80,693.75,671.10,22.65,3.38
Shriram Finance,"1,288.65","1,218.10","1,260.50","1,219.70",40.8,3.35
IDFC,79.35,76.70,79.15,76.60,2.55,3.33
Zee Entertain,215.35,206.50,213.75,206.90,6.85,3.31
CG Power ,298.95,288.35,296.30,286.85,9.45,3.29
Bharat Rasayan,"9,112.00","8,762.15","9,090.55","8,801.65",288.9,3.28
RBL Bank,142.00,136.70,141.55,137.10,4.45,3.25
General Insuran,136.45,132.15,135.70,131.45,4.25,3.23
IGL,442.75,434.25,440.50,426.90,13.6,3.19
Reliance,"2,274.00","2,217.00","2,269.70","2,201.25",68.45,3.11
Varun Beverages,"1,350.00","1,302.95","1,343.45","1,302.95",40.5,3.11
Aegis Logistics,373.00,359.50,370.65,359.80,10.85,3.02
Brightcom Group,19.20,18.60,19.05,18.50,0.55,2.97
Sudarshan Chem,407.80,388.00,404.45,392.80,11.65,2.97
Sharda Crop,457.65,437.25,451.10,438.40,12.7,2.9
Bajaj Finance,"5,715.00","5,586.15","5,710.10","5,550.80",159.3,2.87
Rossari,599.75,585.05,597.20,580.75,16.45,2.83
eClerx Services,"1,430.60","1,339.90","1,396.55","1,358.35",38.2,2.81
