company_name,high,low,last_price,prev_close,change,percent_gain
PNC Infratech,289.60,271.15,282.00,265.10,16.9,6.37
Sun Pharma Adv,184.90,163.25,178.90,168.50,10.4,6.17
Torrent Power,514.90,485.55,511.35,487.20,24.15,4.96
Emami,370.70,350.95,365.40,349.65,15.75,4.5
CSB Bank,247.90,230.95,244.50,234.90,9.6,4.09
Manappuram Fin,119.45,113.75,118.80,114.50,4.3,3.76
Bank of India,72.80,69.15,71.55,69.05,2.5,3.62
PNB Housing Fin,492.90,464.30,485.00,468.35,16.65,3.56
Indian Bank,283.00,268.45,280.25,270.90,9.35,3.45
Equitas Bank,65.10,62.50,64.35,62.30,2.05,3.29
Swan Energy,213.00,192.65,209.05,202.45,6.6,3.26
Route,"1,369.00","1,316.60","1,360.40","1,319.85",40.55,3.07
IIFL Finance,443.10,417.00,436.05,423.20,12.85,3.04
Oil India,259.70,248.25,257.45,249.90,7.55,3.02
EIH,159.00,150.80,156.50,152.20,4.3,2.83
Hikal,276.00,262.00,269.50,262.55,6.95,2.65
Narayana Hruda,765.60,737.65,763.90,744.30,19.6,2.63
Tanla Platforms,544.80,493.00,523.05,509.80,13.25,2.6
Mahanagar Gas,981.80,959.50,979.90,956.35,23.55,2.46
Poonawalla Fin,284.50,274.95,282.40,275.65,6.75,2.45
Orient Electric,271.00,261.60,269.15,262.80,6.35,2.42
Escorts Kubota,"1,892.20","1,826.75","1,886.25","1,842.20",44.05,2.39
Indian Hotels,313.50,302.10,312.10,304.95,7.15,2.34
PB Fintech,599.70,581.50,594.30,580.70,13.6,2.34
Glenmark,451.90,438.30,449.55,439.35,10.2,2.32
IndusInd Bank,"1,038.40","1,007.20","1,036.15","1,012.85",23.3,2.3
Chola Invest.,737.00,717.85,732.15,715.85,16.3,2.28
Gujarat Pipavav,112.60,109.05,112.00,109.50,2.5,2.28
UPL,715.50,702.40,714.65,700.65,14,2
Trident,26.90,25.10,25.75,25.25,0.5,1.98
Zensar Tech,271.00,261.90,267.45,262.45,5,1.91
KPIT Tech,904.75,875.15,888.95,872.50,16.45,1.89
Zydus Wellness,"1,509.00","1,480.05","1,506.25","1,479.25",27,1.83
Motilal Oswal,577.00,552.20,563.30,553.55,9.75,1.76
Tube Investment,"2,548.00","2,482.55","2,538.75","2,495.50",43.25,1.73
360 ONE WAM,437.95,422.00,435.95,428.65,7.3,1.7
360 ONE WAM,437.95,422.00,435.95,428.65,7.3,1.7
SUMITOMO,413.15,401.55,410.10,403.30,6.8,1.69
Cummins,"1,615.75","1,580.25","1,612.25","1,585.55",26.7,1.68
Affle India,962.40,928.05,951.05,935.70,15.35,1.64
Relaxo Footwear,826.80,797.10,815.10,802.10,13,1.62
CCL Products,561.35,542.00,557.95,549.15,8.8,1.6
Fortis Health,263.50,255.15,259.15,255.15,4,1.57
Balkrishna Ind,"1,975.00","1,940.05","1,966.80","1,936.55",30.25,1.56
Endurance Techn,"1,212.00","1,179.00","1,209.00","1,191.15",17.85,1.5
M&M Financial,222.15,217.50,221.40,218.15,3.25,1.49
JK Lakshmi Cem,734.75,705.15,729.40,718.80,10.6,1.47
Mazagon Dock,644.20,620.30,633.30,624.15,9.15,1.47
IGL,437.50,426.45,436.45,430.35,6.1,1.42
Devyani Int,140.40,136.70,139.90,137.95,1.95,1.41
Allcargo,362.00,347.60,351.25,346.45,4.8,1.39
Amara Raja Batt,569.85,557.05,565.50,557.75,7.75,1.39
Ceat,"1,399.80","1,371.00","1,389.60","1,371.00",18.6,1.36
Shriram Finance,"1,234.30","1,202.15","1,225.90","1,209.40",16.5,1.36
Saregama India,318.25,306.05,314.50,310.35,4.15,1.34
NCC,103.70,98.65,102.80,101.45,1.35,1.33
Persistent,"4,448.35","4,356.45","4,425.05","4,367.10",57.95,1.33
Castrol,110.95,108.30,109.40,108.00,1.4,1.3
Bharat Dynamics,915.95,878.50,911.75,900.10,11.65,1.29
Thermax,"2,238.00","2,185.00","2,213.35","2,185.75",27.6,1.26
Schaeffler Ind,"2,860.00","2,797.25","2,831.10","2,796.15",34.95,1.25
Angel One,"1,149.85","1,122.25","1,138.80","1,125.40",13.4,1.19
NOCIL,208.45,203.65,206.45,204.05,2.4,1.18
Cera Sanitary,"6,230.00","6,080.55","6,216.05","6,145.10",70.95,1.15
Nuvoco Vistas,340.60,331.00,338.90,335.05,3.85,1.15
Shoppers Stop,644.90,627.80,642.90,635.90,7,1.1
APL Apollo,"1,212.00","1,186.00","1,202.75","1,190.05",12.7,1.07
Century,627.05,612.75,621.55,615.00,6.55,1.07
Page Industries,"38,323.90","37,673.55","37,889.15","37,495.10",394.05,1.05
Bosch,"18,650.00","18,365.80","18,532.20","18,341.85",190.35,1.04
Chola Fin Hold,522.00,512.65,521.05,515.70,5.35,1.04
Dr Reddys Labs,"4,547.10","4,480.00","4,526.80","4,485.65",41.15,0.92
SKF India,"4,119.85","3,960.10","4,098.60","4,061.30",37.3,0.92
Power Grid Corp,223.10,218.70,222.10,220.10,2,0.91
Deepak Fert,533.50,512.40,526.50,521.90,4.6,0.88
Cochin Shipyard,427.35,414.00,417.45,414.00,3.45,0.83
HDFC Bank,"1,582.90","1,564.10","1,580.20","1,567.45",12.75,0.81
Abbott India,"21,678.70","21,306.55","21,595.05","21,426.75",168.3,0.79
Hindalco,399.80,391.75,392.90,389.95,2.95,0.76
HDFC,"2,584.00","2,560.10","2,580.15","2,561.90",18.25,0.71
ICICI Bank,858.90,848.20,854.75,848.70,6.05,0.71
Anupam Rasayan,833.80,816.75,831.25,825.45,5.8,0.7
Grindwell Norto,"1,791.95","1,741.25","1,775.35","1,763.15",12.2,0.69
Vardhman Text,281.70,272.60,276.65,274.75,1.9,0.69
Polycab,"2,808.00","2,753.90","2,798.35","2,779.20",19.15,0.69
Dixon Technolog,"2,835.15","2,754.05","2,822.75","2,804.60",18.15,0.65
CG Power ,291.45,283.25,289.55,287.70,1.85,0.64
Karur Vysya,98.50,96.55,98.10,97.50,0.6,0.62
Zydus Life,489.00,478.20,484.75,481.90,2.85,0.59
AB Capital,149.10,143.60,146.80,146.00,0.8,0.55
ICICI Prudentia,422.85,417.00,421.75,419.45,2.3,0.55
Vedanta,275.80,270.00,274.25,272.75,1.5,0.55
JB Chemicals,"1,965.95","1,938.55","1,960.20","1,950.00",10.2,0.52
Torrent Pharma,"1,550.60","1,525.55","1,543.90","1,535.85",8.05,0.52
Natco Pharma,562.50,544.85,551.10,548.35,2.75,0.5
GlaxoSmithKline,"1,278.00","1,250.00","1,274.75","1,268.50",6.25,0.49
Godfrey Phillip,"1,820.00","1,750.00","1,797.40","1,788.55",8.85,0.49
Reliance,"2,256.50","2,237.00","2,248.00","2,237.55",10.45,0.47
Transport Corp,608.00,598.30,606.40,603.55,2.85,0.47
Triveni Engg,256.60,250.10,254.65,253.45,1.2,0.47
Supreme Ind,"2,500.45","2,432.00","2,472.15","2,460.90",11.25,0.46
Nazara,504.15,491.00,501.45,499.25,2.2,0.44
NTPC,173.00,170.50,172.00,171.25,0.75,0.44
ABB India,"3,385.00","3,303.00","3,338.65","3,324.60",14.05,0.42
Honeywell Autom,"35,824.30","35,126.00","35,678.15","35,528.85",149.3,0.42
Alkem Lab,"3,259.90","3,201.60","3,240.80","3,227.95",12.85,0.4
Dhani Services,25.70,23.60,25.05,24.95,0.1,0.4
Finolex Ind,167.20,162.00,165.25,164.60,0.65,0.39
Petronet LNG,224.90,220.05,223.70,222.85,0.85,0.38
Sapphire Foods,"1,188.45","1,137.60","1,169.50","1,165.05",4.45,0.38
Apollo Hospital,"4,343.50","4,245.05","4,333.60","4,318.10",15.5,0.36
Exide Ind,173.80,170.50,173.15,172.55,0.6,0.35
Tejas Networks,578.65,566.90,569.10,567.25,1.85,0.33
Bajaj Holdings,"6,118.00","6,000.20","6,061.85","6,042.35",19.5,0.32
Deepak Nitrite,"1,807.10","1,784.55","1,798.20","1,792.70",5.5,0.31
Krishna Inst.,"1,364.75","1,334.20","1,350.50","1,346.40",4.1,0.3
Zomato,50.55,49.00,50.25,50.10,0.15,0.3
Avenue Supermar,"3,355.00","3,300.00","3,316.45","3,306.80",9.65,0.29
Nestle,"19,019.95","18,850.00","18,946.00","18,891.00",55,0.29
HDFC AMC,"1,695.70","1,668.80","1,685.25","1,680.60",4.65,0.28
NLC India,72.85,69.70,72.10,71.90,0.2,0.28
Poly Medicure,989.10,947.05,971.80,969.05,2.75,0.28
Amber Enterpris,"1,805.95","1,780.00","1,795.70","1,790.95",4.75,0.27
AstraZeneca,"3,369.80","3,317.05","3,347.00","3,337.85",9.15,0.27
SIS,343.20,336.00,340.80,339.95,0.85,0.25
Coal India,211.25,208.45,208.90,208.40,0.5,0.24
GAIL,104.50,103.25,104.15,103.90,0.25,0.24
GE Shipping,644.00,610.45,635.75,634.20,1.55,0.24
Kajaria Ceramic,"1,027.45","1,010.50","1,024.80","1,022.30",2.5,0.24
Titan Company,"2,507.15","2,493.90","2,500.30","2,494.40",5.9,0.24
CRISIL,"3,120.00","3,065.00","3,114.05","3,106.90",7.15,0.23
Info Edge,"3,610.90","3,554.00","3,573.45","3,565.55",7.9,0.22
Rossari,595.95,573.50,591.90,590.60,1.3,0.22
Federal Bank,126.20,123.65,125.70,125.45,0.25,0.2
J. K. Cement,"2,865.80","2,825.20","2,844.85","2,839.20",5.65,0.2
Tata Steel,103.10,102.35,102.50,102.30,0.2,0.2
Tata Steel,103.10,102.35,102.50,102.30,0.2,0.2
Ipca Labs,794.00,781.25,791.55,790.05,1.5,0.19
Finolex Cables,808.00,786.70,796.60,795.20,1.4,0.18
Atul,"7,040.00","6,911.20","6,986.40","6,974.60",11.8,0.17
JBM Auto,642.30,615.00,628.00,626.95,1.05,0.17
JSW Steel,662.95,655.95,660.00,658.85,1.15,0.17
Aether Ind,879.05,855.55,867.15,866.00,1.15,0.13
KRBL,336.00,319.50,334.30,333.85,0.45,0.13
NHPC,39.55,38.70,39.05,39.00,0.05,0.13
Graphite India,261.65,258.70,259.95,259.70,0.25,0.1
Sun Pharma,987.80,976.30,984.20,983.45,0.75,0.08
3M India,"22,948.00","22,208.40","22,768.40","22,752.60",15.8,0.07
Symphony,"1,099.80","1,074.00","1,084.95","1,084.20",0.75,0.07
Indiabulls Hsg,95.90,92.15,92.95,92.90,0.05,0.05
Ashok Leyland,135.35,133.10,134.65,134.60,0.05,0.04
Just Dial,584.75,572.00,581.10,580.95,0.15,0.03
Muthoot Finance,976.70,959.85,966.30,966.00,0.3,0.03
Apollo Tyres,308.80,305.30,307.15,307.10,0.05,0.02
Cipla,894.25,886.40,889.50,889.30,0.2,0.02
Aurobindo Pharm,514.05,498.35,511.45,511.40,0.05,0.01
