company_name,high,low,last_price,prev_close,change,percent_gain
Intellect Desig,534.20,478.05,531.35,466.40,64.95,13.93
Zensar Tech,343.50,315.00,339.50,310.25,29.25,9.43
Dr Lal PathLab,"2,059.00","1,892.20","2,040.90","1,906.35",134.55,7.06
Eicher Motors,"3,647.50","3,514.95","3,626.35","3,405.30",221.05,6.49
Glenmark,615.35,581.05,612.95,580.15,32.8,5.65
Cera Sanitary,"7,358.00","6,832.00","7,201.10","6,818.05",383.05,5.62
Brightcom Group,14.20,14.20,14.20,13.55,0.65,4.8
Polycab,"3,400.00","3,235.45","3,388.95","3,235.25",153.7,4.75
Grindwell Norto,"2,050.00","1,890.80","1,990.15","1,900.30",89.85,4.73
Kajaria Ceramic,"1,181.95","1,129.95","1,174.90","1,131.20",43.7,3.86
Sanofi India,"6,455.00","6,138.05","6,443.80","6,205.50",238.3,3.84
Indoco Remedies,357.60,335.90,354.05,342.05,12,3.51
Chalet Hotels,426.15,401.05,417.45,403.55,13.9,3.44
Delta Corp,220.00,210.70,217.70,210.60,7.1,3.37
Max Healthcare,513.25,497.25,499.85,484.05,15.8,3.26
Caplin Labs,710.00,676.25,706.70,685.65,21.05,3.07
UNO Minda,567.15,546.30,564.90,548.90,16,2.91
Mahindra CIE,439.90,420.70,437.40,425.25,12.15,2.86
KRBL,415.00,394.10,404.60,394.10,10.5,2.66
Aarti Drugs,476.50,450.35,462.20,450.35,11.85,2.63
G R Infra,"1,073.90","1,023.05","1,061.80","1,035.00",26.8,2.59
Metropolis,"1,357.45","1,305.45","1,351.25","1,317.30",33.95,2.58
Siemens,"3,938.40","3,791.80","3,891.05","3,797.05",94,2.48
Dhani Services,39.35,37.10,37.60,36.75,0.85,2.31
V-Mart Retail,"2,172.50","2,075.05","2,142.50","2,095.60",46.9,2.24
Anupam Rasayan,"1,199.10","1,150.45","1,166.95","1,141.65",25.3,2.22
ABB India,"3,956.00","3,850.00","3,942.55","3,860.45",82.1,2.13
Kalyan Jeweller,109.80,106.10,108.55,106.45,2.1,1.97
M&M,"1,278.80","1,251.30","1,275.95","1,251.30",24.65,1.97
Kansai Nerolac,419.95,407.95,418.35,410.30,8.05,1.96
Aster DM Health,254.60,247.60,252.65,247.90,4.75,1.92
Hinduja Global,"1,163.45","1,132.95","1,146.85","1,125.20",21.65,1.92
Ceat,"1,879.90","1,821.75","1,865.75","1,831.55",34.2,1.87
Raymond,"1,622.00","1,568.35","1,614.50","1,584.80",29.7,1.87
Havells India,"1,322.90","1,278.00","1,305.95","1,282.05",23.9,1.86
EPL,190.50,183.00,188.75,185.35,3.4,1.83
NLC India,86.65,84.00,86.25,84.70,1.55,1.83
Sharda Crop,512.00,486.70,497.15,488.25,8.9,1.82
IOB,25.40,24.75,25.25,24.80,0.45,1.81
IndusInd Bank,"1,214.00","1,176.05","1,208.65","1,187.45",21.2,1.79
BSE Limited,559.95,545.00,549.70,540.15,9.55,1.77
Hatsun Agro,920.00,872.00,886.45,871.10,15.35,1.76
Capri Global,688.90,670.05,686.15,674.55,11.6,1.72
Astral Ltd,"1,587.30","1,542.00","1,573.50","1,547.30",26.2,1.69
Godrej Consumer,"1,003.80",977.40,999.20,982.60,16.6,1.69
Welspun India,94.00,90.40,93.85,92.30,1.55,1.68
Angel One,"1,324.00","1,285.15","1,320.25","1,298.75",21.5,1.66
Endurance Techn,"1,445.00","1,400.00","1,424.10","1,400.90",23.2,1.66
CG Power ,335.00,322.85,332.35,327.00,5.35,1.64
Axis Bank,913.60,894.00,910.65,895.95,14.7,1.64
CenturyPlyboard,571.95,558.20,569.25,560.55,8.7,1.55
360 ONE WAM,415.50,401.00,409.05,402.90,6.15,1.53
360 ONE WAM,415.50,401.00,409.05,402.90,6.15,1.53
Sonata,882.00,857.50,874.90,861.85,13.05,1.51
Avanti Feeds,375.20,365.80,373.35,367.85,5.5,1.5
Chola Fin Hold,784.00,741.95,776.40,765.25,11.15,1.46
Union Bank,71.90,70.05,71.45,70.45,1,1.42
JM Financial,66.65,64.30,66.00,65.10,0.9,1.38
Sundram,"1,087.00","1,063.95","1,078.85","1,064.35",14.5,1.36
CRISIL,"3,615.00","3,536.15","3,589.95","3,542.85",47.1,1.33
NCC,119.00,116.55,118.50,116.95,1.55,1.33
Cochin Shipyard,541.90,530.25,539.50,532.55,6.95,1.31
Thyrocare Techn,469.00,456.20,465.95,460.00,5.95,1.29
Edelweiss,65.75,63.50,64.90,64.10,0.8,1.25
Page Industries,"42,305.90","41,440.00","42,254.50","41,748.35",506.15,1.21
HUL,"2,640.00","2,586.40","2,623.40","2,592.40",31,1.2
Whirlpool,"1,337.75","1,311.90","1,327.55","1,311.80",15.75,1.2
Home First,738.00,716.95,725.35,716.95,8.4,1.17
IDFC First Bank,65.85,64.35,65.55,64.80,0.75,1.16
P and G,"14,095.75","13,815.15","13,940.70","13,780.25",160.45,1.16
Thermax,"2,370.00","2,326.55","2,365.55","2,339.25",26.3,1.12
ICICI Securitie,502.60,490.30,497.60,492.20,5.4,1.1
Lupin,776.05,757.05,773.60,765.45,8.15,1.06
Rossari,723.00,696.05,709.85,702.55,7.3,1.04
Emami,394.95,386.40,391.75,387.85,3.9,1.01
Trent,"1,490.00","1,462.30","1,486.15","1,471.40",14.75,1
BASF,"2,434.00","2,389.35","2,415.35","2,391.60",23.75,0.99
TCNS Clothing C,403.15,395.95,400.15,396.35,3.8,0.96
REC,133.35,130.35,132.85,131.60,1.25,0.95
DCM Shriram,845.00,830.00,838.25,830.50,7.75,0.93
Vijaya Diagnost,376.45,368.20,374.10,370.70,3.4,0.92
Vedant Fashions,"1,300.90","1,264.45","1,274.35","1,262.70",11.65,0.92
HINDPETRO,261.25,255.05,260.75,258.40,2.35,0.91
Schaeffler Ind,"2,854.45","2,805.45","2,839.80","2,814.35",25.45,0.9
AU Small Financ,715.70,697.00,712.95,706.65,6.3,0.89
HDFC Bank,"1,672.80","1,644.25","1,667.80","1,653.20",14.6,0.88
Indigo Paints,"1,319.95","1,251.05","1,301.05","1,289.80",11.25,0.87
Tata Motors,520.50,510.30,515.95,511.60,4.35,0.85
Tata Motors,520.50,510.30,515.95,511.60,4.35,0.85
SBI,580.75,571.55,578.15,573.45,4.7,0.82
AIA Engineering,"2,760.00","2,691.00","2,743.30","2,721.35",21.95,0.81
Happiest Minds ,862.00,842.90,855.55,848.65,6.9,0.81
Pidilite Ind,"2,613.75","2,555.00","2,587.25","2,566.45",20.8,0.81
Hero Motocorp,"2,614.00","2,586.20","2,605.90","2,585.45",20.45,0.79
Bajaj Finance,"6,733.65","6,604.70","6,714.40","6,663.45",50.95,0.76
Fortis Health,271.20,266.50,270.50,268.50,2,0.74
DLF,437.00,430.00,435.95,432.80,3.15,0.73
ICICI Lombard ,"1,126.15","1,106.00","1,118.20","1,110.10",8.1,0.73
