company_name,high,low,last_price,prev_close,change,percent_gain
Delhivery,378.60,344.20,378.60,344.20,34.40,9.99
ITI,117.45,108.80,115.10,106.10,9.00,8.48
Shree Renuka,58.80,53.95,58.35,54.05,4.30,7.96
Godfrey Phillip,"1,600.00","1,485.05","1,590.55","1,484.50",106.05,7.14
Adani Enterpris,"3,607.45","3,352.00","3,575.70","3,347.45",228.25,6.82
Adani Wilmar,724.30,672.15,716.45,672.40,44.05,6.55
Divis Labs,"3,850.15","3,615.05","3,836.45","3,608.90",227.55,6.31
Infibeam Avenue,19.15,16.80,18.80,17.70,1.10,6.21
JK Lakshmi Cem,588.90,549.05,585.75,552.90,32.85,5.94
Vijaya Diagnost,467.95,434.05,462.15,437.10,25.05,5.73
Varun Beverages,"1,114.00","1,052.40","1,107.00","1,049.05",57.95,5.52
Alembic Pharma,582.80,550.00,577.85,550.10,27.75,5.04
NTPC,182.95,173.50,181.80,173.10,8.70,5.03
Jubilant Pharmo,395.80,367.80,385.15,367.05,18.10,4.93
Balrampur Chini,332.45,313.05,330.65,315.95,14.70,4.65
Jindal Stainles,149.00,140.80,147.95,141.55,6.40,4.52
PNC Infratech,274.60,256.90,269.40,258.00,11.40,4.42
Metropolis,"1,776.10","1,692.30","1,765.25","1,691.80",73.45,4.34
Supreme Ind,"2,275.00","2,050.00","2,263.35","2,170.30",93.05,4.29
AstraZeneca,"3,477.00","3,304.45","3,434.45","3,299.55",134.90,4.09
AU Small Financ,616.60,592.00,613.60,589.55,24.05,4.08
TML - D,246.00,234.45,244.75,235.20,9.55,4.06
TML - D,246.00,234.45,244.75,235.20,9.55,4.06
Prince Pipes,554.30,528.70,548.80,528.20,20.60,3.9
Honeywell Autom,"41,000.00","39,294.50","40,866.50","39,332.85","1,533.65",3.9
Saregama India,403.40,377.25,389.55,375.40,14.15,3.77
Voltas,910.45,877.10,908.95,876.20,32.75,3.74
Birla Corp,963.00,929.40,957.05,923.00,34.05,3.69
Natco Pharma,627.90,601.30,622.85,600.75,22.10,3.68
Laurus Labs,472.00,456.95,470.85,454.55,16.30,3.59
ABB India,"3,194.20","3,060.00","3,152.15","3,049.75",102.40,3.36
Triveni Engg,262.10,252.05,259.90,251.45,8.45,3.36
J. K. Cement,"2,818.40","2,691.55","2,803.55","2,712.65",90.90,3.35
Brightcom Group,35.10,32.25,34.15,33.05,1.10,3.33
JSW Energy,351.40,339.00,348.35,337.65,10.70,3.17
Suzlon Energy,8.60,7.95,8.20,7.95,0.25,3.14
Power Grid Corp,235.90,229.80,235.15,228.15,7.00,3.07
Borosil Renew,584.40,560.70,580.90,563.70,17.20,3.05
NBCC (India),33.75,32.50,33.40,32.45,0.95,2.93
FSN E-Co Nykaa,"1,233.30","1,166.65","1,185.40","1,152.75",32.65,2.83
Torrent Power,520.00,505.30,518.55,504.35,14.20,2.82
APTUS VALUE,325.50,316.00,324.40,315.70,8.70,2.76
BHEL,76.65,73.60,76.05,74.05,2.00,2.7
Birlasoft,279.05,270.50,278.15,270.85,7.30,2.7
BASF,"3,001.25","2,825.65","2,943.55","2,868.80",74.75,2.61
Bank of India,62.35,60.10,61.80,60.25,1.55,2.57
Sunteck Realty,403.35,387.50,399.15,389.35,9.80,2.52
ICICI Prudentia,522.75,509.00,520.25,507.55,12.70,2.5
Prism Johnson,127.50,122.45,125.80,122.75,3.05,2.48
Petronet LNG,211.05,206.30,210.60,205.55,5.05,2.46
Thermax,"2,264.00","2,158.55","2,225.45","2,171.95",53.50,2.46
SRF,"2,639.70","2,547.05","2,620.45","2,558.65",61.80,2.42
Emami,489.00,471.50,485.45,474.05,11.40,2.4
Muthoot Finance,"1,079.00","1,042.10","1,067.80","1,043.45",24.35,2.33
Grasim,"1,770.00","1,728.20","1,761.30","1,721.70",39.60,2.3
Infosys,"1,575.00","1,547.10","1,573.00","1,537.65",35.35,2.3
Pidilite Ind,"2,650.00","2,590.05","2,643.75","2,584.40",59.35,2.3
Suven Pharma,410.90,396.10,407.50,398.35,9.15,2.3
Dr Reddys Labs,"4,580.00","4,435.25","4,535.30","4,433.70",101.60,2.29
Indian Hotels,342.65,334.50,341.40,333.80,7.60,2.28
Abbott India,"19,800.00","19,101.10","19,685.95","19,246.95",439.00,2.28
Phoenix Mills,"1,489.95","1,429.05","1,460.25","1,427.85",32.40,2.27
Alkem Lab,"3,240.00","3,141.85","3,226.65","3,155.20",71.45,2.26
United Brewerie,"1,697.00","1,649.20","1,690.20","1,652.85",37.35,2.26
L&T Infotech,"4,855.00","4,735.05","4,845.65","4,739.85",105.80,2.23
Asahi India,635.05,617.00,629.50,615.85,13.65,2.22
Adani Ports,844.90,823.55,841.80,823.55,18.25,2.22
Ajanta Pharma,"1,330.00","1,273.00","1,323.30","1,294.95",28.35,2.19
Cochin Shipyard,555.90,538.65,550.35,538.55,11.80,2.19
Glenmark,417.25,406.25,413.40,404.55,8.85,2.19
Interglobe Avi,"1,827.75","1,773.65","1,820.70","1,781.70",39.00,2.19
Torrent Pharma,"1,705.00","1,650.65","1,686.15","1,650.00",36.15,2.19
Adani Total Gas,"3,720.50","3,537.05","3,681.20","3,602.85",78.35,2.17
Berger Paints,599.50,586.35,598.50,585.80,12.70,2.17
Vedanta,288.80,281.00,286.90,280.80,6.10,2.17
Aurobindo Pharm,551.75,535.20,549.75,538.15,11.60,2.16
Hindalco,415.00,406.00,414.40,405.65,8.75,2.16
Ipca Labs,935.75,901.00,924.65,905.10,19.55,2.16
Ambuja Cements,545.60,533.75,544.05,532.95,11.10,2.08
TCS,"3,262.60","3,203.45","3,259.70","3,193.15",66.55,2.08
Tata Motors,422.40,412.80,421.35,412.75,8.60,2.08
Tata Motors,422.40,412.80,421.35,412.75,8.60,2.08
PI Industries,"3,325.00","3,235.60","3,309.05","3,241.95",67.10,2.07
Tata Power,231.35,226.50,230.60,226.00,4.60,2.04
Info Edge,"4,016.00","3,924.70","4,000.75","3,921.70",79.05,2.02
Sona BLW,485.90,467.20,474.70,465.40,9.30,2
Tube Investment,"2,828.00","2,731.40","2,797.80","2,743.25",54.55,1.99
Bharat Forge,853.00,832.55,850.70,834.20,16.50,1.98
Trent,"1,566.00","1,522.75","1,557.55","1,527.90",29.65,1.94
Persistent,"3,778.20","3,702.05","3,764.55","3,693.05",71.50,1.94
Sun Pharma,"1,049.00","1,019.15","1,036.60","1,016.90",19.70,1.94
Schaeffler Ind,"2,819.95","2,722.00","2,807.85","2,754.60",53.25,1.93
Dr Lal PathLab,"2,655.00","2,576.90","2,612.35","2,563.05",49.30,1.92
Home First,746.00,708.00,740.20,726.25,13.95,1.92
L&T Technology,"3,614.95","3,530.25","3,606.85","3,538.90",67.95,1.92
Equitas Bank,52.10,50.25,51.05,50.10,0.95,1.9
Sapphire Foods,"1,494.00","1,452.00","1,474.05","1,447.15",26.90,1.86
JSW Steel,688.25,670.00,686.35,673.95,12.40,1.84
General Insuran,126.50,123.25,126.00,123.75,2.25,1.82
HCL Tech,"1,061.85","1,045.00","1,060.05","1,041.15",18.90,1.82
Mahindra CIE,306.70,300.35,305.75,300.35,5.40,1.8
Astral Ltd,"2,076.90","2,020.80","2,067.05","2,031.15",35.90,1.77
Grindwell Norto,"2,158.95","2,110.95","2,140.15","2,103.00",37.15,1.77
KNR Construct,227.05,221.35,226.55,222.60,3.95,1.77
Procter&Gamble,"4,109.80","4,040.05","4,102.10","4,032.85",69.25,1.72
GMM Pfaudler,"1,907.00","1,825.05","1,877.20","1,845.55",31.65,1.71
Shoppers Stop,766.00,743.55,762.40,749.55,12.85,1.71
Asian Paints,"3,164.40","3,110.50","3,159.40","3,107.70",51.70,1.66
Bajaj Auto,"3,744.20","3,663.00","3,732.70","3,671.85",60.85,1.66
MphasiS,"2,015.50","1,977.10","2,011.30","1,978.50",32.80,1.66
Jubilant Food,622.95,610.50,620.00,609.95,10.05,1.65
SAIL,80.25,78.40,80.00,78.70,1.30,1.65
Dabur India,565.00,554.85,563.80,554.70,9.10,1.64
Firstsource Sol,105.75,103.15,105.50,103.85,1.65,1.59
ACC,"2,436.40","2,386.55","2,428.05","2,390.30",37.75,1.58
UltraTechCement,"6,850.00","6,718.20","6,820.90","6,714.95",105.95,1.58
SJVN,35.90,34.90,35.60,35.05,0.55,1.57
Sundram,960.00,931.55,951.05,936.45,14.60,1.56
CHEMPLAST SANMA,383.45,371.00,381.00,375.20,5.80,1.55
Bharat Elec,110.40,106.75,108.50,106.85,1.65,1.54
Wipro,393.00,386.60,392.40,386.55,5.85,1.51
UNO Minda,548.90,531.00,544.65,536.70,7.95,1.48
PB Fintech,404.85,383.60,391.75,386.05,5.70,1.48
HDFC,"2,518.00","2,474.95","2,506.20","2,469.80",36.40,1.47
Lupin,714.80,700.00,709.25,699.00,10.25,1.47
IWML,"1,834.00","1,776.25","1,796.50","1,771.40",25.10,1.42
Gujarat Pipavav,87.70,85.15,87.20,86.00,1.20,1.4
Wockhardt,239.20,233.90,236.70,233.45,3.25,1.39
Solar Ind,"4,098.85","3,941.00","3,955.80","3,901.85",53.95,1.38
TataTeleservice,104.95,101.60,103.35,101.95,1.40,1.37
TTK Prestige,951.00,920.00,944.05,931.30,12.75,1.37
NLC India,78.65,77.25,78.10,77.05,1.05,1.36
V-Guard Ind,260.05,251.80,259.45,256.00,3.45,1.35
Max Financial,720.05,703.00,717.40,708.05,9.35,1.32
Marico,533.00,522.00,531.40,524.55,6.85,1.31
Tata Inv Corp,"2,421.00","2,354.05","2,377.00","2,346.35",30.65,1.31
ABSL AMC,415.00,408.00,413.10,407.80,5.30,1.3
JB Chemicals,"2,010.00","1,977.55","1,999.00","1,973.50",25.50,1.29
Bajaj Finserv,"1,714.70","1,691.00","1,709.05","1,687.50",21.55,1.28
Bajaj Finserv,"1,714.70","1,691.00","1,709.05","1,687.50",21.55,1.28
CSB Bank,231.40,227.05,230.15,227.25,2.90,1.28
EngineersInd,71.80,70.30,71.15,70.25,0.90,1.28
V-Mart Retail,"3,078.00","2,960.00","3,048.05","3,010.20",37.85,1.26
Lux Industries,"1,748.95","1,717.00","1,744.70","1,723.15",21.55,1.25
Caplin Labs,744.40,722.80,733.75,724.85,8.90,1.23
Macrotech Dev,"1,011.90",981.00,"1,002.15",990.15,12.00,1.21
AB Capital,119.90,117.15,118.25,116.85,1.40,1.2
Jamna Auto,114.50,112.70,113.95,112.60,1.35,1.2
Aditya Birla F,359.50,353.00,358.15,353.90,4.25,1.2
Vodafone Idea,8.70,8.55,8.65,8.55,0.10,1.17
CDSL,"1,241.95","1,223.85","1,237.45","1,223.55",13.90,1.14
KPIT Tech,722.95,708.05,717.35,709.25,8.10,1.14
NALCO,71.55,70.00,71.00,70.20,0.80,1.14
Hind Copper,104.45,102.35,104.15,103.00,1.15,1.12
Jindal Steel,467.80,454.35,465.00,459.85,5.15,1.12
Elgi Equipments,506.50,485.00,490.05,484.65,5.40,1.11
HDFC Bank,"1,529.00","1,498.90","1,513.25","1,496.70",16.55,1.11
Nestle,"20,734.85","20,370.00","20,589.95","20,363.40",226.55,1.11
Godrej Consumer,839.95,827.60,838.40,829.30,9.10,1.1
Sheela Foam,"2,850.30","2,795.00","2,807.65","2,777.10",30.55,1.1
DLF,392.00,385.00,389.65,385.50,4.15,1.08
IOB,18.95,18.50,18.75,18.55,0.20,1.08
Balaji Amines,"3,069.80","3,030.00","3,057.40","3,025.00",32.40,1.07
Ramco Cements,732.85,719.65,729.50,721.80,7.70,1.07
Hitachi Energy,"3,210.00","3,152.10","3,197.65","3,164.20",33.45,1.06
Bharat Dynamics,979.45,952.00,968.35,958.20,10.15,1.06
Page Industries,"50,799.90","49,290.00","50,289.70","49,768.65",521.05,1.05
Vardhman Text,343.45,331.35,340.00,336.55,3.45,1.03
MOTHERSON,66.70,64.50,65.15,64.50,0.65,1.01
SUMITOMO,504.20,490.55,497.35,492.60,4.75,0.96
Aster DM Health,254.95,247.25,249.65,247.30,2.35,0.95
JK Paper,422.40,411.60,418.75,414.80,3.95,0.95
JM Financial,71.50,68.60,69.10,68.45,0.65,0.95
Sudarshan Chem,417.95,413.30,415.35,411.45,3.90,0.95
Bajaj Finance,"7,236.00","7,160.00","7,209.50","7,144.10",65.40,0.92
Ceat,"1,572.85","1,545.00","1,556.10","1,541.95",14.15,0.92
COFORGE LTD.,"3,868.95","3,812.00","3,844.75","3,809.60",35.15,0.92
Polyplex Corp,"1,710.00","1,677.85","1,693.25","1,677.85",15.40,0.92
Dilip Buildcon,218.90,215.30,217.15,215.20,1.95,0.91
India Cements,244.30,240.05,243.30,241.10,2.20,0.91
NIIT,284.00,279.30,281.45,278.95,2.50,0.9
Orient Electric,272.90,269.25,271.20,268.80,2.40,0.89
Adani Green Ene,"2,130.00","2,086.40","2,121.25","2,102.90",18.35,0.87
Indiamart Inter,"4,666.70","4,569.00","4,631.35","4,591.45",39.90,0.87
BSE Limited,599.00,591.55,595.20,590.10,5.10,0.86
eClerx Services,"1,349.00","1,312.05","1,330.95","1,319.70",11.25,0.85
Route,"1,337.85","1,311.00","1,321.05","1,310.05",11.00,0.84
Tata Comm,"1,275.00","1,255.60","1,269.50","1,258.95",10.55,0.84
Tata Chemicals,"1,150.60","1,133.55","1,142.20","1,132.80",9.40,0.83
ONGC,135.70,134.10,135.15,134.05,1.10,0.82
Tata Coffee,219.90,216.75,218.75,217.00,1.75,0.81
CG Power ,263.95,257.30,262.10,260.00,2.10,0.81
Bajaj Holdings,"6,765.00","6,648.05","6,713.50","6,660.60",52.90,0.79
Radico Khaitan,"1,054.25","1,037.25","1,050.00","1,041.85",8.15,0.78
Star Health,731.00,710.00,719.15,713.55,5.60,0.78
Apollo Tyres,294.10,288.15,292.95,290.70,2.25,0.77
HDFC Life,550.90,539.90,544.55,540.45,4.10,0.76
JBM Auto,414.95,406.95,410.00,406.90,3.10,0.76
HDFC AMC,"2,097.95","2,073.10","2,090.25","2,074.60",15.65,0.75
CreditAccess Gr,993.00,965.50,982.40,975.20,7.20,0.74
IndusInd Bank,"1,159.90","1,145.00","1,151.15","1,142.65",8.50,0.74
Happiest Minds ,985.00,971.45,977.40,970.35,7.05,0.73
Lakshmi Machine,"13,245.00","12,775.90","12,971.45","12,879.50",91.95,0.71
Motilal Oswal,694.00,683.90,689.90,685.05,4.85,0.71
Tech Mahindra,"1,080.00","1,047.15","1,070.90","1,063.40",7.50,0.71
NHPC,43.45,42.55,42.90,42.60,0.30,0.7
One 97 Paytm,659.50,640.00,642.90,638.40,4.50,0.7
SKF India,"4,444.70","4,398.40","4,429.35","4,398.40",30.95,0.7
GSFC,125.25,123.05,123.90,123.05,0.85,0.69
HUDCO,36.70,36.35,36.55,36.30,0.25,0.69
Kajaria Ceramic,"1,099.00","1,064.10","1,088.70","1,081.25",7.45,0.69
Shipping Corp,132.30,130.10,130.90,130.00,0.90,0.69
Raymond,"1,215.00","1,178.15","1,205.35","1,197.15",8.20,0.68
Vinati Organics,"1,949.40","1,912.40","1,920.35","1,907.35",13.00,0.68
AIA Engineering,"2,737.00","2,681.75","2,699.65","2,681.75",17.90,0.67
Bosch,"16,650.00","16,380.20","16,599.30","16,488.60",110.70,0.67
Poonawalla Fin,318.00,313.10,316.50,314.40,2.10,0.67
