company_name,high,low,last_price,prev_close,change,percent_gain
Yes Bank,16.80,15.30,16.65,15.35,1.30,8.47
Sobha,471.00,436.00,467.10,434.75,32.35,7.44
Graphite India,288.70,269.90,286.15,267.90,18.25,6.81
Lupin,704.50,658.50,698.55,658.15,40.40,6.14
JBM Auto,792.80,741.95,785.35,741.60,43.75,5.9
Olectra Greente,697.95,651.60,678.70,650.65,28.05,4.31
Sundram,"1,070.00","1,018.05","1,058.90","1,016.30",42.60,4.19
Bajaj Holdings,"6,651.00","6,097.30","6,349.65","6,097.30",252.35,4.14
CreditAccess Gr,991.95,943.55,980.10,943.00,37.10,3.93
Indian Bank,324.70,308.00,321.55,309.50,12.05,3.89
BHEL,75.70,73.00,75.45,72.65,2.80,3.85
Vardhman Text,319.70,304.05,316.70,305.05,11.65,3.82
Timken,"3,048.00","2,900.00","3,020.70","2,910.05",110.65,3.8
ITI,99.60,91.05,94.70,91.25,3.45,3.78
PI Industries,"3,162.00","3,049.05","3,153.30","3,041.65",111.65,3.67
Biocon,234.30,222.45,232.10,223.95,8.15,3.64
Sun Pharma Adv,197.95,185.60,194.45,187.70,6.75,3.6
Persistent,"4,382.00","4,180.00","4,355.60","4,204.55",151.05,3.59
Engineers India,78.25,75.30,77.60,74.95,2.65,3.54
COFORGE LTD.,"4,059.00","3,851.45","4,028.20","3,891.90",136.30,3.5
Aarti Drugs,431.15,410.30,428.35,414.05,14.30,3.45
Divis Labs,"3,282.65","3,153.05","3,270.60","3,162.65",107.95,3.41
Aurobindo Pharm,579.00,557.95,577.45,558.55,18.90,3.38
Wockhardt,175.00,167.50,174.05,168.40,5.65,3.36
Jubilant Pharmo,318.55,304.40,316.40,306.20,10.20,3.33
Bandhan Bank,218.00,205.30,213.30,206.70,6.60,3.19
APL Apollo,"1,235.00","1,181.00","1,228.20","1,190.20",38.00,3.19
Dhani Services,39.65,36.55,37.70,36.55,1.15,3.15
HEG,"1,063.95","1,027.40","1,053.45","1,022.20",31.25,3.06
ZFCVINDIA,"10,683.25","9,969.00","10,272.60","9,968.95",303.65,3.05
Glenmark,506.80,488.20,504.95,490.30,14.65,2.99
IDBI Bank,53.70,51.40,53.20,51.70,1.50,2.9
Ceat,"1,497.00","1,408.95","1,444.45","1,404.75",39.70,2.83
Zydus Life,518.50,499.00,515.90,502.10,13.80,2.75
MphasiS,"1,789.00","1,733.75","1,783.80","1,736.55",47.25,2.72
Pidilite Ind,"2,437.00","2,352.00","2,432.50","2,369.70",62.80,2.65
Cyient,"1,120.00","1,079.00","1,108.65","1,080.15",28.50,2.64
Rail Vikas,77.20,73.25,75.00,73.10,1.90,2.6
IRFC,28.65,27.50,28.25,27.55,0.70,2.54
Just Dial,698.00,662.65,665.95,649.65,16.30,2.51
IDFC,81.95,78.25,80.35,78.40,1.95,2.49
Sheela Foam,"1,067.20","1,036.00","1,061.65","1,036.00",25.65,2.48
IDFC First Bank,57.25,55.10,56.50,55.15,1.35,2.45
Redington,173.50,168.20,172.40,168.30,4.10,2.44
ICICI Lombard ,"1,137.95","1,093.55","1,130.75","1,104.10",26.65,2.41
Poonawalla Fin,312.40,302.70,309.40,302.20,7.20,2.38
Ajanta Pharma,"1,322.95","1,229.85","1,298.80","1,268.90",29.90,2.36
Jubilant Food,447.75,434.00,440.65,431.00,9.65,2.24
CHEMPLAST SANMA,421.50,405.10,417.80,408.90,8.90,2.18
Godrej Prop,"1,314.90","1,280.00","1,307.25","1,279.30",27.95,2.18
Torrent Power,532.90,522.25,531.30,519.95,11.35,2.18
Delhivery,333.40,323.25,330.15,323.20,6.95,2.15
Manappuram Fin,130.95,126.85,130.50,127.75,2.75,2.15
Apollo Tyres,335.20,324.75,332.20,325.35,6.85,2.11
Restaurant Bran,95.50,93.10,95.00,93.05,1.95,2.1
Uflex,396.95,384.00,394.90,386.80,8.10,2.09
Granules India,301.60,294.25,300.70,294.55,6.15,2.09
HCL Tech,"1,066.40","1,045.20","1,063.85","1,042.20",21.65,2.08
Nestle,"20,700.00","20,200.00","20,661.25","20,244.40",416.85,2.06
DLF,427.00,415.80,423.85,415.35,8.50,2.05
Privi Special,"1,114.90","1,085.00","1,109.40","1,087.10",22.30,2.05
Balkrishna Ind,"2,132.00","2,055.00","2,125.40","2,083.55",41.85,2.01
IndusInd Bank,"1,149.50","1,127.05","1,146.90","1,124.35",22.55,2.01
Sterling Wilson,305.90,295.65,303.80,297.80,6.00,2.01
Mastek,"1,609.85","1,563.35","1,601.85","1,570.55",31.30,1.99
Cipla,925.50,897.00,924.25,906.45,17.80,1.96
Max Financial,652.00,632.80,649.90,637.50,12.40,1.95
Sona BLW,470.90,458.40,468.10,459.20,8.90,1.94
Indiabulls Real,58.90,56.90,58.20,57.10,1.10,1.93
Vaibhav Global,326.90,304.10,312.50,306.75,5.75,1.87
Birlasoft,263.85,256.00,263.35,258.55,4.80,1.86
Ipca Labs,831.20,809.85,829.65,814.70,14.95,1.84
Pfizer,"3,817.95","3,706.20","3,776.15","3,708.25",67.90,1.83
Wipro,368.90,359.25,367.90,361.35,6.55,1.81
ICICI Securitie,472.00,459.30,465.10,456.90,8.20,1.79
GE Shipping,661.00,625.55,657.10,645.65,11.45,1.77
MRF,"87,495.00","85,487.45","86,821.35","85,376.35","1,445.00",1.69
Alkyl Amines,"2,440.00","2,400.00","2,432.85","2,392.55",40.30,1.68
Navin Fluorine,"4,625.00","4,522.20","4,608.25","4,531.90",76.35,1.68
Quess Corp,373.85,363.10,370.80,364.70,6.10,1.67
Aether Ind,967.80,921.05,947.75,932.30,15.45,1.66
Angel One,"1,358.85","1,290.00","1,297.45","1,276.80",20.65,1.62
NALCO,82.90,81.15,82.70,81.40,1.30,1.6
CenturyPlyboard,518.00,503.95,511.70,503.70,8.00,1.59
Laurus Labs,312.20,300.05,309.30,304.60,4.70,1.54
Raymond,"1,422.20","1,386.65","1,406.50","1,385.20",21.30,1.54
Bharat Elec,103.85,101.20,102.95,101.40,1.55,1.53
Amara Raja Batt,590.00,581.00,589.35,580.60,8.75,1.51
Bharat Forge,793.00,772.85,789.30,777.95,11.35,1.46
Praj Industries,343.80,338.30,342.25,337.50,4.75,1.41
Hind Zinc,324.90,319.00,323.30,318.85,4.45,1.4
CAMS,"2,147.00","2,100.05","2,129.15","2,100.05",29.10,1.39
SIS,380.00,371.15,379.40,374.25,5.15,1.38
BSE Limited,474.50,460.95,467.20,460.90,6.30,1.37
General Insuran,147.00,142.35,146.40,144.45,1.95,1.35
Shriram Finance,"1,345.00","1,319.00","1,339.20","1,321.35",17.85,1.35
CCL Products,561.45,548.00,559.20,551.85,7.35,1.33
Balrampur Chini,410.80,404.00,409.00,403.70,5.30,1.31
KRBL,347.40,337.80,343.15,338.75,4.40,1.3
Trident,31.75,31.00,31.40,31.00,0.40,1.29
Home First,739.00,720.00,729.35,720.20,9.15,1.27
Triveni Engg,280.45,272.05,275.80,272.35,3.45,1.27
United Spirits,785.45,762.00,775.00,765.45,9.55,1.25
Dr Reddys Labs,"4,918.00","4,845.50","4,912.40","4,852.30",60.10,1.24
Tata Elxsi,"6,396.00","6,295.00","6,367.30","6,289.75",77.55,1.23
CG Consumer,296.50,287.50,294.90,291.40,3.50,1.2
CSB Bank,290.40,281.60,289.00,285.60,3.40,1.19
Interglobe Avi,"1,970.00","1,936.35","1,960.00","1,937.00",23.00,1.19
Phoenix Mills,"1,355.25","1,325.00","1,350.45","1,334.75",15.70,1.18
IRCTC,604.90,596.20,603.55,596.65,6.90,1.16
PVR,"1,551.40","1,522.00","1,547.25","1,529.80",17.45,1.14
Coal India,232.40,229.25,232.20,229.60,2.60,1.13
Shyam Metalics,296.00,292.50,295.55,292.25,3.30,1.13
Relaxo Footwear,820.00,803.00,817.35,808.35,9.00,1.11
Intellect Desig,439.25,427.40,437.55,432.80,4.75,1.1
Info Edge,"3,718.00","3,657.15","3,704.55","3,664.15",40.40,1.1
APTUS VALUE,266.85,257.05,258.75,255.95,2.80,1.09
Alembic Pharma,540.10,528.85,536.80,531.05,5.75,1.08
Jindal Steel,568.50,561.35,566.50,560.45,6.05,1.08
Eicher Motors,"3,278.00","3,215.85","3,263.55","3,229.00",34.55,1.07
Thyrocare Techn,498.00,490.90,494.65,489.40,5.25,1.07
ABSL AMC,344.20,339.00,342.85,339.25,3.60,1.06
Alkem Lab,"3,400.00","3,334.75","3,366.85","3,332.35",34.50,1.04
Lux Industries,"1,216.00","1,206.05","1,214.20","1,201.75",12.45,1.04
SBI Card,775.00,758.80,770.05,762.15,7.90,1.04
Delta Corp,193.70,191.55,193.30,191.35,1.95,1.02
360 ONE WAM,414.95,403.50,407.50,403.40,4.10,1.02
360 ONE WAM,414.95,403.50,407.50,403.40,4.10,1.02
Syngene Intl,622.00,605.90,617.85,611.60,6.25,1.02
UNO Minda,520.15,505.70,517.35,512.20,5.15,1.01
