company_name,high,low,last_price,prev_close,change,percent_gain
Swan EnergyAdd toWatchlist | PortfolioACTIONSSwan Energy closes above 30-Day Moving Average of 284.21 today.Swan Energy closes above 30-Day Moving Average of 284.21 today.,301.60,278.00,298.15,277.60,20.55,7.4
MRPLAdd toWatchlist | PortfolioACTIONSMRPL closes above 30-Day Moving Average of 53.87 today.,60.00,53.75,58.85,54.80,4.05,7.39
eClerx ServicesAdd toWatchlist | PortfolioACTIONSeClerx Services closes above 150-Day Moving Average of 1413.80 today.,"1,521.00","1,348.05","1,484.85","1,397.65",87.2,6.24
"Adani Green EneAdd toWatchlist | PortfolioACTIONSOnly Buyers in Adani Green Ene on NSEAdani Green Ene Block Deal on NSE||Qty: 17,034||Deal Price: 682.70||Value (cr): 1.16||Time: 09:16am",682.70,663.25,682.70,650.20,32.5,5
"Adani Total GasAdd toWatchlist | PortfolioACTIONSOnly Buyers in Adani Total Gas on NSEAdani Total Gas Block Deal on NSE||Qty: 13,378||Deal Price: 929.00||Value (cr): 1.24||Time: 09:16am",949.60,865.55,949.60,904.40,45.2,5
"Adani TransAdd toWatchlist | PortfolioACTIONSOnly Buyers in Adani Trans on NSEAdani Trans Block Deal on NSE||Qty: 26,191||Deal Price: 904.45||Value (cr): 2.37||Time: 09:16am",904.45,863.45,904.45,861.40,43.05,5
"Olectra GreenteAdd toWatchlist | PortfolioACTIONSOlectra Greente Block Deal on NSE||Qty: 14,942||Deal Price: 710.80||Value (cr): 1.06||Time: 09:16amOnly Buyers in Olectra Greente on NSE",743.35,677.00,704.10,670.80,33.3,4.96
"Poly MedicureAdd toWatchlist | PortfolioACTIONSPoly Medicure closes above 30-Day,50-Day Moving Average today.","1,011.00",925.55,989.25,946.95,42.3,4.47
Engineers IndiaAdd toWatchlist | PortfolioACTIONSEngineers India closes above 150-Day Moving Average of 74.03 today.,80.70,76.15,80.10,77.45,2.65,3.42
Prism JohnsonAdd toWatchlist | PortfolioACTIONSPrism Johnson closes below 50-Day Moving Average of 104.32 today.,107.95,103.70,107.20,104.00,3.2,3.08
"JBM AutoAdd toWatchlist | PortfolioACTIONSJBM Auto Block Deal on NSE||Qty: 17,152||Deal Price: 647.90||Value (cr): 1.11||Time: 09:17am",672.90,627.00,643.30,625.50,17.8,2.85
RouteAdd toWatchlist | PortfolioACTIONSRoute closes above 200-Day Moving Average of 1320.04 today.Route closes above 200-Day Moving Average of 1320.04 today.,"1,358.00","1,282.30","1,348.30","1,311.05",37.25,2.84
"Shree CementsAdd toWatchlist | PortfolioACTIONSShree Cements Dividend||Interim Dividend 450.00%||Announcement date: Jan 16, 2023||Record date: Feb 16, 2023||Ex-Div: Feb 16, 2023Reduce Shree Cement; target of Rs 21,500: Sharekhan","26,663.85","25,150.00","26,181.75","25,560.85",620.9,2.43
Zydus WellnessAdd toWatchlist | PortfolioACTIONSZydus Wellness closes above 50-Day Moving Average of 1460.29 today.Zydus Wellness closes above 50-Day Moving Average of 1460.29 today.,"1,565.90","1,470.00","1,514.80","1,479.80",35,2.37
"Dixon TechnologAdd toWatchlist | PortfolioACTIONSDixon Technolog Block Deal on NSE||Qty: 4,406||Deal Price: 2,895.20||Value (cr): 1.28||Time: 09:17am","2,895.00","2,790.45","2,886.90","2,821.65",65.25,2.31
"APTUS VALUEAdd toWatchlist | PortfolioACTIONSAPTUS VALUE closes above 30-Day,50-Day Moving Average today.APTUS VALUE closes above 30-Day,50-Day Moving Average today.",274.70,243.00,250.95,245.35,5.6,2.28
"GAILAdd toWatchlist | PortfolioACTIONSGAIL India issues swap tender for LNG cargo: SourcesGAIL Block Deal on NSE||Qty: 104,646||Deal Price: 110.00||Value (cr): 1.15||Time: 09:16amNEWSGAIL India issues swap tender for LNG cargo: Sources 2023-03-08 14:27:01View all",111.60,107.80,111.05,108.65,2.4,2.21
Cera SanitaryAdd toWatchlist | PortfolioACTIONSBuy Cera Sanitaryware; target of Rs 7222: Anand Rathi,"6,358.00","6,111.05","6,296.70","6,160.70",136,2.21
Balkrishna IndAdd toWatchlist | PortfolioACTIONSHold Balkrishna Industries; target of Rs 2163: SharekhanNEWSHold Balkrishna Industries; target of Rs 2163: Sharekhan 2023-03-10 13:58:35View all,"2,034.50","1,956.55","2,025.65","1,982.65",43,2.17
