company_name,high,low,last_price,prev_close,change,percent_gain
General Insuran,192.85,165.65,187.35,166.65,20.70,12.42
UTI AMC,908.00,799.25,859.55,771.25,88.30,11.45
New India Assur,137.50,121.95,133.95,122.70,11.25,9.17
JBM Auto,472.50,412.95,449.75,412.55,37.20,9.02
Shipping Corp,142.40,130.20,140.35,129.05,11.30,8.76
PNB Housing Fin,511.50,460.80,506.70,467.45,39.25,8.4
Suzlon Energy,11.90,10.85,11.65,10.75,0.90,8.37
HUDCO,58.80,53.75,57.90,53.70,4.20,7.82
CSB Bank,275.10,252.35,272.10,254.10,18.00,7.08
LIC India,741.75,689.75,734.60,688.55,46.05,6.69
Godfrey Phillip,"2,024.00","1,889.95","1,998.25","1,893.40",104.85,5.54
Shree Renuka,65.60,60.85,62.60,59.50,3.10,5.21
EngineersInd,87.80,81.00,85.55,81.60,3.95,4.84
Just Dial,629.00,583.65,622.45,594.05,28.40,4.78
PB Fintech,492.85,460.85,485.60,463.65,21.95,4.73
Dilip Buildcon,243.00,235.85,239.30,229.35,9.95,4.34
Bank of Mah,34.25,32.40,33.70,32.35,1.35,4.17
Varroc Engineer,308.00,291.30,302.90,291.40,11.50,3.95
Sundaram Fin,"2,417.45","2,287.80","2,407.90","2,316.60",91.30,3.94
Adani Ports,896.00,859.60,892.85,860.45,32.40,3.77
BHEL,84.10,80.55,83.80,80.80,3.00,3.71
Shilpa,298.00,286.10,292.35,282.40,9.95,3.52
NLC India,92.00,87.30,91.50,88.45,3.05,3.45
GMR Airports,43.10,41.10,42.85,41.45,1.40,3.38
Indiamart Inter,"4,575.00","4,320.00","4,481.15","4,334.50",146.65,3.38
Can Fin Homes,546.50,519.05,541.60,524.30,17.30,3.3
Interglobe Avi,"2,032.45","1,945.30","2,027.10","1,962.40",64.70,3.3
IDFC,86.35,82.90,86.05,83.30,2.75,3.3
Bombay Burmah,"1,007.40",969.45,996.50,966.20,30.30,3.14
M&M,"1,294.90","1,245.05","1,290.65","1,251.60",39.05,3.12
KRBL,430.00,415.10,429.15,416.25,12.90,3.1
Sonata,550.00,528.00,547.45,531.05,16.40,3.09
Kalyan Jeweller,130.00,123.60,129.20,125.45,3.75,2.99
Eicher Motors,"3,409.50","3,282.15","3,388.90","3,291.45",97.45,2.96
CreditAccess Gr,907.00,880.00,904.70,879.05,25.65,2.92
JK Paper,434.00,413.45,425.10,413.40,11.70,2.83
