company_name,high,low,last_price,prev_close,change,percent_gain
Sun Pharma Adv,224.00,188.05,220.75,188.50,32.25,17.11
Oil India,243.00,233.15,241.00,223.55,17.45,7.81
Glenmark,423.75,404.30,422.60,400.40,22.2,5.54
TataTeleservice,72.20,64.75,69.80,66.40,3.4,5.12
Galaxy Surfacta,"2,644.75","2,396.50","2,430.00","2,315.90",114.1,4.93
Privi Special,969.40,917.30,948.80,910.80,38,4.17
Welspun India,71.50,68.00,70.75,68.00,2.75,4.04
Gland,"1,377.35","1,318.35","1,365.00","1,314.30",50.7,3.86
Vaibhav Global,318.90,300.75,311.80,300.75,11.05,3.67
Lux Industries,"1,406.60","1,342.85","1,384.30","1,340.55",43.75,3.26
G R Infra,"1,231.75","1,173.00","1,201.35","1,165.95",35.4,3.04
NALCO,79.40,76.10,78.90,76.70,2.2,2.87
C. E. Info Syst,"1,148.00","1,097.55","1,126.95","1,099.15",27.8,2.53
Just Dial,646.70,626.50,642.30,627.50,14.8,2.36
Capri Global,779.00,751.30,768.95,751.45,17.5,2.33
Ajanta Pharma,"1,254.00","1,194.60","1,235.30","1,208.05",27.25,2.26
Greenpanel Ind,291.90,278.05,290.65,284.25,6.4,2.25
Titan Company,"2,523.95","2,476.15","2,519.05","2,468.50",50.55,2.05
CG Power ,335.25,328.00,334.45,327.85,6.6,2.01
Metropolis,"1,335.00","1,261.00","1,312.50","1,286.75",25.75,2
Swan Energy,283.35,271.95,277.10,271.70,5.4,1.99
Sundram,"1,033.80",992.95,"1,019.90","1,000.35",19.55,1.95
Chalet Hotels,375.45,360.00,367.20,360.20,7,1.94
Hindustan Aeron,"2,469.65","2,402.60","2,446.90","2,402.95",43.95,1.83
Larsen,"2,210.40","2,160.20","2,203.30","2,163.85",39.45,1.82
Natco Pharma,549.00,522.30,533.95,524.85,9.1,1.73
NTPC,168.20,164.80,167.85,165.00,2.85,1.73
Symphony,"1,054.00","1,021.05","1,047.95","1,031.10",16.85,1.63
Linde India,"3,508.00","3,425.05","3,467.50","3,415.25",52.25,1.53
Vardhman Text,313.00,305.05,311.00,306.30,4.7,1.53
Bajaj Auto,"3,912.60","3,824.00","3,883.50","3,831.65",51.85,1.35
Honeywell Autom,"38,783.00","38,033.95","38,657.20","38,142.80",514.4,1.35
SIS,369.70,357.90,362.10,357.35,4.75,1.33
CenturyPlyboard,515.95,502.00,512.55,506.10,6.45,1.27
Eicher Motors,"3,272.00","3,217.20","3,252.65","3,212.35",40.3,1.25
RITES,338.40,329.00,334.30,330.20,4.1,1.24
Vedant Fashions,"1,290.00","1,233.95","1,274.00","1,258.50",15.5,1.23
Ashok Leyland,150.50,146.55,149.15,147.35,1.8,1.22
Hinduja Global,"1,323.00","1,300.15","1,316.00","1,300.15",15.85,1.22
DCM Shriram,854.80,834.05,846.75,836.70,10.05,1.2
Cera Sanitary,"6,143.90","6,013.85","6,105.95","6,035.20",70.75,1.17
CESC,74.60,73.50,74.30,73.45,0.85,1.16
Chambal Fert,303.70,297.75,301.55,298.20,3.35,1.12
Escorts Kubota,"2,105.95","2,051.05","2,079.60","2,057.80",21.8,1.06
Container Corp,625.00,609.10,615.80,609.45,6.35,1.04
ONGC,148.80,146.60,148.15,146.70,1.45,0.99
Delhivery,320.60,298.10,318.50,315.45,3.05,0.97
MTAR Tech,"1,755.00","1,734.05","1,742.85","1,726.05",16.8,0.97
Varun Beverages,"1,307.20","1,254.00","1,284.05","1,271.80",12.25,0.96
UPL,736.40,725.00,733.80,726.90,6.9,0.95
FDC,270.90,263.30,267.15,264.70,2.45,0.93
Shree Cements,"24,550.00","23,812.40","24,194.40","23,970.60",223.8,0.93
Torrent Power,458.95,449.00,457.40,453.25,4.15,0.92
Gujarat Gas,494.00,473.90,484.65,480.30,4.35,0.91
Power Grid Corp,216.50,214.00,216.00,214.10,1.9,0.89
Aster DM Health,212.75,207.25,209.55,207.75,1.8,0.87
Prince Pipes,584.80,560.65,579.15,574.20,4.95,0.86
Sun Pharma,"1,017.35","1,002.00","1,015.25","1,006.60",8.65,0.86
APL Apollo,"1,219.00","1,185.10","1,201.80","1,191.70",10.1,0.85
Aurobindo Pharm,476.50,465.00,472.65,468.85,3.8,0.81
Bharat Forge,910.00,886.00,890.05,883.00,7.05,0.8
ITC,375.15,370.00,374.20,371.35,2.85,0.77
Balaji Amines,"2,224.00","2,167.05","2,185.45","2,169.25",16.2,0.75
Coal India,213.70,209.15,213.05,211.50,1.55,0.73
Deepak Fert,647.00,615.70,626.85,622.85,4,0.64
Castrol,120.50,119.20,120.00,119.25,0.75,0.63
NLC India,79.70,77.60,79.35,78.85,0.5,0.63
Jindal Steel,594.70,578.00,584.90,581.30,3.6,0.62
Thermax,"2,190.10","2,118.80","2,142.85","2,129.55",13.3,0.62
KPR Mill,595.60,578.05,584.30,580.75,3.55,0.61
NOCIL,215.00,204.85,212.85,211.55,1.3,0.61
Mahindra Holida,281.00,272.80,274.45,272.80,1.65,0.6
Indoco Remedies,381.60,357.85,367.10,364.95,2.15,0.59
Dr Reddys Labs,"4,557.40","4,500.10","4,524.70","4,499.60",25.1,0.56
Finolex Ind,182.00,177.45,178.90,177.90,1,0.56
Triveni Turbine,284.50,275.15,282.40,280.85,1.55,0.55
IRB Infra,295.90,284.50,290.95,289.40,1.55,0.54
