company_name,high,low,last_price,prev_close,change,percent_gain
JBM Auto,549.90,485.75,537.75,485.85,51.9,10.68
Indoco Remedies,369.00,332.45,364.95,332.25,32.7,9.84
Campus Active,424.70,396.00,420.15,394.65,25.5,6.46
Aurobindo Pharm,471.70,447.00,468.85,440.95,27.9,6.33
Triveni Engg,281.90,262.60,279.40,263.20,16.2,6.16
Sudarshan Chem,392.35,341.00,384.20,362.50,21.7,5.99
INDUS TOWERS,168.85,159.40,168.00,159.40,8.6,5.4
CG Power ,333.00,318.20,327.85,311.45,16.4,5.27
Greenpanel Ind,286.60,266.95,284.25,271.30,12.95,4.77
KPIT Tech,860.00,815.00,855.45,817.25,38.2,4.67
Carborundum,"1,021.90",962.60,"1,011.80",968.15,43.65,4.51
Escorts Kubota,"2,110.00","1,965.50","2,057.80","1,970.20",87.6,4.45
Dhani Services,37.45,35.25,37.10,35.55,1.55,4.36
Delta Corp,206.45,194.70,204.20,196.80,7.4,3.76
KRBL,392.40,371.00,385.20,371.45,13.75,3.7
Zensar Tech,263.50,251.25,262.40,253.30,9.1,3.59
Equitas Bank,60.90,57.60,60.05,58.00,2.05,3.53
Navin Fluorine,"4,370.00","4,180.05","4,346.15","4,202.25",143.9,3.42
Shree Cements,"24,074.00","22,752.00","23,970.60","23,199.80",770.8,3.32
Mahindra Life,405.00,387.25,400.00,387.25,12.75,3.29
SRF,"2,304.00","2,203.75","2,289.40","2,218.35",71.05,3.2
Vedant Fashions,"1,286.30","1,200.00","1,258.50","1,219.50",39,3.2
Gujarat Pipavav,104.00,97.30,101.55,98.45,3.1,3.15
Kajaria Ceramic,"1,125.00","1,075.55","1,118.70","1,084.95",33.75,3.11
Voltas,856.70,796.00,849.85,824.55,25.3,3.07
Saregama India,357.70,343.00,355.30,344.75,10.55,3.06
PB Fintech,535.40,495.80,525.90,510.30,15.6,3.06
Godrej Prop,"1,211.70","1,164.10","1,208.75","1,173.90",34.85,2.97
India Cements,201.00,190.50,197.90,192.35,5.55,2.89
Pfizer,"4,004.00","3,817.55","3,972.40","3,861.40",111,2.87
Indiabulls Real,66.00,62.30,64.70,62.90,1.8,2.86
EPL,162.70,154.20,160.45,156.00,4.45,2.85
Welspun Corp,210.00,197.90,206.00,200.40,5.6,2.79
G R Infra,"1,195.45","1,120.10","1,165.95","1,134.55",31.4,2.77
Poly Medicure,918.00,872.55,901.95,877.65,24.3,2.77
Vaibhav Global,304.00,292.30,300.75,292.70,8.05,2.75
KEC Intl,479.20,461.00,476.80,464.25,12.55,2.7
IRB Infra,291.45,282.05,289.40,282.05,7.35,2.61
TVS Motor,"1,087.00","1,045.00","1,075.35","1,049.80",25.55,2.43
Motherson SWI,54.00,52.35,53.70,52.45,1.25,2.38
Asahi India,515.10,500.80,512.25,500.80,11.45,2.29
KEI Industries,"1,690.00","1,630.00","1,676.65","1,639.75",36.9,2.25
Fortis Health,285.00,276.65,282.75,276.60,6.15,2.22
Metro Brands,807.00,776.20,802.10,784.75,17.35,2.21
Guj State Petro,266.95,259.05,265.75,260.05,5.7,2.19
Page Industries,"39,690.60","37,170.00","38,786.20","37,960.15",826.05,2.18
Tata Motors,447.80,431.20,445.85,436.75,9.1,2.08
Tata Motors,447.80,431.20,445.85,436.75,9.1,2.08
IGL,445.00,430.00,442.10,433.15,8.95,2.07
Central Bank,28.85,27.00,27.80,27.25,0.55,2.02
Radico Khaitan,"1,142.00","1,090.85","1,137.20","1,114.65",22.55,2.02
Kalpataru Power,500.85,484.95,494.70,484.95,9.75,2.01
Sundram,"1,005.00",981.65,"1,000.35",980.75,19.6,2
Prism Johnson,105.00,102.25,104.60,102.60,2,1.95
Alkem Lab,"3,350.00","3,178.60","3,292.70","3,230.45",62.25,1.93
EID Parry,528.95,506.90,520.90,511.05,9.85,1.93
FSN E-Co Nykaa,156.90,149.10,154.70,151.85,2.85,1.88
Linde India,"3,444.00","3,323.15","3,415.25","3,353.20",62.05,1.85
Mahindra CIE,399.50,388.70,397.85,390.85,7,1.79
City Union Bank,161.90,156.50,160.05,157.25,2.8,1.78
