company_name,high,low,last_price,prev_close,change,percent_gain
Raymond,"1,630.00","1,370.00","1,608.90","1,369.65",239.25,17.47
MTAR Tech,"1,750.00","1,599.35","1,737.80","1,600.45",137.35,8.58
HLE Glascoat,704.90,642.10,689.00,641.85,47.15,7.35
HLE Glascoat,704.90,642.10,689.00,641.85,47.15,7.35
One 97 Paytm,543.65,507.50,536.95,501.05,35.9,7.16
Radico Khaitan,"1,150.00","1,058.00","1,134.15","1,059.40",74.75,7.06
BHEL,91.25,84.80,90.55,84.65,5.9,6.97
Prince Pipes,601.95,563.50,597.90,562.70,35.2,6.26
NLC India,88.80,83.75,88.25,83.40,4.85,5.82
Hinduja Global,"1,415.00","1,330.00","1,403.75","1,330.20",73.55,5.53
Astral Ltd,"2,025.00","1,930.00","2,018.35","1,924.20",94.15,4.89
Macrotech Dev,"1,053.00","1,007.00","1,048.95","1,000.55",48.4,4.84
PB Fintech,489.00,465.10,483.00,461.00,22,4.77
JK Lakshmi Cem,751.00,710.30,748.55,714.55,34,4.76
JM Financial,79.95,75.75,79.55,75.95,3.6,4.74
APL Apollo,"1,193.00","1,132.55","1,185.50","1,132.55",52.95,4.68
Jyothy Labs,211.75,202.35,210.45,201.05,9.4,4.68
Suzlon Energy,9.50,8.85,9.45,9.05,0.4,4.42
Nuvoco Vistas,397.65,376.80,393.95,377.35,16.6,4.4
Ceat,"1,981.00","1,838.05","1,937.55","1,856.45",81.1,4.37
Varun Beverages,"1,354.00","1,255.60","1,318.60","1,264.20",54.4,4.3
MOIL,172.40,163.60,168.35,161.65,6.7,4.14
AB Capital,153.30,145.00,151.70,145.70,6,4.12
Sharda Crop,441.00,415.00,434.45,417.25,17.2,4.12
Tube Investment,"2,973.50","2,788.05","2,933.30","2,818.10",115.2,4.09
FSN E-Co Nykaa,180.30,171.95,178.35,171.40,6.95,4.05
Trident,37.90,36.60,37.55,36.10,1.45,4.02
Shree Renuka,61.25,57.25,59.65,57.35,2.3,4.01
M&M Financial,230.40,219.45,229.00,220.30,8.7,3.95
Zensar Tech,238.90,227.65,236.75,228.40,8.35,3.66
Amber Enterpris,"2,092.00","1,943.05","2,011.75","1,940.90",70.85,3.65
Kalyan Jeweller,110.65,104.50,109.75,106.05,3.7,3.49
Finolex Ind,163.80,157.35,163.40,158.00,5.4,3.42
L&T Finance,92.25,88.15,91.35,88.40,2.95,3.34
Supreme Ind,"2,531.95","2,438.05","2,508.10","2,431.15",76.95,3.17
TV18 Broadcast,42.20,39.25,41.15,39.90,1.25,3.13
Oracle Fin Serv,"3,295.00","3,125.05","3,218.80","3,122.00",96.8,3.1
New India Assur,111.40,106.85,110.25,106.95,3.3,3.09
L&T Technology,"4,318.70","4,111.00","4,287.35","4,159.75",127.6,3.07
Phoenix Mills,"1,499.90","1,444.00","1,492.25","1,447.75",44.5,3.07
HFCL,82.00,78.70,81.40,79.00,2.4,3.04
COFORGE LTD.,"4,253.00","4,120.10","4,237.50","4,116.85",120.65,2.93
Linde India,"3,151.15","3,028.85","3,117.00","3,029.80",87.2,2.88
Zomato,68.90,66.50,68.55,66.65,1.9,2.85
General Insuran,149.50,144.55,148.65,144.55,4.1,2.84
Rashtriya Chem,125.65,120.05,123.60,120.20,3.4,2.83
Delhivery,350.00,338.90,348.80,339.40,9.4,2.77
Carborundum,869.40,834.55,861.65,838.65,23,2.74
RHI Magnesita,837.95,800.00,820.05,798.45,21.6,2.71
Manappuram Fin,120.15,115.90,119.40,116.35,3.05,2.62
Polycab,"2,709.00","2,601.00","2,674.30","2,606.75",67.55,2.59
IFB Industries,955.00,912.00,951.50,927.60,23.9,2.58
Atul,"8,927.00","8,573.05","8,887.35","8,664.45",222.9,2.57
Dilip Buildcon,239.50,231.15,238.10,232.50,5.6,2.41
Birlasoft,333.00,321.75,331.55,323.80,7.75,2.39
Prestige Estate,511.20,492.00,507.80,496.00,11.8,2.38
PNC Infratech,283.70,271.45,278.85,272.40,6.45,2.37
Avanti Feeds,401.00,386.00,397.20,388.10,9.1,2.34
Indian Bank,284.70,273.75,282.35,276.05,6.3,2.28
Sobha,651.40,621.05,637.15,622.95,14.2,2.28
ICICI Securitie,539.80,524.00,536.35,524.75,11.6,2.21
Muthoot Finance,"1,138.35","1,105.60","1,135.75","1,111.35",24.4,2.2
GE Shipping,697.00,671.25,693.95,679.10,14.85,2.19
United Brewerie,"1,757.50","1,690.20","1,735.80","1,698.85",36.95,2.18
Indiabulls Real,86.80,83.90,85.85,84.05,1.8,2.14
Thermax,"2,099.00","2,050.70","2,095.25","2,051.55",43.7,2.13
Deepak Nitrite,"2,217.85","2,153.65","2,211.50","2,165.60",45.9,2.12
Yes Bank,17.90,17.25,17.40,17.05,0.35,2.05
Welspun Corp,251.00,242.80,249.85,244.85,5,2.04
Apollo Hospital,"4,882.95","4,743.05","4,871.45","4,775.70",95.75,2
MRPL,61.25,59.10,59.30,58.15,1.15,1.98
Bandhan Bank,243.00,236.05,240.10,235.50,4.6,1.95
Swan Energy,258.80,250.05,254.95,250.10,4.85,1.94
Bharat Elec,106.45,104.30,106.15,104.15,2,1.92
Vaibhav Global,359.10,344.00,350.45,343.85,6.6,1.92
KEI Industries,"1,624.00","1,580.70","1,616.35","1,586.30",30.05,1.89
Dalmia Bharat,"1,942.00","1,892.00","1,936.70","1,901.20",35.5,1.87
Vodafone Idea,8.35,8.15,8.30,8.15,0.15,1.84
MMTC Ltd,42.60,41.10,41.95,41.20,0.75,1.82
Tata Comm,"1,339.90","1,290.00","1,321.55","1,297.90",23.65,1.82
Zee Entertain,271.90,265.15,271.05,266.35,4.7,1.76
Bank of India,85.70,82.50,84.55,83.10,1.45,1.74
Balrampur Chini,390.55,375.65,386.75,380.25,6.5,1.71
Ratnamani Metal,"1,980.00","1,940.00","1,973.10","1,940.25",32.85,1.69
Ramco Cements,694.55,676.25,691.15,679.70,11.45,1.68
Kajaria Ceramic,"1,194.00","1,160.45","1,185.45","1,166.10",19.35,1.66
Patanjali Foods,"1,301.00","1,215.30","1,272.75","1,252.00",20.75,1.66
Dr Lal PathLab,"2,485.00","2,439.00","2,478.15","2,438.75",39.4,1.62
Gujarat Gas,522.90,508.25,516.30,508.30,8,1.57
Voltas,856.30,838.55,855.25,842.35,12.9,1.53
IEX,151.00,148.50,150.20,148.00,2.2,1.49
Container Corp,784.00,768.20,781.25,769.85,11.4,1.48
Infibeam Avenue,17.40,16.85,17.15,16.90,0.25,1.48
Symphony,939.00,910.60,931.05,917.70,13.35,1.45
