company_name,high,low,last_price,prev_close,change,percent_gain
Rashtriya Chem,137.25,115.00,133.80,116.50,17.3,14.85
GSFC,142.35,126.65,140.35,127.35,13,10.21
Fert and Chem,323.40,298.00,323.40,294.00,29.4,10
Deepak Fert,716.00,656.75,709.65,657.85,51.8,7.87
Saregama India,399.00,367.55,395.20,367.40,27.8,7.57
Adani Total Gas,"3,629.95","3,328.00","3,605.80","3,352.90",252.9,7.54
RITES,339.00,314.95,335.95,314.00,21.95,6.99
EIH,176.20,160.75,173.10,162.10,11,6.79
Rossari,776.60,710.00,754.60,712.00,42.6,5.98
Kalyan Jeweller,133.00,123.55,131.15,124.00,7.15,5.77
Shipping Corp,142.50,131.80,140.20,133.00,7.2,5.41
GNFC,563.10,528.40,558.00,530.05,27.95,5.27
Macrotech Dev,"1,099.00","1,025.35","1,084.00","1,029.75",54.25,5.27
JSW Energy,293.40,269.90,283.90,269.95,13.95,5.17
Chalet Hotels,352.00,333.95,347.40,330.65,16.75,5.07
Adani Wilmar,578.30,572.25,578.30,550.80,27.5,4.99
Devyani Int,187.00,174.95,185.10,176.30,8.8,4.99
TataTeleservice,91.65,89.20,91.65,87.30,4.35,4.98
Rail Vikas,66.70,65.25,66.70,63.55,3.15,4.96
General Insuran,175.00,165.00,172.50,164.40,8.1,4.93
Atul,"8,288.30","7,889.55","8,263.65","7,906.85",356.8,4.51
Lux Industries,"1,710.00","1,607.10","1,684.10","1,612.45",71.65,4.44
One 97 Paytm,541.70,511.10,535.55,512.85,22.7,4.43
RBL Bank,174.25,165.40,173.05,166.40,6.65,4
NLC India,86.55,81.85,85.90,82.80,3.1,3.74
Mahindra CIE,342.90,327.00,337.70,325.55,12.15,3.73
TVS Motor,"1,085.40","1,040.30","1,082.70","1,044.05",38.65,3.7
MMTC Ltd,38.85,36.40,37.90,36.60,1.3,3.55
Rajesh Exports,721.00,683.10,711.75,687.40,24.35,3.54
Poonawalla Fin,304.80,290.20,302.40,292.20,10.2,3.49
Gujarat Fluoro,"3,153.00","3,014.00","3,145.05","3,039.75",105.3,3.46
KNR Construct,253.00,241.50,251.25,243.20,8.05,3.31
New India Assur,118.95,113.10,117.00,113.50,3.5,3.08
Vijaya Diagnost,454.95,431.00,445.50,432.20,13.3,3.08
Titan Company,"2,596.00","2,497.50","2,580.15","2,503.55",76.6,3.06
HUDCO,52.10,49.70,51.70,50.20,1.5,2.99
Canara Bank,319.50,305.40,316.10,307.05,9.05,2.95
Sundram,966.00,933.05,959.85,933.05,26.8,2.87
Allcargo,414.70,395.00,411.75,400.30,11.45,2.86
Chambal Fert,307.25,291.30,303.60,295.20,8.4,2.85
Kajaria Ceramic,"1,139.00","1,095.40","1,131.70","1,100.75",30.95,2.81
Finolex Cables,559.00,538.55,555.55,540.70,14.85,2.75
Mahindra Holida,264.90,252.40,263.75,256.75,7,2.73
TV18 Broadcast,38.20,36.35,37.90,36.90,1,2.71
Krishna Inst.,"1,532.00","1,473.45","1,524.80","1,484.95",39.85,2.68
Chola Invest.,728.65,705.00,725.80,707.10,18.7,2.64
Restaurant Bran,113.70,109.35,112.50,109.75,2.75,2.51
Adani Trans,"2,577.70","2,458.10","2,564.45","2,501.80",62.65,2.5
KPR Mill,509.45,490.90,503.85,491.75,12.1,2.46
HLE Glascoat,656.65,631.95,651.80,636.55,15.25,2.4
HLE Glascoat,656.65,631.95,651.80,636.55,15.25,2.4
Bank of Baroda,184.90,176.50,181.80,177.60,4.2,2.36
Page Industries,"44,699.00","43,218.00","44,589.05","43,611.45",977.6,2.24
CreditAccess Gr,914.90,880.05,912.05,892.45,19.6,2.2
Metro Brands,866.00,834.60,860.85,842.30,18.55,2.2
Godfrey Phillip,"1,891.95","1,780.00","1,873.20","1,833.45",39.75,2.17
RHI Magnesita,842.00,807.00,829.25,811.60,17.65,2.17
Prince Pipes,584.50,567.10,581.60,569.25,12.35,2.17
