company_name,high,low,last_price,prev_close,change,percent_gain
Finolex Cables,502.40,450.50,494.85,448.65,46.20,10.3
KPIT Tech,718.30,656.20,711.95,652.90,59.05,9.04
Axis Bank,906.00,855.85,900.40,825.85,74.55,9.03
Elgi Equipments,499.95,451.90,491.80,451.40,40.40,8.95
Vijaya Diagnost,484.00,437.70,462.15,437.60,24.55,5.61
Triveni Turbine,290.00,274.40,286.80,272.40,14.40,5.29
Jubilant Pharmo,343.00,318.90,339.70,323.10,16.60,5.14
KNR Construct,219.00,206.80,214.95,205.15,9.80,4.78
Shipping Corp,126.70,118.20,124.00,118.50,5.50,4.64
Thermax,"2,107.95","1,993.10","2,085.95","1,996.80",89.15,4.46
JB Chemicals,"2,000.00","1,908.05","1,983.25","1,900.00",83.25,4.38
Union Bank,49.55,47.50,49.15,47.25,1.90,4.02
NHPC,42.40,39.85,41.50,39.90,1.60,4.01
Alok Industries,16.55,15.55,16.40,15.80,0.60,3.8
Gujarat Gas,503.55,484.30,501.80,483.65,18.15,3.75
Bharat Dynamics,961.00,926.00,956.00,921.55,34.45,3.74
Canara Bank,270.90,259.45,268.55,258.90,9.65,3.73
TML - D,202.70,192.75,199.75,192.70,7.05,3.66
TML - D,202.70,192.75,199.75,192.70,7.05,3.66
EIH,191.00,184.20,190.20,183.85,6.35,3.45
Schaeffler Ind,"3,100.00","2,913.90","3,047.65","2,946.00",101.65,3.45
RBL Bank,134.40,129.00,133.25,128.80,4.45,3.45
Rallis India,235.50,225.50,233.55,226.20,7.35,3.25
Clean Science,"1,675.00","1,615.00","1,665.05","1,613.50",51.55,3.19
Kalpataru Power,461.85,433.05,455.65,442.30,13.35,3.02
VIP Industries,722.95,696.00,709.65,689.20,20.45,2.97
Phoenix Mills,"1,458.85","1,367.45","1,431.15","1,391.80",39.35,2.83
KEI Industries,"1,539.90","1,490.00","1,534.50","1,496.40",38.10,2.55
Dhani Services,50.25,48.00,49.10,47.90,1.20,2.51
MRF,"88,187.90","84,210.05","86,224.80","84,171.80","2,053.00",2.44
Metropolis,"1,609.45","1,552.00","1,588.75","1,551.25",37.50,2.42
Dr Lal PathLab,"2,575.00","2,500.00","2,561.90","2,502.75",59.15,2.36
Sundram,913.80,885.00,904.10,883.35,20.75,2.35
GE Shipping,520.50,507.00,517.70,505.90,11.80,2.33
Indian Bank,236.40,220.95,226.20,221.20,5.00,2.26
Kotak Mahindra,"1,925.00","1,866.30","1,902.65","1,863.55",39.10,2.1
SJVN,31.85,31.00,31.60,30.95,0.65,2.1
ICICI Bank,910.00,885.70,907.15,888.65,18.50,2.08
HUL,"2,666.75","2,606.00","2,653.90","2,600.90",53.00,2.04
Bank of Baroda,144.90,140.60,143.55,140.70,2.85,2.03
Abbott India,"18,745.45","18,012.15","18,527.80","18,167.95",359.85,1.98
Aether Ind,979.95,938.35,961.65,943.15,18.50,1.96
SBI Life Insura,"1,250.25","1,227.00","1,246.35","1,222.95",23.40,1.91
Sterlite Techno,167.40,161.75,164.80,161.75,3.05,1.89
Lakshmi Machine,"12,798.95","12,355.10","12,485.20","12,256.90",228.30,1.86
Capri Global,750.00,732.90,740.80,727.35,13.45,1.85
Polycab,"2,754.90","2,650.00","2,698.10","2,649.25",48.85,1.84
Shilpa,344.40,323.25,329.20,323.25,5.95,1.84
HFCL,80.25,76.80,77.80,76.40,1.40,1.83
Gujarat Fluoro,"3,835.85","3,752.05","3,821.40","3,754.55",66.85,1.78
Federal Bank,134.80,130.25,132.60,130.30,2.30,1.77
Welspun India,82.00,76.85,78.20,76.85,1.35,1.76
Vodafone Idea,8.85,8.55,8.70,8.55,0.15,1.75
HDFC AMC,"2,092.95","2,032.00","2,069.55","2,035.35",34.20,1.68
Supreme Ind,"2,119.95","2,038.90","2,091.75","2,057.65",34.10,1.66
Bank of India,52.00,49.35,50.50,49.70,0.80,1.61
Apollo Hospital,"4,430.00","4,322.70","4,389.05","4,322.50",66.55,1.54
Delta Corp,222.30,216.55,220.50,217.25,3.25,1.5
ONGC,133.40,128.75,131.55,129.60,1.95,1.5
Coromandel Int,998.00,976.00,994.50,980.00,14.50,1.48
Godfrey Phillip,"1,457.75","1,408.95","1,423.45","1,403.15",20.30,1.45
IDFC,78.90,77.00,78.15,77.10,1.05,1.36
Redington,141.50,135.75,138.10,136.25,1.85,1.36
Gujarat Pipavav,83.40,81.70,82.80,81.70,1.10,1.35
Titan Company,"2,679.65","2,640.05","2,665.65","2,631.50",34.15,1.3
Bank of Mah,20.30,19.50,19.80,19.55,0.25,1.28
HUDCO,35.95,35.05,35.50,35.05,0.45,1.28
Exide Ind,161.50,157.55,159.00,157.00,2.00,1.27
Garware Technic,"3,464.95","3,403.85","3,456.05","3,414.95",41.10,1.2
Shoppers Stop,820.00,774.80,783.95,774.80,9.15,1.18
Nestle,"20,350.00","19,982.50","20,294.95","20,061.10",233.85,1.17
Edelweiss,57.95,56.50,56.85,56.25,0.60,1.07
Hind Zinc,283.70,278.10,281.15,278.35,2.80,1.01
DCM Shriram,"1,088.00","1,038.30","1,075.60","1,064.95",10.65,1
P and G,"14,135.40","13,840.00","13,997.70","13,860.10",137.60,0.99
Indiabulls Hsg,130.95,127.05,128.95,127.70,1.25,0.98
Rail Vikas,36.70,35.80,36.10,35.75,0.35,0.98
SBI,565.80,557.25,560.85,555.40,5.45,0.98
HCL Tech,"1,029.90","1,011.60","1,027.20","1,017.40",9.80,0.96
Medplus Health,598.00,588.60,595.50,589.85,5.65,0.96
UltraTechCement,"6,421.00","6,315.60","6,362.90","6,302.30",60.60,0.96
CAMS,"2,651.90","2,615.15","2,635.80","2,611.30",24.50,0.94
HDFC Life,548.30,536.70,541.95,537.20,4.75,0.88
IDFC First Bank,58.10,56.80,57.30,56.80,0.50,0.88
Fortis Health,275.95,271.75,274.45,272.15,2.30,0.85
IOB,18.25,17.65,17.80,17.65,0.15,0.85
AIA Engineering,"2,628.00","2,568.05","2,606.35","2,584.60",21.75,0.84
India Cements,237.45,232.60,236.35,234.40,1.95,0.83
Prestige Estate,447.80,440.95,443.30,439.70,3.60,0.82
Zomato,63.20,61.30,61.80,61.30,0.50,0.82
JBM Auto,428.00,412.25,415.30,412.00,3.30,0.8
Oberoi Realty,879.60,831.30,867.55,860.65,6.90,0.8
Amara Raja Batt,496.40,488.55,492.15,488.55,3.60,0.74
NLC India,71.75,69.75,70.35,69.85,0.50,0.72
Blue Star,"1,222.00","1,194.60","1,212.30","1,203.95",8.35,0.69
Metro Brands,897.40,832.85,889.00,883.25,5.75,0.65
Yes Bank,16.35,15.90,16.05,15.95,0.10,0.63
eClerx Services,"1,295.50","1,275.35","1,286.90","1,278.95",7.95,0.62
IGL,384.35,373.65,381.75,379.40,2.35,0.62
PNB,41.80,40.40,40.75,40.50,0.25,0.62
CCL Products,483.60,471.05,481.25,478.45,2.80,0.59
Bharti Airtel,802.85,789.75,797.45,792.90,4.55,0.57
L&T Finance,82.90,78.65,79.50,79.05,0.45,0.57
TCI Express,"1,900.00","1,849.60","1,886.65","1,875.95",10.70,0.57
Container Corp,754.40,737.55,748.20,744.10,4.10,0.55
M&M,"1,268.90","1,244.15","1,256.75","1,250.00",6.75,0.54
Narayana Hruda,735.50,715.00,726.15,722.40,3.75,0.52
Greenpanel Ind,372.95,351.10,361.80,359.95,1.85,0.51
Praj Industries,427.90,417.15,424.35,422.25,2.10,0.5
