company_name,high,low,last_price,prev_close,change,percent_gain
Gland,"1,477.85","1,232.05","1,416.95","1,231.55",185.4,15.05
Greenpanel Ind,318.80,276.00,312.50,274.05,38.45,14.03
KRBL,390.00,346.60,384.90,343.15,41.75,12.17
Prism Johnson,131.00,116.50,129.10,116.15,12.95,11.15
Caplin Labs,688.00,621.00,676.50,620.30,56.2,9.06
Laxmi Organic,289.25,266.75,285.50,267.15,18.35,6.87
Elgi Equipments,512.20,475.00,505.85,475.60,30.25,6.36
IFB Industries,905.95,815.25,858.30,816.20,42.1,5.16
Shipping Corp,99.20,94.05,94.80,90.35,4.45,4.93
HINDPETRO,239.00,228.00,238.25,228.60,9.65,4.22
Amara Raja Batt,617.05,588.85,612.80,589.35,23.45,3.98
Rattanindia Ent,41.50,39.50,40.00,38.60,1.4,3.63
JBM Auto,818.90,777.25,813.75,785.35,28.4,3.62
Asahi India,474.95,460.95,472.70,456.40,16.3,3.57
Sonata,839.50,803.10,825.40,798.45,26.95,3.38
Triveni Engg,287.65,275.10,284.70,275.80,8.9,3.23
Bajaj Electric,"1,089.00","1,042.70","1,076.50","1,043.35",33.15,3.18
Welspun Corp,222.30,214.00,221.55,215.00,6.55,3.05
Shree Renuka,47.75,45.80,47.50,46.20,1.3,2.81
Balrampur Chini,422.00,409.75,420.45,409.00,11.45,2.8
Mahindra Logist,393.80,376.30,388.00,377.50,10.5,2.78
Raymond,"1,449.90","1,408.00","1,444.80","1,406.50",38.3,2.72
Aether Ind,983.95,950.10,973.00,947.75,25.25,2.66
Prestige Estate,458.00,445.00,450.70,439.20,11.5,2.62
Poly Medicure,994.85,925.00,951.90,927.70,24.2,2.61
Uflex,416.80,397.25,405.05,394.90,10.15,2.57
Alok Industries,13.00,12.60,12.85,12.55,0.3,2.39
Allcargo,285.50,275.00,279.70,273.20,6.5,2.38
Jindal Steel,589.50,566.55,579.85,566.50,13.35,2.36
CenturyPlyboard,535.95,507.60,523.05,511.70,11.35,2.22
Divis Labs,"3,364.50","3,248.05","3,342.60","3,270.60",72,2.2
TVS Motor,"1,184.40","1,147.00","1,170.15","1,144.95",25.2,2.2
BPCL,343.30,333.70,342.00,334.80,7.2,2.15
Route,"1,292.80","1,265.95","1,278.25","1,251.30",26.95,2.15
Bombay Burmah,936.00,898.30,923.40,904.35,19.05,2.11
