company_name,high,low,last_price,prev_close,change,percent_gain
Tata Motors,417.75,400.00,412.90,389.45,23.45,6.02
Tata Motors,417.75,400.00,412.90,389.45,23.45,6.02
Sona BLW,458.80,432.00,447.45,422.50,24.95,5.91
Max Financial,780.00,738.55,770.20,740.05,30.15,4.07
Tanla Platforms,754.95,706.55,728.60,701.15,27.45,3.91
TML - D,223.00,215.00,217.45,209.60,7.85,3.75
TML - D,223.00,215.00,217.45,209.60,7.85,3.75
eClerx Services,"1,345.00","1,271.35","1,338.20","1,293.60",44.6,3.45
Vijaya Diagnost,411.80,394.85,407.30,393.80,13.5,3.43
Vardhman Text,324.50,310.40,320.20,310.05,10.15,3.27
Hind Copper,125.70,119.45,123.25,119.65,3.6,3.01
Zydus Life,458.70,442.00,457.35,444.05,13.3,3
Kansai Nerolac,418.20,402.25,415.40,403.35,12.05,2.99
CRISIL,"3,035.50","2,935.05","3,026.40","2,948.95",77.45,2.63
Tata Inv Corp,"2,195.00","2,136.05","2,180.35","2,126.15",54.2,2.55
Infibeam Avenue,16.45,15.75,16.25,15.85,0.4,2.52
AAVAS Financier,"1,852.00","1,772.00","1,826.15","1,781.35",44.8,2.51
MOIL,176.50,166.30,172.50,168.45,4.05,2.4
MOTHERSON,79.45,76.80,78.75,76.95,1.8,2.34
One 97 Paytm,581.70,553.65,575.55,563.90,11.65,2.07
Devyani Int,172.50,168.00,171.15,167.70,3.45,2.06
GE Shipping,667.85,635.55,659.65,646.60,13.05,2.02
Narayana Hruda,744.40,717.80,734.30,719.85,14.45,2.01
Syngene Intl,615.00,597.50,612.80,601.05,11.75,1.95
Aurobindo Pharm,451.90,442.20,450.00,441.55,8.45,1.91
Jamna Auto,106.20,103.50,105.75,103.80,1.95,1.88
Endurance Techn,"1,397.70","1,355.00","1,388.30","1,362.80",25.5,1.87
Mahindra Holida,266.00,258.65,264.35,259.80,4.55,1.75
SKF India,"4,754.00","4,630.40","4,734.85","4,655.15",79.7,1.71
Alkyl Amines,"2,735.00","2,675.30","2,728.25","2,683.10",45.15,1.68
TCI Express,"1,849.95","1,795.00","1,843.35","1,812.85",30.5,1.68
HINDPETRO,250.00,243.00,249.20,245.15,4.05,1.65
Aegis Logistics,361.00,351.75,357.40,352.15,5.25,1.49
FDC,277.00,270.00,276.15,272.10,4.05,1.49
SRF,"2,275.00","2,232.00","2,270.10","2,236.75",33.35,1.49
Hind Zinc,345.60,340.10,343.70,338.70,5,1.48
Vinati Organics,"2,065.00","2,024.00","2,061.15","2,031.35",29.8,1.47
Hindalco,480.50,473.30,477.55,470.75,6.8,1.44
Adani Trans,"2,680.00","2,545.20","2,652.00","2,614.50",37.5,1.43
Castrol,126.15,124.05,125.85,124.10,1.75,1.41
ABSL AMC,457.75,449.10,456.90,450.70,6.2,1.38
Balaji Amines,"2,614.50","2,560.60","2,602.75","2,567.85",34.9,1.36
Emami,426.90,418.00,424.80,419.15,5.65,1.35
Apollo Hospital,"4,489.00","4,406.00","4,466.65","4,407.70",58.95,1.34
Cyient,852.00,830.20,841.25,830.30,10.95,1.32
MCX India,"1,468.45","1,433.20","1,456.70","1,437.85",18.85,1.31
Power Grid Corp,212.45,209.00,211.80,209.10,2.7,1.29
Divis Labs,"3,520.00","3,452.70","3,501.85","3,459.50",42.35,1.22
Rossari,727.65,704.05,724.15,715.40,8.75,1.22
Guj State Petro,291.00,276.35,282.80,279.45,3.35,1.2
Lupin,764.60,750.00,758.85,749.85,9,1.2
Nuvoco Vistas,374.70,368.25,373.55,369.20,4.35,1.18
MRPL,57.10,55.30,56.55,55.90,0.65,1.16
Shriram Finance,"1,337.60","1,318.60","1,333.90","1,318.60",15.3,1.16
