company_name,high,low,last_price,prev_close,change,percent_gain
Bank of India,57.55,50.50,56.45,51.25,5.20,10.15
MCX India,"1,502.00","1,376.00","1,495.25","1,369.05",126.20,9.22
BHEL,71.75,66.50,71.10,66.25,4.85,7.32
Bharat Rasayan,"11,694.00","10,562.90","11,422.10","10,646.45",775.65,7.29
Mahanagar Gas,840.70,780.30,838.30,785.95,52.35,6.66
KEI Industries,"1,654.60","1,530.00","1,630.35","1,532.45",97.90,6.39
IGL,412.40,379.15,407.65,383.35,24.30,6.34
Rail Vikas,40.15,36.90,39.45,37.15,2.30,6.19
IOB,19.45,17.85,19.15,18.05,1.10,6.09
Union Bank,52.50,48.50,51.65,48.85,2.80,5.73
PNB,44.00,40.50,43.30,41.10,2.20,5.35
NHPC,45.50,42.45,45.15,42.95,2.20,5.12
Latent View,383.55,358.45,378.50,360.20,18.30,5.08
Canara Bank,288.00,266.80,284.20,270.50,13.70,5.06
Dhani Services,52.10,48.40,52.10,49.65,2.45,4.93
Cochin Shipyard,548.00,517.20,542.15,517.40,24.75,4.78
JK Lakshmi Cem,570.25,531.55,561.95,536.90,25.05,4.67
Central Bank,21.20,19.80,20.90,20.00,0.90,4.5
Torrent Power,508.00,483.85,507.25,485.75,21.50,4.43
Tube Investment,"2,870.00","2,701.10","2,829.90","2,720.50",109.40,4.02
Ipca Labs,940.00,891.05,936.10,900.35,35.75,3.97
RITES,384.40,364.00,382.45,367.95,14.50,3.94
Elgi Equipments,531.65,499.60,524.80,505.40,19.40,3.84
TML - D,224.65,214.75,222.75,214.75,8.00,3.73
TML - D,224.65,214.75,222.75,214.75,8.00,3.73
Hindustan Aeron,"2,516.00","2,407.00","2,503.85","2,414.95",88.90,3.68
BSE Limited,617.70,583.75,611.15,589.65,21.50,3.65
Zomato,64.90,62.40,64.60,62.35,2.25,3.61
Adani Total Gas,"3,433.95","3,251.00","3,382.95","3,267.30",115.65,3.54
NLC India,74.70,70.25,73.75,71.25,2.50,3.51
Bank of Mah,21.35,19.75,20.95,20.25,0.70,3.46
United Spirits,871.50,834.25,863.50,835.45,28.05,3.36
Bharat Dynamics,"1,008.70",946.00,995.20,963.15,32.05,3.33
Tech Mahindra,"1,086.00","1,051.00","1,082.50","1,048.15",34.35,3.28
Persistent,"3,853.95","3,705.55","3,829.30","3,708.00",121.30,3.27
KNR Construct,221.00,211.15,218.90,212.05,6.85,3.23
Max Healthcare,427.50,409.55,424.85,411.55,13.30,3.23
Granules India,357.95,342.25,354.45,343.50,10.95,3.19
Jindal Stainles,140.80,133.30,139.15,134.90,4.25,3.15
Indiabulls Real,78.10,74.35,77.25,74.90,2.35,3.14
Metropolis,"1,653.95","1,584.40","1,629.95","1,582.40",47.55,3
V-Guard Ind,261.75,248.15,259.30,251.80,7.50,2.98
One 97 Paytm,659.50,631.05,656.35,637.50,18.85,2.96
Jindal Steel,456.00,437.00,451.25,438.35,12.90,2.94
Dr Lal PathLab,"2,635.00","2,565.35","2,624.90","2,550.90",74.00,2.9
GE Shipping,532.20,505.55,524.85,510.30,14.55,2.85
KPIT Tech,741.60,714.50,732.80,712.85,19.95,2.8
Amara Raja Batt,512.00,491.55,508.80,495.10,13.70,2.77
Rashtriya Chem,103.65,98.75,101.90,99.15,2.75,2.77
Maruti Suzuki,"9,017.00","8,797.40","9,005.00","8,765.45",239.55,2.73
Exide Ind,166.10,159.25,164.15,159.80,4.35,2.72
Godfrey Phillip,"1,500.00","1,432.00","1,490.30","1,450.90",39.40,2.72
