company_name,high,low,last_price,prev_close,change,percent_gain
Indiabulls Hsg,139.25,123.80,138.15,123.75,14.4,11.64
BHEL,82.25,75.30,81.95,74.80,7.15,9.56
Rail Vikas,73.85,67.55,73.30,67.15,6.15,9.16
TML - D,236.00,215.10,234.70,215.05,19.65,9.14
TML - D,236.00,215.10,234.70,215.05,19.65,9.14
UTI AMC,749.00,690.00,744.10,688.15,55.95,8.13
Rajesh Exports,750.00,663.05,722.05,672.40,49.65,7.38
Guj State Petro,283.70,260.65,278.80,260.45,18.35,7.05
Suzlon Energy,8.60,7.85,8.45,7.90,0.55,6.96
PB Fintech,466.90,437.00,460.55,432.00,28.55,6.61
Kajaria Ceramic,"1,118.00","1,046.05","1,111.30","1,045.00",66.3,6.34
Power Finance,136.95,128.05,136.50,129.10,7.4,5.73
RBL Bank,151.80,142.10,150.05,141.95,8.1,5.71
REC,109.95,103.10,109.05,103.30,5.75,5.57
L&T Finance,87.45,82.55,86.90,82.40,4.5,5.46
One 97 Paytm,475.30,448.00,465.20,441.10,24.1,5.46
PNB,55.65,51.25,53.60,50.85,2.75,5.41
EPL,164.95,153.20,161.85,154.10,7.75,5.03
Dhani Services,47.50,44.80,47.50,45.25,2.25,4.97
AB Capital,136.00,128.95,135.30,128.95,6.35,4.92
Chalet Hotels,368.00,342.00,362.10,345.55,16.55,4.79
Escorts Kubota,"2,300.00","2,186.00","2,288.35","2,185.40",102.95,4.71
Sonata,559.00,530.05,552.95,530.40,22.55,4.25
GMR Airports,41.05,38.80,40.70,39.05,1.65,4.23
FDC,294.75,280.90,292.70,280.85,11.85,4.22
Network 18,63.70,60.55,62.95,60.40,2.55,4.22
TV18 Broadcast,37.40,35.40,36.80,35.35,1.45,4.1
IDBI Bank,53.00,49.00,50.95,48.95,2,4.09
Ceat,"1,844.10","1,731.35","1,799.45","1,730.60",68.85,3.98
GE Shipping,672.00,639.10,666.45,641.05,25.4,3.96
Apollo Tyres,294.30,283.10,293.20,282.10,11.1,3.93
Can Fin Homes,547.20,521.80,544.70,524.60,20.1,3.83
Prism Johnson,126.40,118.60,123.40,119.00,4.4,3.7
Finolex Ind,165.00,156.60,161.75,156.20,5.55,3.55
C. E. Info Syst,"1,197.50","1,157.75","1,189.95","1,149.85",40.1,3.49
Sanofi India,"5,699.90","5,486.05","5,689.50","5,498.95",190.55,3.47
JM Financial,75.25,70.85,73.55,71.10,2.45,3.45
IOB,23.65,22.25,22.80,22.05,0.75,3.4
IGL,431.55,414.00,430.60,416.70,13.9,3.34
Symphony,891.65,852.20,880.60,852.65,27.95,3.28
Star Health,648.65,625.15,645.20,625.00,20.2,3.23
LIC Housing Fin,384.05,371.20,383.25,371.30,11.95,3.22
Shilpa,286.50,273.00,281.40,272.80,8.6,3.15
Bandhan Bank,220.35,212.00,219.15,212.50,6.65,3.13
Welspun Corp,240.50,231.90,238.45,231.40,7.05,3.05
EIH,178.00,171.10,177.00,171.80,5.2,3.03
FSN E-Co Nykaa,178.90,171.95,176.05,171.05,5,2.92
Shree Renuka,58.70,55.55,58.15,56.50,1.65,2.92
IRFC,32.15,31.05,31.80,30.90,0.9,2.91
Supreme Ind,"2,347.90","2,278.15","2,343.25","2,278.10",65.15,2.86
Biocon,282.75,275.10,282.15,274.45,7.7,2.81
Hikal,349.50,335.00,344.95,335.60,9.35,2.79
Angel One,"1,540.00","1,491.00","1,536.65","1,495.40",41.25,2.76
India Cements,241.90,235.25,240.95,234.65,6.3,2.68
Indiabulls Real,83.70,79.55,81.70,79.60,2.1,2.64
Zee Entertain,261.00,252.70,259.40,252.75,6.65,2.63
Jyothy Labs,196.65,189.60,194.85,189.90,4.95,2.61
Central Bank,26.35,24.90,25.65,25.00,0.65,2.6
Balkrishna Ind,"2,032.00","1,968.05","2,026.35","1,975.40",50.95,2.58
Atul,"8,244.85","8,020.00","8,201.55","7,996.35",205.2,2.57
GlaxoSmithKline,"1,357.65","1,322.10","1,333.70","1,300.55",33.15,2.55
Tejas Networks,639.70,617.30,633.70,618.05,15.65,2.53
MphasiS,"1,999.95","1,930.50","1,989.55","1,941.25",48.3,2.49
Medplus Health,680.00,653.00,675.90,659.70,16.2,2.46
HDFC Life,590.00,574.00,586.60,572.55,14.05,2.45
MOTHERSON,73.80,71.65,73.40,71.65,1.75,2.44
Tata Elxsi,"6,811.00","6,619.00","6,779.95","6,618.40",161.55,2.44
PVR,"1,875.00","1,828.30","1,866.00","1,821.70",44.3,2.43
Info Edge,"3,964.80","3,843.00","3,954.60","3,862.05",92.55,2.4
KNR Construct,252.90,245.50,251.60,245.70,5.9,2.4
J. K. Cement,"3,025.00","2,945.40","3,014.50","2,944.50",70,2.38
Mahanagar Gas,892.65,868.05,891.20,870.70,20.5,2.35
Zydus Life,404.00,392.40,402.10,393.00,9.1,2.32
IEX,151.80,145.55,150.35,146.95,3.4,2.31
Tata Motors,435.15,424.00,433.20,423.40,9.8,2.31
Tata Motors,435.15,424.00,433.20,423.40,9.8,2.31
IDFC,81.65,78.45,80.20,78.40,1.8,2.3
JSW Energy,309.55,298.55,307.60,300.90,6.7,2.23
Triveni Engg,286.00,278.15,284.65,278.45,6.2,2.23
Godrej Ind,431.90,422.35,429.60,420.25,9.35,2.22
IDFC First Bank,59.20,56.75,58.05,56.80,1.25,2.2
INOX Leisure,545.60,529.75,540.55,528.90,11.65,2.2
Coromandel Int,926.00,901.30,920.35,901.25,19.1,2.12
Persistent,"3,979.00","3,878.25","3,970.80","3,888.30",82.5,2.12
Brigade Ent,483.70,466.85,479.75,469.90,9.85,2.1
Equitas Bank,53.95,51.80,53.40,52.30,1.1,2.1
HPCL,228.40,219.20,226.05,221.50,4.55,2.05
Exide Ind,186.65,181.70,185.55,181.85,3.7,2.03
M&M Financial,214.10,206.75,212.65,208.60,4.05,1.94
Oberoi Realty,905.00,880.05,894.50,877.50,17,1.94
Alkyl Amines,"2,893.85","2,810.75","2,870.90","2,817.15",53.75,1.91
Brightcom Group,37.85,36.25,37.35,36.65,0.7,1.91
Trident,35.25,34.20,34.90,34.25,0.65,1.9
Graphite India,384.85,373.05,380.45,373.35,7.1,1.9
ACC,"2,515.00","2,455.65","2,507.25","2,461.35",45.9,1.86
Ipca Labs,880.00,849.00,869.05,853.20,15.85,1.86
Jindal Stainles,178.80,172.20,176.55,173.35,3.2,1.85
Aditya Birla F,312.65,306.25,310.60,304.95,5.65,1.85
Aarti Drugs,452.60,440.50,450.45,442.30,8.15,1.84
Aegis Logistics,338.00,325.10,336.20,330.15,6.05,1.83
Vedanta,317.35,309.60,316.55,310.90,5.65,1.82
Ashok Leyland,149.80,145.70,148.75,146.10,2.65,1.81
Chambal Fert,304.00,297.20,303.05,297.65,5.4,1.81
HDFC AMC,"2,167.00","2,124.85","2,162.95","2,124.55",38.4,1.81
Varroc Engineer,293.45,284.00,289.65,284.50,5.15,1.81
IOC,73.95,71.65,73.35,72.05,1.3,1.8
