company_name,high,low,last_price,prev_close,change,percent_gain
Sonata,963.00,891.05,954.25,885.10,69.15,7.81
Mazagon Dock,827.40,755.50,809.45,753.55,55.9,7.42
Trident,35.75,32.95,35.20,32.80,2.4,7.32
HUDCO,60.15,54.40,58.60,55.00,3.6,6.55
Birlasoft,334.50,307.85,328.35,308.60,19.75,6.4
Astral Ltd,"1,739.65","1,610.05","1,686.50","1,595.65",90.85,5.69
Ceat,"1,875.00","1,780.00","1,862.40","1,776.15",86.25,4.86
Brightcom Group,15.60,15.60,15.60,14.90,0.7,4.7
PB Fintech,631.15,599.00,627.50,599.35,28.15,4.7
Aurobindo Pharm,648.20,612.00,641.45,613.65,27.8,4.53
Grindwell Norto,"2,103.00","1,975.05","2,062.10","1,976.65",85.45,4.32
Borosil Renew,521.95,491.55,515.15,494.05,21.1,4.27
Vodafone Idea,7.45,7.00,7.35,7.05,0.3,4.26
Elgi Equipments,492.00,465.00,486.90,467.30,19.6,4.19
Cera Sanitary,"7,474.00","7,133.75","7,438.95","7,154.15",284.8,3.98
Bharat Dynamics,"1,064.95","1,020.00","1,054.65","1,018.20",36.45,3.58
Finolex Ind,191.15,181.70,187.70,181.25,6.45,3.56
Engineers India,103.35,96.10,100.30,96.90,3.4,3.51
Star Health,603.60,574.45,593.35,573.60,19.75,3.44
LIC Housing Fin,398.00,382.25,394.70,381.80,12.9,3.38
IOC,87.65,85.00,87.00,84.20,2.8,3.33
Restaurant Bran,108.00,103.70,107.25,103.80,3.45,3.32
Vijaya Diagnost,389.90,375.00,386.80,374.95,11.85,3.16
Procter&Gamble,"4,852.80","4,690.00","4,826.30","4,680.10",146.2,3.12
Indian Hotels,371.60,355.00,363.75,353.35,10.4,2.94
New India Assur,124.50,115.60,118.90,115.55,3.35,2.9
INDUS TOWERS,156.15,150.45,154.60,150.40,4.2,2.79
SKF India,"4,510.05","4,338.00","4,464.10","4,347.75",116.35,2.68
PNC Infratech,325.50,311.05,319.05,310.90,8.15,2.62
Cochin Shipyard,566.25,537.70,552.30,538.55,13.75,2.55
Mastek,"1,806.30","1,748.00","1,794.10","1,751.25",42.85,2.45
Quess Corp,391.30,377.05,387.45,378.20,9.25,2.45
Hindustan Aeron,"3,123.10","3,033.05","3,096.75","3,024.35",72.4,2.39
Timken,"3,240.00","3,140.00","3,224.15","3,151.60",72.55,2.3
Exide Ind,195.35,190.55,194.75,190.45,4.3,2.26
IEX,162.00,155.00,159.20,155.80,3.4,2.18
Firstsource Sol,135.35,127.65,132.35,129.55,2.8,2.16
Galaxy Surfacta,"2,639.00","2,548.30","2,599.65","2,545.70",53.95,2.12
Vardhman Text,333.00,321.60,328.15,321.35,6.8,2.12
Manappuram Fin,117.60,111.60,112.40,110.15,2.25,2.04
GNFC,653.55,638.05,648.10,635.65,12.45,1.96
Equitas Bank,79.30,76.80,78.30,76.80,1.5,1.95
IRB Infra,29.75,28.40,28.95,28.40,0.55,1.94
IRB Infra,29.75,28.40,28.95,28.40,0.55,1.94
CG Power ,344.70,331.00,338.45,332.15,6.3,1.9
United Brewerie,"1,453.10","1,421.30","1,448.95","1,422.60",26.35,1.85
Page Industries,"43,570.00","42,250.00","43,010.40","42,237.15",773.25,1.83
Prism Johnson,119.50,116.25,118.40,116.30,2.1,1.81
COFORGE LTD.,"4,252.85","4,130.00","4,204.00","4,131.30",72.7,1.76
Amber Enterpris,"1,947.95","1,855.00","1,882.20","1,849.80",32.4,1.75
Kalyan Jeweller,109.70,106.70,108.35,106.55,1.8,1.69
V-Guard Ind,254.70,247.75,253.40,249.20,4.2,1.69
Chola Invest.,"1,024.90","1,003.15","1,020.40","1,003.50",16.9,1.68
AU Small Financ,736.85,714.85,728.90,716.95,11.95,1.67
CreditAccess Gr,"1,109.00","1,060.05","1,085.90","1,068.15",17.75,1.66
Caplin Labs,722.40,708.00,719.05,707.45,11.6,1.64
EIH,197.20,191.90,194.70,191.60,3.1,1.62
Uflex,444.50,431.70,436.60,429.65,6.95,1.62
RHI Magnesita,684.00,668.70,680.80,670.00,10.8,1.61
General Insuran,183.25,172.65,175.25,172.60,2.65,1.54
Tata Power,215.00,208.20,211.35,208.15,3.2,1.54
BASF,"2,494.00","2,416.60","2,458.20","2,421.25",36.95,1.53
Anupam Rasayan,"1,194.55","1,162.85","1,190.05","1,172.40",17.65,1.51
BPCL,366.30,357.00,362.30,357.00,5.3,1.48
Deepak Fert,602.00,589.10,598.40,589.70,8.7,1.48
NBCC (India),42.65,41.05,41.70,41.10,0.6,1.46
ONGC,168.50,166.75,168.00,165.60,2.4,1.45
Bank of Baroda,188.50,183.90,186.50,183.85,2.65,1.44
Max Financial,689.90,673.55,681.60,671.90,9.7,1.44
MRPL,64.65,62.80,63.25,62.35,0.9,1.44
ABB India,"3,933.75","3,845.60","3,910.50","3,855.45",55.05,1.43
BHEL,82.45,80.55,81.60,80.45,1.15,1.43
HLE Glascoat,644.50,615.40,623.20,614.40,8.8,1.43
HLE Glascoat,644.50,615.40,623.20,614.40,8.8,1.43
Chambal Fert,299.90,291.05,295.90,291.80,4.1,1.41
Shree Renuka,44.40,42.80,43.15,42.55,0.6,1.41
NOCIL,235.00,228.35,231.30,228.10,3.2,1.4
FSN E-Co Nykaa,129.35,124.80,127.20,125.45,1.75,1.39
SJVN,37.75,36.30,36.80,36.30,0.5,1.38
Coal India,241.70,237.45,240.95,237.70,3.25,1.37
Delta Corp,230.45,223.05,227.00,223.95,3.05,1.36
One 97 Paytm,726.50,711.15,722.80,713.15,9.65,1.35
