company_name,high,low,last_price,prev_close,change,percent_gain
Dhani Services,35.40,30.00,34.60,29.50,5.1,17.29
Brightcom Group,17.65,17.00,17.65,16.05,1.6,9.97
Tata Inv Corp,"1,965.00","1,774.00","1,940.90","1,773.10",167.8,9.46
FSN E-Co Nykaa,138.80,127.10,136.65,126.80,9.85,7.77
Elgi Equipments,471.45,432.00,466.40,433.65,32.75,7.55
Indiabulls Real,54.45,50.20,54.00,50.50,3.5,6.93
Aegis Logistics,405.00,376.05,400.05,375.95,24.1,6.41
L&T Technology,"3,692.00","3,410.30","3,652.50","3,435.25",217.25,6.32
Guj Amb Exports,251.00,234.75,248.95,234.25,14.7,6.28
Uflex,367.15,341.05,361.15,339.95,21.2,6.24
Rattanindia Ent,40.25,37.50,39.50,37.25,2.25,6.04
Cyient,"1,064.30",998.00,"1,054.30",994.70,59.6,5.99
COFORGE LTD.,"4,120.00","3,821.10","4,079.20","3,851.35",227.85,5.92
Sudarshan Chem,414.00,391.70,412.80,390.65,22.15,5.67
Bombay Burmah,885.00,828.70,876.30,830.45,45.85,5.52
IGL,445.00,421.25,443.60,420.55,23.05,5.48
Nazara,551.70,518.15,548.15,519.80,28.35,5.45
Welspun India,72.00,67.00,71.00,67.40,3.6,5.34
Mazagon Dock,696.35,657.70,691.10,657.10,34,5.17
Anupam Rasayan,892.00,842.00,888.35,844.80,43.55,5.16
Star Health,559.00,530.70,553.55,527.10,26.45,5.02
Fert and Chem,226.40,217.10,226.40,215.65,10.75,4.98
TataTeleservice,61.10,58.80,61.10,58.20,2.9,4.98
Aarti Drugs,361.55,340.00,357.65,340.90,16.75,4.91
Laxmi Organic,253.80,240.45,251.80,240.15,11.65,4.85
DCM Shriram,811.90,760.50,804.00,767.45,36.55,4.76
Westlife Food,755.00,687.30,719.65,690.20,29.45,4.27
Timken,"2,888.95","2,745.95","2,880.20","2,764.90",115.3,4.17
Jyothy Labs,199.85,189.05,196.15,188.50,7.65,4.06
Larsen,"2,262.50","2,165.00","2,257.75","2,170.15",87.6,4.04
Mahanagar Gas,960.50,920.15,957.60,920.95,36.65,3.98
Clean Science,"1,380.00","1,288.95","1,375.60","1,323.10",52.5,3.97
eClerx Services,"1,363.35","1,295.35","1,354.40","1,303.60",50.8,3.9
General Insuran,143.55,136.40,141.35,136.25,5.1,3.74
Welspun Corp,214.65,208.05,213.45,205.75,7.7,3.74
Bharat Rasayan,"9,499.00","9,021.55","9,442.60","9,107.40",335.2,3.68
NBCC (India),37.75,36.45,36.95,35.65,1.3,3.65
SIS,356.70,340.25,352.15,340.25,11.9,3.5
NOCIL,216.00,208.20,215.35,208.10,7.25,3.48
Tanla Platforms,582.15,556.45,576.35,557.65,18.7,3.35
