company_name,high,low,last_price,prev_close,change,percent_gain
Fert and Chem,355.70,313.05,355.60,323.40,32.2,9.96
Sharda Crop,515.35,455.55,501.30,456.10,45.2,9.91
APTUS VALUE,320.00,288.45,313.40,293.00,20.4,6.96
Aegis Logistics,359.90,332.05,351.90,329.65,22.25,6.75
KEC Intl,508.90,470.20,504.75,475.65,29.1,6.12
Indiabulls Hsg,157.75,145.75,155.90,147.35,8.55,5.8
APL Apollo,"1,134.40","1,055.95","1,116.45","1,056.60",59.85,5.66
Adani Total Gas,"3,999.00","3,508.00","3,793.00","3,605.80",187.2,5.19
Karur Vysya,114.80,107.55,113.65,108.25,5.4,4.99
CRISIL,"3,055.25","2,777.00","2,996.75","2,855.35",141.4,4.95
FSN E-Co Nykaa,160.40,148.80,158.10,150.75,7.35,4.88
Adani Wilmar,607.20,585.60,605.20,578.30,26.9,4.65
Adani Trans,"2,760.00","2,482.65","2,669.50","2,564.45",105.05,4.1
G R Infra,"1,185.00","1,115.00","1,168.60","1,123.40",45.2,4.02
Avenue Supermar,"4,207.95","3,971.80","4,178.30","4,017.75",160.55,4
KPR Mill,532.00,496.10,523.25,503.85,19.4,3.85
Pfizer,"4,559.00","4,300.00","4,488.15","4,325.95",162.2,3.75
Max Healthcare,460.00,430.05,454.25,438.00,16.25,3.71
Hikal,368.70,348.30,366.15,353.45,12.7,3.59
Jindal Stainles,242.50,217.55,226.30,219.25,7.05,3.22
Federal Bank,139.90,132.00,137.65,133.65,4,2.99
Brightcom Group,30.00,26.25,29.40,28.55,0.85,2.98
Finolex Ind,195.00,176.65,189.00,183.60,5.4,2.94
Rail Vikas,70.00,66.10,68.55,66.70,1.85,2.77
Varun Beverages,"1,369.00","1,291.40","1,357.20","1,323.45",33.75,2.55
Kajaria Ceramic,"1,175.00","1,112.00","1,160.40","1,131.70",28.7,2.54
Prince Pipes,600.00,574.60,595.35,581.60,13.75,2.36
Birla Corp,"1,005.00",962.05,986.10,963.80,22.3,2.31
Angel One,"1,338.35","1,290.00","1,333.35","1,303.45",29.9,2.29
Eicher Motors,"3,490.75","3,163.25","3,281.20","3,211.55",69.65,2.17
BHEL,79.90,75.85,78.85,77.20,1.65,2.14
Bharti Airtel,824.75,760.10,820.75,803.80,16.95,2.11
Bharat Dynamics,943.90,904.00,940.35,921.05,19.3,2.1
Bajaj Electric,"1,230.00","1,161.50","1,214.15","1,189.55",24.6,2.07
LTIMindtree,"4,455.00","4,280.00","4,420.20","4,332.00",88.2,2.04
RBL Bank,177.20,168.80,176.50,173.05,3.45,1.99
Bank of Baroda,188.00,179.20,185.35,181.80,3.55,1.95
Jindal Steel,597.95,570.10,589.35,578.20,11.15,1.93
IIFL Finance,485.00,465.40,480.60,471.55,9.05,1.92
Godfrey Phillip,"1,920.00","1,844.65","1,907.65","1,873.20",34.45,1.84
P and G,"14,688.95","14,000.00","14,403.00","14,143.45",259.55,1.84
City Union Bank,180.00,170.00,178.20,175.00,3.2,1.83
Kalpataru Power,557.75,533.90,549.80,540.05,9.75,1.81
SBI,618.00,597.15,611.80,601.05,10.75,1.79
TataTeleservice,96.20,92.05,93.25,91.65,1.6,1.75
