company_name,high,low,last_price,prev_close,change,percent_gain
Fert and Chem,285.40,234.75,285.40,237.85,47.55,19.99
Divis Labs,"3,227.50","2,941.00","3,212.10","2,927.35",284.75,9.73
IFB Industries,908.00,759.85,828.90,762.95,65.95,8.64
SIS,380.00,344.80,373.45,345.25,28.20,8.17
Laurus Labs,328.90,299.55,323.10,302.05,21.05,6.97
Alok Industries,13.40,12.25,13.15,12.30,0.85,6.91
Rashtriya Chem,109.60,99.80,107.20,100.35,6.85,6.83
Max Healthcare,486.25,438.50,479.00,450.90,28.10,6.23
Nippon,231.20,217.10,230.25,217.65,12.60,5.79
Medplus Health,741.00,693.55,731.15,692.00,39.15,5.66
Vedant Fashions,"1,239.95","1,142.50","1,214.20","1,153.15",61.05,5.29
Balaji Amines,"2,500.00","2,352.00","2,486.40","2,363.20",123.20,5.21
Shipping Corp,89.15,89.15,89.15,84.95,4.20,4.94
Metropolis,"1,319.55","1,237.75","1,294.80","1,235.40",59.40,4.81
Deepak Fert,669.90,611.00,636.60,608.20,28.40,4.67
Route,"1,277.90","1,209.00","1,271.05","1,215.75",55.30,4.55
ABSL AMC,352.90,333.00,347.25,332.50,14.75,4.44
Vinati Organics,"1,988.50","1,899.00","1,977.45","1,898.35",79.10,4.17
Asahi India,475.00,452.00,467.60,449.85,17.75,3.95
CSB Bank,270.40,259.00,269.20,259.10,10.10,3.9
Indiamart Inter,"5,340.00","5,128.95","5,331.45","5,136.10",195.35,3.8
Aarti Drugs,415.00,392.00,411.85,397.05,14.80,3.73
Fine Organics,"4,543.00","4,332.80","4,494.35","4,332.90",161.45,3.73
JB Chemicals,"2,115.00","2,027.00","2,103.50","2,029.20",74.30,3.66
Page Industries,"37,999.90","36,550.00","37,798.95","36,469.40","1,329.55",3.65
Hikal,316.00,295.00,309.35,298.60,10.75,3.6
Biocon,227.00,216.25,223.65,216.00,7.65,3.54
Aurobindo Pharm,563.40,540.65,561.60,542.65,18.95,3.49
Sun Pharma Adv,198.90,183.75,190.00,183.60,6.40,3.49
IGL,485.50,467.70,483.90,467.70,16.20,3.46
Tanla Platforms,608.30,580.30,602.00,583.10,18.90,3.24
EID Parry,513.35,495.00,511.15,495.30,15.85,3.2
GSFC,129.70,123.35,127.60,123.75,3.85,3.11
Wockhardt,169.70,163.60,168.85,163.85,5.00,3.05
