company_name,high,low,last_price,prev_close,change,percent_gain
NCC,118.45,107.50,117.75,108.50,9.25,8.53
JB Chemicals,"2,080.00","1,915.20","2,054.85","1,920.05",134.80,7.02
Sanofi India,"6,820.00","6,403.60","6,775.40","6,403.60",371.80,5.81
Aster DM Health,285.00,261.45,278.15,263.50,14.65,5.56
Sudarshan Chem,467.50,433.65,461.60,440.00,21.60,4.91
Tejas Networks,679.30,643.00,674.90,644.75,30.15,4.68
Westlife Food,770.00,733.20,765.45,732.45,33.00,4.51
Zomato,68.20,64.50,67.30,64.45,2.85,4.42
Metro Brands,977.40,921.35,969.60,929.60,40.00,4.3
Welspun India,97.00,91.10,95.75,91.85,3.90,4.25
KPIT Tech,"1,028.65",984.00,"1,020.30",979.65,40.65,4.15
Ceat,"2,185.00","2,040.05","2,160.65","2,076.70",83.95,4.04
JBM Auto,803.00,767.95,792.65,762.95,29.70,3.89
JSW Energy,262.30,248.05,258.70,249.70,9.00,3.6
Cummins,"1,662.35","1,565.00","1,650.15","1,595.30",54.85,3.44
INDUS TOWERS,149.70,142.15,147.65,142.75,4.90,3.43
UNO Minda,544.25,525.00,542.20,524.45,17.75,3.38
IDFC,94.60,91.20,94.45,91.45,3.00,3.28
Tata Elxsi,"7,289.60","7,000.05","7,261.00","7,032.45",228.55,3.25
Jubilant Food,492.80,472.70,489.15,473.80,15.35,3.24
Orient Electric,237.50,228.50,235.35,228.00,7.35,3.22
Indiabulls Real,65.50,62.20,64.85,62.85,2.00,3.18
RITES,386.60,370.30,385.25,373.80,11.45,3.06
NLC India,95.40,91.60,94.80,92.00,2.80,3.04
IDFC First Bank,68.10,65.85,68.00,66.00,2.00,3.03
Chalet Hotels,450.00,420.00,432.55,419.90,12.65,3.01
Balkrishna Ind,"2,453.00","2,340.00","2,445.75","2,376.60",69.15,2.91
Whirlpool,"1,443.85","1,379.00","1,426.15","1,386.00",40.15,2.9
Zensar Tech,363.40,350.00,359.85,349.95,9.90,2.83
G R Infra,"1,150.00","1,110.90","1,143.80","1,112.30",31.50,2.83
Bajaj Auto,"4,651.40","4,504.60","4,644.00","4,517.60",126.40,2.8
Lakshmi Machine,"11,700.00","11,051.30","11,508.55","11,195.90",312.65,2.79
Bharti Airtel,825.50,797.85,822.70,801.40,21.30,2.66
Godfrey Phillip,"1,795.30","1,732.15","1,777.55","1,732.15",45.40,2.62
DLF,479.80,464.65,477.25,465.50,11.75,2.52
Adani Enterpris,"2,558.80","2,386.65","2,537.45","2,475.60",61.85,2.5
CG Power ,375.00,358.45,373.25,364.30,8.95,2.46
Power Finance,171.00,166.05,170.60,166.50,4.10,2.46
IRB Infra,27.60,26.85,27.45,26.80,0.65,2.43
IRB Infra,27.60,26.85,27.45,26.80,0.65,2.43
BHEL,82.20,79.90,81.90,80.00,1.90,2.38
Dixon Technolog,"3,627.75","3,476.90","3,597.85","3,514.30",83.55,2.38
Tata Coffee,227.90,221.30,227.05,221.85,5.20,2.34
Narayana Hruda,867.15,843.35,859.40,839.90,19.50,2.32
Astral Ltd,"1,757.55","1,706.00","1,751.95","1,714.35",37.60,2.19
Transport Corp,704.00,681.05,701.50,687.10,14.40,2.1
Edelweiss,67.25,64.50,65.90,64.55,1.35,2.09
Indigo Paints,"1,503.90","1,417.00","1,458.95","1,429.05",29.90,2.09
Godrej Prop,"1,369.90","1,333.10","1,365.60","1,337.90",27.70,2.07
EIH,215.75,199.40,204.00,199.95,4.05,2.03
Nazara,636.25,622.00,633.65,621.15,12.50,2.01
Rossari,732.05,705.65,724.75,710.90,13.85,1.95
TCI Express,"1,569.65","1,525.55","1,550.90","1,521.45",29.45,1.94
