company_name,high,low,last_price,prev_close,change,percent_gain
HUDCO,55.20,49.00,53.30,48.75,4.55,9.33
Varun Beverages,"1,324.00","1,151.00","1,249.75","1,146.15",103.6,9.04
Go Fashion,"1,353.20","1,123.60","1,222.60","1,127.70",94.9,8.42
Mahindra Logist,545.75,494.55,527.60,492.65,34.95,7.09
Kalyan Jeweller,109.10,100.00,105.90,98.95,6.95,7.02
Equitas Bank,57.90,53.80,57.15,53.65,3.5,6.52
Network 18,69.80,64.05,68.05,63.95,4.1,6.41
Vijaya Diagnost,496.50,454.30,489.35,460.05,29.3,6.37
Shriram Trans,"1,375.00","1,272.00","1,350.00","1,270.30",79.7,6.27
Tejas Networks,662.75,614.40,656.35,619.90,36.45,5.88
Mahindra Holida,293.00,273.50,290.20,274.30,15.9,5.8
Suzlon Energy,9.35,8.75,9.25,8.75,0.5,5.71
GMR Airports,43.20,40.50,42.90,40.60,2.3,5.67
Adani Green Ene,"2,143.95","2,000.00","2,116.50","2,012.05",104.45,5.19
Hinduja Global,"1,322.05","1,220.00","1,282.00","1,221.35",60.65,4.97
Privi Special,"1,295.00","1,183.00","1,252.10","1,196.10",56,4.68
Adani Trans,"2,999.90","2,789.65","2,908.50","2,782.70",125.8,4.52
Bajaj Holdings,"6,624.00","6,006.00","6,294.95","6,024.10",270.85,4.5
UTI AMC,784.60,744.45,781.15,748.35,32.8,4.38
KRBL,414.25,400.10,412.55,395.30,17.25,4.36
Solar Ind,"3,895.00","3,726.05","3,877.75","3,717.25",160.5,4.32
APL Apollo,"1,130.00","1,075.00","1,120.45","1,074.45",46,4.28
Cochin Shipyard,669.85,642.60,667.05,640.60,26.45,4.13
Jindal Steel,539.50,515.00,535.75,515.00,20.75,4.03
M&M,"1,316.00","1,257.65","1,305.60","1,257.10",48.5,3.86
Chalet Hotels,374.00,355.65,372.40,358.60,13.8,3.85
JK Lakshmi Cem,719.10,689.25,712.55,686.60,25.95,3.78
Mazagon Dock,924.10,874.90,908.75,877.80,30.95,3.53
PI Industries,"3,515.00","3,381.85","3,492.95","3,375.00",117.95,3.49
TML - D,237.95,228.25,235.15,227.45,7.7,3.39
TML - D,237.95,228.25,235.15,227.45,7.7,3.39
Hindalco,451.95,438.15,450.70,435.95,14.75,3.38
Varroc Engineer,302.50,287.10,298.50,288.75,9.75,3.38
Tata Elxsi,"7,050.00","6,781.00","7,010.25","6,781.75",228.5,3.37
Nippon,271.95,263.90,271.30,262.60,8.7,3.31
Indoco Remedies,401.00,384.20,397.65,384.95,12.7,3.3
Birlasoft,307.05,294.65,305.25,295.55,9.7,3.28
BHEL,84.00,81.55,83.70,81.05,2.65,3.27
NBCC (India),43.75,41.05,42.55,41.25,1.3,3.15
Transport Corp,695.45,662.55,692.25,671.30,20.95,3.12
Dalmia Bharat,"1,826.00","1,762.10","1,820.70","1,766.25",54.45,3.08
Cummins,"1,420.00","1,376.20","1,413.50","1,371.60",41.9,3.05
ICICI Lombard ,"1,213.20","1,176.05","1,211.15","1,175.70",35.45,3.02
Persistent,"4,172.00","4,032.55","4,154.70","4,034.75",119.95,2.97
GMM Pfaudler,"1,969.30","1,891.00","1,951.65","1,896.30",55.35,2.92
TataTeleservice,104.10,98.60,102.05,99.15,2.9,2.92
TV18 Broadcast,37.35,36.15,37.15,36.10,1.05,2.91
EIH,180.65,173.85,178.90,173.95,4.95,2.85
Shree Cements,"24,017.00","23,217.50","23,879.75","23,218.35",661.4,2.85
Raymond,"1,374.00","1,329.60","1,364.10","1,326.50",37.6,2.83
PNC Infratech,277.30,268.25,275.45,267.90,7.55,2.82
Allcargo,450.80,429.00,444.60,432.45,12.15,2.81
ZFCVINDIA,"9,877.55","9,325.05","9,736.60","9,473.30",263.3,2.78
United Spirits,934.85,908.25,932.30,907.45,24.85,2.74
Supreme Ind,"2,458.80","2,349.60","2,435.20","2,371.15",64.05,2.7
Jubilant Pharmo,395.65,380.05,391.55,381.30,10.25,2.69
Zomato,66.80,61.90,65.25,63.55,1.7,2.68
Aegis Logistics,328.70,311.00,325.10,316.90,8.2,2.59
Prestige Estate,478.00,462.15,474.70,462.75,11.95,2.58
DLF,404.30,389.35,402.65,392.55,10.1,2.57
Medplus Health,690.00,670.05,685.25,668.10,17.15,2.57
PCBL,142.75,138.10,142.10,138.55,3.55,2.56
SAIL,85.00,82.70,84.85,82.75,2.1,2.54
Jyothy Labs,205.85,198.20,203.00,198.05,4.95,2.5
Bajaj Auto,"3,772.90","3,671.00","3,750.70","3,660.10",90.6,2.48
Procter&Gamble,"4,192.00","4,065.05","4,164.00","4,063.15",100.85,2.48
Vodafone Idea,8.30,8.00,8.25,8.05,0.2,2.48
PNB Housing Fin,454.00,439.20,447.95,437.10,10.85,2.48
Bayer CropScien,"4,650.00","4,525.60","4,630.15","4,519.55",110.6,2.45
IRB Infra,287.60,274.40,280.25,273.55,6.7,2.45
Zydus Wellness,"1,619.00","1,581.55","1,613.05","1,575.30",37.75,2.4
Ramco Cements,677.70,657.40,674.80,659.05,15.75,2.39
Garware Technic,"3,429.70","3,301.00","3,398.50","3,319.70",78.8,2.37
Triveni Turbine,289.50,280.50,286.95,280.30,6.65,2.37
Grasim,"1,768.60","1,725.20","1,759.75","1,719.15",40.6,2.36
Motherson SWI,62.30,59.70,61.45,60.05,1.4,2.33
Hind Copper,119.70,115.00,117.30,114.65,2.65,2.31
Jindal Stainles,176.40,170.10,173.70,169.85,3.85,2.27
DCM Shriram,878.40,853.10,871.95,852.80,19.15,2.25
Laurus Labs,420.50,405.20,417.45,408.60,8.85,2.17
Castrol,132.40,129.05,131.50,128.75,2.75,2.14
Oberoi Realty,940.95,902.05,923.90,904.50,19.4,2.14
UltraTechCement,"7,095.00","6,905.05","7,077.00","6,928.90",148.1,2.14
Bharat Dynamics,975.30,941.05,969.00,948.75,20.25,2.13
NALCO,77.20,75.40,77.00,75.40,1.6,2.12
Power Grid Corp,224.95,217.65,224.00,219.35,4.65,2.12
Rajesh Exports,787.00,723.15,760.00,744.30,15.7,2.11
IGL,452.00,433.30,442.60,433.50,9.1,2.1
Godrej Prop,"1,316.95","1,276.05","1,305.15","1,278.55",26.6,2.08
Welspun Corp,251.95,244.70,250.50,245.45,5.05,2.06
Tata Comm,"1,315.00","1,251.00","1,300.20","1,274.20",26,2.04
Vaibhav Global,339.10,331.00,337.65,330.95,6.7,2.02
Mastek,"1,722.25","1,666.05","1,709.00","1,675.30",33.7,2.01
Eicher Motors,"3,504.50","3,417.05","3,484.50","3,416.10",68.4,2
SIS,405.00,388.30,397.45,389.65,7.8,2
Metro Brands,837.70,812.30,831.65,815.40,16.25,1.99
MOTHERSON,75.10,73.00,74.75,73.30,1.45,1.98
ACC,"2,570.00","2,507.55","2,563.25","2,514.05",49.2,1.96
Jubilant Ing.,541.00,527.00,537.40,527.10,10.3,1.95
Lupin,769.00,747.50,766.10,751.45,14.65,1.95
SBI Life Insura,"1,289.70","1,252.75","1,282.90","1,258.40",24.5,1.95
Century,812.55,782.25,808.45,793.05,15.4,1.94
SRF,"2,378.00","2,319.20","2,365.70","2,320.95",44.75,1.93
UPL,793.55,774.35,789.70,774.85,14.85,1.92
Intellect Desig,462.25,449.00,459.45,450.85,8.6,1.91
Route,"1,331.85","1,303.80","1,327.90","1,302.95",24.95,1.91
AU Small Financ,644.85,627.65,639.30,627.35,11.95,1.9
HUL,"2,698.00","2,623.00","2,684.35","2,634.20",50.15,1.9
MRPL,59.55,57.05,58.85,57.75,1.1,1.9
Deepak Fert,818.90,791.10,804.40,789.70,14.7,1.86
Polyplex Corp,"1,802.05","1,762.00","1,794.65","1,761.90",32.75,1.86
Colgate,"1,640.00","1,607.05","1,632.15","1,602.60",29.55,1.84
Godrej Consumer,888.90,867.10,881.45,865.65,15.8,1.83
IRCTC,739.40,726.00,736.20,723.00,13.2,1.83
Bandhan Bank,239.75,234.20,238.40,234.15,4.25,1.82
Britannia,"4,387.90","4,290.05","4,362.30","4,285.35",76.95,1.8
Fine Organics,"6,322.00","6,050.10","6,244.15","6,133.65",110.5,1.8
IOC,77.00,74.45,76.65,75.30,1.35,1.79
SJVN,40.65,38.40,39.85,39.15,0.7,1.79
JK Paper,424.90,413.20,420.65,413.30,7.35,1.78
Carborundum,859.00,833.00,853.20,838.40,14.8,1.77
Cyient,843.00,816.00,837.30,822.90,14.4,1.75
Godrej Ind,465.40,455.55,462.45,454.55,7.9,1.74
Rattanindia Ent,49.90,48.75,49.70,48.85,0.85,1.74
Prism Johnson,133.65,126.50,131.85,129.60,2.25,1.74
Indian Hotels,325.20,316.30,321.65,316.20,5.45,1.72
JBM Auto,437.10,421.00,427.95,420.80,7.15,1.7
Jamna Auto,109.40,106.00,108.40,106.60,1.8,1.69
Honeywell Autom,"41,896.00","40,880.00","41,715.60","41,027.80",687.8,1.68
Thyrocare Techn,633.05,621.25,630.80,620.35,10.45,1.68
Berger Paints,623.75,611.00,622.40,612.20,10.2,1.67
Cipla,"1,149.00","1,120.00","1,139.65","1,121.15",18.5,1.65
Max Healthcare,454.00,439.20,450.10,442.90,7.2,1.63
Container Corp,775.00,754.00,771.95,759.65,12.3,1.62
Vedant Fashions,"1,374.95","1,350.00","1,368.20","1,346.35",21.85,1.62
TATA Cons. Prod,821.95,804.25,818.05,805.05,13,1.61
Chola Fin Hold,599.40,575.40,590.50,581.20,9.3,1.6
Exide Ind,190.35,185.55,188.85,185.90,2.95,1.59
Max Financial,709.00,684.75,705.60,694.65,10.95,1.58
Sunteck Realty,407.40,397.80,404.45,398.20,6.25,1.57
eClerx Services,"1,457.50","1,433.80","1,448.35","1,426.30",22.05,1.55
