company_name,high,low,last_price,prev_close,change,percent_gain
ITI,99.95,88.30,98.20,87.65,10.55,12.04
Cyient,"1,009.90",942.00,"1,001.20",944.05,57.15,6.05
Adani Green Ene,"1,031.45",942.65,"1,029.35",982.35,47,4.78
GE Shipping,631.00,601.25,624.45,601.20,23.25,3.87
Adani Trans,"1,138.60","1,042.30","1,124.55","1,084.40",40.15,3.7
Zydus Wellness,"1,548.00","1,466.35","1,524.55","1,471.05",53.5,3.64
Aarti Drugs,404.70,374.30,386.60,373.70,12.9,3.45
Aurobindo Pharm,503.00,485.00,500.45,486.15,14.3,2.94
Tube Investment,"2,570.90","2,479.15","2,551.40","2,480.00",71.4,2.88
Hindustan Aeron,"2,614.80","2,520.00","2,567.50","2,496.35",71.15,2.85
Adani Total Gas,"1,031.15",944.00,"1,007.45",982.05,25.4,2.59
Patanjali Foods,912.00,874.50,904.65,882.45,22.2,2.52
3M India,"22,527.95","21,730.00","22,323.05","21,783.35",539.7,2.48
Dilip Buildcon,186.90,177.10,183.25,179.40,3.85,2.15
Fortis Health,259.00,245.50,254.85,250.60,4.25,1.7
Go Fashion,965.00,930.00,951.05,935.35,15.7,1.68
Prism Johnson,110.20,106.00,107.85,106.30,1.55,1.46
TCI Express,"1,509.95","1,452.00","1,484.35","1,463.60",20.75,1.42
Linde India,"4,009.00","3,900.00","3,969.85","3,915.35",54.5,1.39
Schaeffler Ind,"2,810.00","2,742.95","2,787.15","2,753.60",33.55,1.22
Timken,"2,875.00","2,727.00","2,798.80","2,765.50",33.3,1.2
Aegis Logistics,399.50,381.25,397.65,393.85,3.8,0.96
Cipla,879.00,866.15,877.25,869.10,8.15,0.94
Hind Zinc,324.00,320.30,323.10,320.25,2.85,0.89
Indiamart Inter,"5,077.45","4,921.00","4,976.85","4,932.90",43.95,0.89
Redington,174.70,169.35,170.85,169.35,1.5,0.89
CG Consumer,297.30,290.10,293.75,291.40,2.35,0.81
Hatsun Agro,844.85,821.25,839.45,832.85,6.6,0.79
Atul,"6,952.00","6,840.00","6,921.55","6,869.30",52.25,0.76
Kotak Mahindra,"1,708.95","1,675.00","1,692.15","1,679.70",12.45,0.74
L&T Technology,"3,402.90","3,336.60","3,385.50","3,360.90",24.6,0.73
Honeywell Autom,"35,873.70","35,146.00","35,775.65","35,519.85",255.8,0.72
AIA Engineering,"2,894.00","2,803.90","2,843.05","2,823.35",19.7,0.7
Metro Brands,789.55,775.25,786.05,780.60,5.45,0.7
Solar Ind,"3,855.00","3,807.10","3,837.60","3,811.45",26.15,0.69
Swan Energy,224.90,213.55,217.55,216.10,1.45,0.67
Krishna Inst.,"1,350.00","1,310.30","1,329.90","1,321.40",8.5,0.64
KEI Industries,"1,681.90","1,652.15","1,662.30","1,652.15",10.15,0.61
Nuvoco Vistas,336.90,325.20,334.65,332.65,2,0.6
AstraZeneca,"3,375.00","3,317.00","3,358.55","3,338.75",19.8,0.59
Granules India,283.40,278.60,282.35,280.70,1.65,0.59
Ramco Cements,746.80,728.00,744.50,740.50,4,0.54
Avanti Feeds,337.00,330.90,335.35,333.60,1.75,0.52
KPIT Tech,913.90,877.00,886.05,881.45,4.6,0.52
EPL,157.60,154.30,156.30,155.50,0.8,0.51
Oracle Fin Serv,"3,221.80","3,184.85","3,201.15","3,184.90",16.25,0.51
Mastek,"1,572.35","1,541.10","1,548.25","1,540.60",7.65,0.5
