company_name,high,low,last_price,prev_close,change,percent_gain
Sharda Crop,513.00,435.20,498.15,434.45,63.7,14.66
JK Lakshmi Cem,834.75,747.00,825.35,748.55,76.8,10.26
Swan Energy,279.25,256.55,273.85,254.95,18.9,7.41
Finolex Ind,175.75,163.55,174.35,163.40,10.95,6.7
Suzlon Energy,10.40,9.50,10.00,9.45,0.55,5.82
M&M Financial,243.35,228.20,241.15,229.00,12.15,5.31
Kalyan Jeweller,116.40,110.75,115.50,109.75,5.75,5.24
Sobha,674.40,640.00,670.05,637.15,32.9,5.16
Laxmi Organic,321.00,304.30,318.75,304.20,14.55,4.78
SJVN,42.35,40.10,41.10,39.25,1.85,4.71
AB Capital,159.20,151.50,158.65,151.70,6.95,4.58
SUMITOMO,494.25,472.75,492.15,470.60,21.55,4.58
Hindalco,483.85,466.15,481.20,461.10,20.1,4.36
Medplus Health,748.95,657.40,703.50,674.10,29.4,4.36
Prince Pipes,629.90,601.10,623.30,597.90,25.4,4.25
Infibeam Avenue,18.30,17.05,17.85,17.15,0.7,4.08
Edelweiss,71.90,67.20,69.65,67.00,2.65,3.96
Macrotech Dev,"1,095.00","1,050.10","1,087.40","1,048.95",38.45,3.67
Manappuram Fin,126.00,120.70,123.70,119.40,4.3,3.6
Patanjali Foods,"1,322.50","1,253.20","1,318.30","1,272.75",45.55,3.58
Tata Steel,116.10,112.65,115.85,112.00,3.85,3.44
Tata Steel,116.10,112.65,115.85,112.00,3.85,3.44
Clean Science,"1,569.00","1,510.00","1,558.50","1,509.65",48.85,3.24
Aarti Drugs,463.50,444.00,460.25,446.05,14.2,3.18
Graphite India,408.00,392.90,403.60,391.30,12.3,3.14
Bombay Burmah,"1,048.00","1,002.00","1,036.10","1,005.05",31.05,3.09
Federal Bank,137.65,133.05,137.30,133.25,4.05,3.04
Hind Zinc,315.00,306.10,314.05,305.40,8.65,2.83
Westlife Food,744.95,721.55,739.90,719.60,20.3,2.82
NALCO,81.15,78.80,80.20,78.00,2.2,2.82
Vardhman Text,357.00,344.60,354.35,344.65,9.7,2.81
Indiabulls Hsg,149.00,143.00,146.60,142.80,3.8,2.66
Varun Beverages,"1,377.65","1,292.35","1,352.80","1,318.60",34.2,2.59
Delta Corp,234.90,228.20,234.20,228.40,5.8,2.54
HFCL,84.45,80.45,83.45,81.40,2.05,2.52
Sundaram Fin,"2,326.45","2,245.15","2,315.00","2,258.25",56.75,2.51
Hitachi Energy,"3,017.20","2,935.00","3,008.55","2,936.25",72.3,2.46
Chambal Fert,310.50,303.05,309.45,302.05,7.4,2.45
UPL,807.00,784.50,802.80,783.70,19.1,2.44
LIC Housing Fin,404.25,394.30,403.05,393.60,9.45,2.4
CSB Bank,227.00,219.25,224.45,219.25,5.2,2.37
IDFC First Bank,61.20,58.90,60.40,59.00,1.4,2.37
Hind Copper,122.50,119.25,121.45,118.65,2.8,2.36
Network 18,78.25,73.00,75.95,74.20,1.75,2.36
IIFL Finance,495.00,464.75,473.30,462.85,10.45,2.26
L&T Finance,93.90,91.80,93.30,91.35,1.95,2.13
PNB,55.35,53.80,55.15,54.00,1.15,2.13
Can Fin Homes,569.00,547.10,563.50,551.80,11.7,2.12
City Union Bank,199.40,191.25,195.65,191.65,4,2.09
Bank of India,87.50,84.90,86.30,84.55,1.75,2.07
Coal India,231.80,226.50,231.25,226.60,4.65,2.05
Indiabulls Real,89.20,86.25,87.60,85.85,1.75,2.04
ONGC,143.95,140.60,143.75,140.90,2.85,2.02
Deepak Nitrite,"2,260.90","2,197.00","2,255.45","2,211.50",43.95,1.99
Oil India,212.50,207.70,212.00,207.90,4.1,1.97
