company_name,high,low,last_price,prev_close,change,percent_gain
Nazara,619.00,574.00,609.90,577.80,32.1,5.56
Edelweiss,69.40,64.35,67.70,64.35,3.35,5.21
Tata Inv Corp,"2,335.00","2,196.05","2,287.85","2,180.35",107.5,4.93
eClerx Services,"1,420.00","1,320.80","1,399.00","1,338.20",60.8,4.54
Tata Comm,"1,422.65","1,362.00","1,417.25","1,360.15",57.1,4.2
Oil India,224.90,213.95,222.85,213.95,8.9,4.16
MRPL,59.85,56.30,58.85,56.55,2.3,4.07
Infibeam Avenue,17.10,16.15,16.90,16.25,0.65,4
Max Financial,808.45,764.00,798.55,770.20,28.35,3.68
IOC,84.05,80.60,83.55,80.60,2.95,3.66
Shree Renuka,55.45,53.00,54.60,52.75,1.85,3.51
Timken,"3,134.75","3,004.55","3,108.75","3,005.05",103.7,3.45
G R Infra,"1,240.00","1,193.50","1,235.85","1,195.00",40.85,3.42
Bank of Mah,31.10,29.00,30.70,29.70,1,3.37
Zensar Tech,214.70,205.40,213.60,206.70,6.9,3.34
Bank of India,95.30,89.85,94.85,91.85,3,3.27
CG Power ,300.00,288.00,299.20,289.80,9.4,3.24
Interglobe Avi,"2,118.80","2,037.00","2,107.35","2,044.15",63.2,3.09
FSN E-Co Nykaa,155.90,150.70,155.10,150.50,4.6,3.06
HINDPETRO,261.00,247.95,256.45,249.20,7.25,2.91
Gland,"1,599.60","1,542.00","1,592.10","1,547.50",44.6,2.88
Hindalco,493.45,481.00,490.95,477.55,13.4,2.81
Vodafone Idea,7.55,7.15,7.45,7.25,0.2,2.76
NCC,96.40,92.10,94.35,91.85,2.5,2.72
JK Lakshmi Cem,771.80,735.05,761.55,741.80,19.75,2.66
Blue Star,"1,271.00","1,206.30","1,249.30","1,217.25",32.05,2.63
Rail Vikas,72.70,70.35,72.20,70.35,1.85,2.63
Go Fashion,"1,210.00","1,177.45","1,205.05","1,174.40",30.65,2.61
Kalpataru Power,532.75,512.15,522.60,509.50,13.1,2.57
Rajesh Exports,830.55,795.40,822.30,801.95,20.35,2.54
AB Capital,147.75,142.70,147.00,143.40,3.6,2.51
Siemens,"2,949.90","2,854.60","2,941.00","2,870.15",70.85,2.47
