company_name,high,low,last_price,prev_close,change,percent_gain
NIIT,338.90,298.45,331.40,294.05,37.35,12.7
JM Financial,78.00,70.25,77.20,69.95,7.25,10.36
Rail Vikas,54.15,46.65,50.80,46.05,4.75,10.31
Bank of Baroda,161.60,152.00,158.35,144.55,13.80,9.55
Britannia,"4,190.00","3,930.05","4,139.25","3,804.20",335.05,8.81
GE Shipping,611.00,555.00,602.80,554.55,48.25,8.7
IRB Infra,261.25,237.55,256.40,237.15,19.25,8.12
Finolex Ind,157.95,145.00,156.90,145.55,11.35,7.8
Rattanindia Ent,51.85,47.50,50.50,47.15,3.35,7.1
Jindal Stainles,165.90,154.15,164.60,153.85,10.75,6.99
SJVN,38.90,36.25,38.55,36.10,2.45,6.79
Edelweiss,62.60,58.60,62.05,58.35,3.70,6.34
CHEMPLAST SANMA,392.75,362.05,387.75,364.95,22.80,6.25
JK Lakshmi Cem,670.00,635.00,665.15,626.55,38.60,6.16
Union Bank,59.15,56.00,58.55,55.25,3.30,5.97
Amara Raja Batt,606.10,572.10,601.85,569.40,32.45,5.7
HUDCO,42.25,39.65,42.00,39.75,2.25,5.66
Bank of India,71.00,68.10,70.65,66.95,3.70,5.53
Trident,37.70,35.65,37.35,35.40,1.95,5.51
Bombay Burmah,957.00,888.00,926.15,877.85,48.30,5.5
Supreme Ind,"2,374.90","2,240.00","2,358.60","2,238.80",119.80,5.35
Fert and Chem,132.90,123.35,131.85,125.20,6.65,5.31
Easy Trip,399.90,373.05,394.20,375.15,19.05,5.08
TML - D,244.45,231.60,240.95,229.90,11.05,4.81
TML - D,244.45,231.60,240.95,229.90,11.05,4.81
Hind Copper,114.00,107.75,112.80,107.95,4.85,4.49
Kalpataru Power,500.35,477.15,497.00,476.20,20.80,4.37
IRFC,25.25,23.95,24.70,23.70,1.00,4.22
Westlife Food,800.00,761.80,791.65,759.70,31.95,4.21
Canara Bank,311.90,301.05,309.45,297.10,12.35,4.16
Apollo Tyres,301.60,289.80,300.75,288.90,11.85,4.1
Indian Bank,269.15,255.00,259.90,249.70,10.20,4.08
MRF,"96,000.00","91,387.45","94,900.10","91,248.15","3,651.95",4
Brightcom Group,35.60,32.70,35.05,33.75,1.30,3.85
Mazagon Dock,819.40,775.55,810.15,780.80,29.35,3.76
Prestige Estate,465.00,445.05,463.75,447.60,16.15,3.61
Sundram,"1,010.00",971.15,"1,003.85",968.95,34.90,3.6
SAIL,87.35,83.55,87.10,84.10,3.00,3.57
CCL Products,524.25,500.55,518.00,500.45,17.55,3.51
AB Capital,129.80,123.15,128.50,124.15,4.35,3.5
Jindal Steel,496.80,475.60,494.05,477.35,16.70,3.5
NALCO,76.20,72.75,75.90,73.35,2.55,3.48
Birla Corp,"1,010.00",977.00,"1,006.00",972.40,33.60,3.46
Muthoot Finance,"1,124.00","1,080.00","1,113.25","1,076.05",37.20,3.46
SBI,622.70,607.70,614.15,593.95,20.20,3.4
Zomato,65.45,63.25,65.10,63.00,2.10,3.33
Adani Enterpris,"4,013.70","3,820.00","3,960.60","3,833.25",127.35,3.32
City Union Bank,199.25,191.00,196.25,190.05,6.20,3.26
Schaeffler Ind,"3,020.00","2,921.40","3,011.85","2,920.15",91.70,3.14
Deepak Fert,939.00,910.00,933.00,904.90,28.10,3.11
HPCL,210.30,204.25,209.90,203.60,6.30,3.09
UTI AMC,681.25,659.00,679.60,659.45,20.15,3.06
IDFC,81.75,79.05,81.15,78.85,2.30,2.92
IDBI Bank,48.00,45.65,46.60,45.30,1.30,2.87
Karur Vysya,104.50,101.00,103.10,100.25,2.85,2.84
LIC Housing Fin,385.95,372.90,382.80,372.35,10.45,2.81
BPCL,310.15,302.00,309.75,301.35,8.40,2.79
Manappuram Fin,107.70,104.25,106.95,104.10,2.85,2.74
DLF,399.75,387.05,397.80,387.30,10.50,2.71
Suven Pharma,445.00,425.40,439.60,428.00,11.60,2.71
Indian Hotels,345.75,335.35,343.75,334.75,9.00,2.69
UNO Minda,559.90,538.15,554.45,540.10,14.35,2.66
NLC India,81.60,78.15,80.10,78.05,2.05,2.63
TV18 Broadcast,37.55,36.40,37.20,36.25,0.95,2.62
Rain Industries,177.25,171.60,176.50,172.00,4.50,2.62
ICICI Securitie,552.00,536.50,548.55,534.60,13.95,2.61
Balkrishna Ind,"1,968.20","1,915.80","1,965.15","1,915.70",49.45,2.58
Equitas Bank,52.45,50.15,51.20,49.95,1.25,2.5
Zydus Life,453.95,441.25,451.05,440.10,10.95,2.49
MCX India,"1,549.85","1,502.95","1,535.60","1,498.35",37.25,2.49
FSN E-Co Nykaa,"1,150.00","1,116.65","1,132.10","1,104.65",27.45,2.48
Brigade Ent,516.00,500.15,511.55,499.20,12.35,2.47
Bank of Mah,23.95,23.00,23.30,22.75,0.55,2.42
PB Fintech,407.95,378.00,385.85,376.75,9.10,2.42
Bharat Forge,877.40,854.65,875.50,854.90,20.60,2.41
Eicher Motors,"3,765.00","3,680.00","3,755.15","3,666.90",88.25,2.41
Shriram Trans,"1,294.00","1,256.70","1,289.15","1,259.55",29.60,2.35
IOC,70.30,68.70,70.10,68.50,1.60,2.34
Saregama India,393.90,381.15,390.65,381.80,8.85,2.32
JSW Energy,343.50,326.00,332.40,324.90,7.50,2.31
MOTHERSON,67.60,65.40,66.55,65.05,1.50,2.31
Godfrey Phillip,"1,666.00","1,620.30","1,656.55","1,619.30",37.25,2.3
Tata Motors,437.50,428.25,435.00,425.35,9.65,2.27
Tata Motors,437.50,428.25,435.00,425.35,9.65,2.27
GAIL,90.80,88.00,90.55,88.55,2.00,2.26
RITES,417.90,392.80,412.20,403.20,9.00,2.23
Triveni Engg,285.00,273.45,276.75,270.85,5.90,2.18
Ceat,"1,653.25","1,582.30","1,616.70","1,582.30",34.40,2.17
Guj State Petro,232.00,225.35,230.10,225.30,4.80,2.13
Adani Green Ene,"2,184.00","2,127.00","2,165.70","2,121.25",44.45,2.1
Motherson SWI,83.70,81.65,82.70,81.00,1.70,2.1
PNC Infratech,265.40,255.00,262.45,257.05,5.40,2.1
Welspun India,80.35,78.50,80.10,78.45,1.65,2.1
Sudarshan Chem,419.50,407.80,415.70,407.35,8.35,2.05
Rajesh Exports,774.80,738.00,762.80,747.65,15.15,2.03
Solar Ind,"4,200.00","4,050.00","4,087.90","4,008.65",79.25,1.98
Transport Corp,682.80,666.35,680.75,667.75,13.00,1.95
CreditAccess Gr,"1,008.85",981.05,999.90,980.90,19.00,1.94
Havells India,"1,235.90","1,210.60","1,232.45","1,208.95",23.50,1.94
Indiamart Inter,"4,820.00","4,700.00","4,792.15","4,700.90",91.25,1.94
ABSL AMC,424.15,415.65,423.45,415.45,8.00,1.93
Shree Cements,"23,495.00","22,935.20","23,406.10","22,963.60",442.50,1.93
Tata Steel,107.45,104.60,106.70,104.75,1.95,1.86
Tata Steel,107.45,104.60,106.70,104.75,1.95,1.86
Dr Lal PathLab,"2,640.00","2,552.00","2,625.25","2,578.45",46.80,1.82
Fortis Health,289.40,283.00,287.45,282.40,5.05,1.79
Sterlite Techno,171.25,164.15,167.65,164.75,2.90,1.76
Power Finance,119.20,117.10,119.00,116.95,2.05,1.75
New India Assur,99.40,95.30,96.40,94.75,1.65,1.74
Ambuja Cements,573.00,553.15,568.10,558.60,9.50,1.7
Ramco Cements,744.50,730.00,739.10,726.75,12.35,1.7
Berger Paints,616.00,603.05,614.45,604.25,10.20,1.69
Capri Global,754.90,727.10,753.70,741.40,12.30,1.66
Sonata,531.60,524.00,530.05,521.40,8.65,1.66
Blue Dart,"7,335.00","7,029.00","7,288.50","7,172.50",116.00,1.62
Indiabulls Hsg,133.10,129.60,132.00,129.90,2.10,1.62
Biocon,278.75,273.05,278.40,274.00,4.40,1.61
Hindalco,438.90,426.30,437.50,430.55,6.95,1.61
Bharat Dynamics,"1,001.00",978.00,995.60,980.05,15.55,1.59
Prince Pipes,568.00,555.45,564.25,555.50,8.75,1.58
Dilip Buildcon,229.25,221.55,226.05,222.55,3.50,1.57
V-Guard Ind,260.10,255.15,259.00,255.00,4.00,1.57
IEX,144.50,141.50,144.05,141.85,2.20,1.55
Gujarat Fluoro,"3,868.90","3,770.00","3,846.65","3,788.15",58.50,1.54
MOIL,161.30,156.50,159.40,157.10,2.30,1.46
TCNS Clothing C,617.00,597.60,603.70,595.00,8.70,1.46
KEC Intl,438.00,431.00,435.85,429.60,6.25,1.45
Greenpanel Ind,385.80,375.10,380.95,375.55,5.40,1.44
INDUS TOWERS,191.95,189.45,191.60,188.90,2.70,1.43
Dalmia Bharat,"1,772.45","1,725.00","1,767.40","1,742.50",24.90,1.43
Coal India,251.35,246.75,249.55,246.05,3.50,1.42
CDSL,"1,250.00","1,212.80","1,233.50","1,216.45",17.05,1.4
ICICI Bank,920.10,903.45,917.50,905.30,12.20,1.35
Hitachi Energy,"3,200.00","3,124.00","3,185.25","3,143.15",42.10,1.34
ABB India,"3,283.00","3,208.00","3,262.35","3,219.90",42.45,1.32
Info Edge,"3,985.00","3,896.00","3,942.65","3,891.65",51.00,1.31
UPL,749.95,739.05,748.45,738.85,9.60,1.3
Endurance Techn,"1,405.70","1,376.30","1,396.15","1,378.35",17.80,1.29
Hindustan Aeron,"2,607.95","2,553.00","2,592.60","2,560.95",31.65,1.24
Hero Motocorp,"2,625.00","2,590.00","2,621.05","2,588.90",32.15,1.24
PCBL,131.80,129.50,130.80,129.20,1.60,1.24
Guj Alkali,910.00,892.90,903.45,892.45,11.00,1.23
Krishna Inst.,"1,493.95","1,456.10","1,476.75","1,458.80",17.95,1.23
Shree Renuka,59.70,58.25,58.95,58.25,0.70,1.2
JSW Steel,715.45,700.00,710.00,701.75,8.25,1.18
UltraTechCement,"7,018.00","6,868.00","6,973.50","6,893.05",80.45,1.17
Kansai Nerolac,457.85,448.85,453.10,448.00,5.10,1.14
India Cements,255.45,239.00,248.70,245.90,2.80,1.14
Cera Sanitary,"5,549.00","5,374.00","5,482.45","5,420.45",62.00,1.14
Firstsource Sol,105.30,103.25,104.20,103.05,1.15,1.12
Maruti Suzuki,"9,352.80","9,254.30","9,333.30","9,229.50",103.80,1.12
