company_name,high,low,last_price,prev_close,change,percent_gain
GSFC,153.35,135.50,153.30,127.80,25.5,19.95
Guj Alkali,744.80,660.00,733.50,625.80,107.7,17.21
GNFC,595.00,542.70,587.00,531.00,56,10.55
MMTC Ltd,33.90,29.50,32.70,30.00,2.7,9
Triveni Turbine,374.55,338.35,367.55,341.20,26.35,7.72
Mahindra CIE,394.70,370.05,385.00,358.75,26.25,7.32
Guj State Petro,293.30,271.00,284.60,265.60,19,7.15
KPIT Tech,914.50,855.00,905.50,852.00,53.5,6.28
Asahi India,480.00,449.40,475.75,448.75,27,6.02
KEI Industries,"1,900.00","1,773.20","1,890.65","1,789.50",101.15,5.65
Bombay Burmah,"1,020.00",952.00,"1,008.80",957.00,51.8,5.41
NHPC,44.80,42.10,44.30,42.10,2.2,5.23
Indiabulls Real,71.45,66.50,70.75,67.80,2.95,4.35
MOIL,158.70,149.00,156.65,150.60,6.05,4.02
Vodafone Idea,6.70,6.30,6.55,6.30,0.25,3.97
INDUS TOWERS,143.50,138.00,143.00,138.00,5,3.62
PCBL,124.85,118.80,123.55,119.35,4.2,3.52
Siemens,"3,456.35","3,335.05","3,447.65","3,331.35",116.3,3.49
CCL Products,604.40,568.60,590.15,571.55,18.6,3.25
Tanla Platforms,663.40,624.00,653.50,633.30,20.2,3.19
eClerx Services,"1,360.00","1,308.05","1,346.40","1,306.90",39.5,3.02
Chambal Fert,285.40,274.90,283.20,275.20,8,2.91
IIFL Finance,475.80,457.30,474.10,460.80,13.3,2.89
Varroc Engineer,293.50,282.15,289.65,281.55,8.1,2.88
New India Assur,106.70,102.60,105.80,103.05,2.75,2.67
CSB Bank,295.00,281.55,292.15,284.70,7.45,2.62
Sudarshan Chem,419.20,401.25,415.95,405.35,10.6,2.62
Chola Fin Hold,593.80,575.75,591.10,576.45,14.65,2.54
Prestige Estate,489.00,471.10,482.05,470.50,11.55,2.45
Prince Pipes,607.20,584.20,601.35,587.40,13.95,2.37
Power Grid Corp,239.50,232.00,238.30,232.90,5.4,2.32
SJVN,35.75,34.35,35.50,34.70,0.8,2.31
Oil India,260.00,253.55,259.40,253.60,5.8,2.29
Motherson SWI,52.85,50.55,52.45,51.30,1.15,2.24
Easy Trip,47.25,44.95,46.05,45.05,1,2.22
Easy Trip,47.25,44.95,46.05,45.05,1,2.22
Edelweiss,58.25,56.50,58.05,56.80,1.25,2.2
Gland,"1,394.00","1,332.35","1,379.20","1,349.70",29.5,2.19
Godfrey Phillip,"1,800.00","1,733.00","1,794.45","1,756.35",38.1,2.17
Aurobindo Pharm,615.75,598.65,613.45,600.50,12.95,2.16
Delhivery,375.45,361.15,370.45,362.60,7.85,2.16
Zensar Tech,275.50,267.95,273.70,267.95,5.75,2.15
Nazara,560.00,541.55,555.75,544.10,11.65,2.14
General Insuran,154.80,148.95,153.50,150.35,3.15,2.1
Rashtriya Chem,111.65,107.40,109.25,107.00,2.25,2.1
CRISIL,"3,484.00","3,385.00","3,471.55","3,401.95",69.6,2.05
GE Shipping,652.00,633.75,649.10,636.50,12.6,1.98
Power Finance,165.75,161.50,165.35,162.20,3.15,1.94
TCI Express,"1,467.00","1,409.95","1,431.05","1,403.85",27.2,1.94
ABB India,"3,407.00","3,330.00","3,400.15","3,336.10",64.05,1.92
Bajaj Electric,"1,110.95","1,079.95","1,101.35","1,080.80",20.55,1.9
Go Fashion,"1,080.00","1,040.20","1,068.85","1,049.00",19.85,1.89
KPR Mill,592.00,577.00,589.75,579.05,10.7,1.85
Berger Paints,606.80,594.10,604.75,594.05,10.7,1.8
CESC,70.30,68.60,69.90,68.70,1.2,1.75
