company_name,high,low,last_price,prev_close,change,percent_gain
Persistent,"4,278.00","3,920.00","4,258.15","3,959.60",298.55,7.54
Prism Johnson,109.70,103.05,108.95,103.30,5.65,5.47
KEI Industries,"1,556.65","1,466.00","1,539.75","1,466.85",72.9,4.97
Mahindra Life,377.50,353.10,365.00,347.80,17.2,4.95
Swan Energy,362.00,335.25,358.35,341.50,16.85,4.93
Hind Zinc,383.00,364.00,377.55,361.35,16.2,4.48
IWML,"1,950.00","1,870.05","1,940.10","1,865.65",74.45,3.99
Capri Global,784.40,751.05,776.90,748.95,27.95,3.73
Rattanindia Ent,48.75,45.60,47.90,46.30,1.6,3.46
Coal India,224.80,215.15,223.95,216.85,7.1,3.27
Kalpataru Power,539.75,516.30,535.55,519.20,16.35,3.15
Vijaya Diagnost,415.00,398.90,412.20,400.25,11.95,2.99
Shyam Metalics,318.00,302.30,313.10,304.20,8.9,2.93
DCM Shriram,903.90,866.00,895.20,870.60,24.6,2.83
Polycab,"2,843.85","2,722.85","2,828.60","2,753.60",75,2.72
Indian Bank,289.70,279.50,287.60,280.60,7,2.49
Exide Ind,191.35,183.40,189.50,185.00,4.5,2.43
Honeywell Autom,"40,643.85","39,618.50","40,540.85","39,618.50",922.35,2.33
Solar Ind,"4,381.40","4,229.70","4,337.85","4,244.60",93.25,2.2
Carborundum,944.90,917.75,941.45,921.30,20.15,2.19
V-Mart Retail,"2,935.00","2,790.10","2,874.80","2,815.85",58.95,2.09
UPL,748.85,730.00,747.55,732.35,15.2,2.08
Rajesh Exports,887.65,815.00,849.40,832.25,17.15,2.06
Vedanta,334.00,321.55,330.80,324.15,6.65,2.05
Guj Amb Exports,247.95,240.10,247.50,242.70,4.8,1.98
Campus Active,398.80,386.00,393.60,386.05,7.55,1.96
Interglobe Avi,"2,128.00","2,075.00","2,122.80","2,084.25",38.55,1.85
CreditAccess Gr,935.65,893.00,911.20,894.75,16.45,1.84
Zensar Tech,224.20,211.90,222.40,218.45,3.95,1.81
CG Power ,315.30,307.55,313.85,308.35,5.5,1.78
ONGC,152.10,148.05,151.75,149.25,2.5,1.68
Finolex Cables,570.00,557.50,568.55,559.30,9.25,1.65
Devyani Int,164.95,158.10,161.55,158.95,2.6,1.64
Mahindra CIE,396.80,374.00,381.75,375.70,6.05,1.61
SAIL,93.90,90.00,92.10,90.70,1.4,1.54
SKF India,"4,660.05","4,492.90","4,600.55","4,534.55",66,1.46
Supreme Ind,"2,449.90","2,380.00","2,424.50","2,389.95",34.55,1.45
Hitachi Energy,"3,324.00","3,237.35","3,306.40","3,260.10",46.3,1.42
Vodafone Idea,7.60,7.25,7.40,7.30,0.1,1.37
Shree Cements,"24,480.00","23,849.90","24,389.50","24,059.90",329.6,1.37
Max Financial,841.80,826.05,839.55,828.35,11.2,1.35
IOC,83.40,81.90,83.25,82.15,1.1,1.34
Sharda Crop,485.50,468.55,479.35,473.00,6.35,1.34
Jubilant Food,511.65,498.50,510.50,503.80,6.7,1.33
Chola Invest.,703.80,689.15,701.25,692.10,9.15,1.32
Orient Electric,266.20,261.35,265.10,261.95,3.15,1.2
TVS Motor,"1,020.75",994.15,"1,014.05","1,002.05",12,1.2
Linde India,"3,439.00","3,372.05","3,412.40","3,373.55",38.85,1.15
