company_name,high,low,last_price,prev_close,change,percent_gain
Rallis India,260.70,241.55,257.65,241.50,16.15,6.69
MCX India,"1,610.00","1,513.35","1,604.70","1,508.60",96.1,6.37
Edelweiss,74.40,68.75,73.05,68.90,4.15,6.02
Mahindra CIE,386.70,355.00,377.25,356.85,20.4,5.72
ITI,111.45,105.80,109.35,103.65,5.7,5.5
Rail Vikas,79.55,77.20,79.55,75.80,3.75,4.95
CG Power ,310.70,295.90,308.55,295.10,13.45,4.56
Infibeam Avenue,17.30,16.20,17.05,16.35,0.7,4.28
Motilal Oswal,750.00,713.05,742.75,714.00,28.75,4.03
Rain Industries,185.00,175.20,183.55,176.45,7.1,4.02
Chola Invest.,714.95,685.10,711.70,685.60,26.1,3.81
IRFC,34.25,32.70,33.95,32.75,1.2,3.66
Kalyan Jeweller,123.90,118.50,123.05,118.80,4.25,3.58
RHI Magnesita,869.75,830.00,866.45,836.50,29.95,3.58
Chola Fin Hold,604.90,575.05,594.75,575.20,19.55,3.4
CHEMPLAST SANMA,443.35,420.00,439.30,425.20,14.1,3.32
One 97 Paytm,564.90,533.35,560.10,543.20,16.9,3.11
Shipping Corp,147.15,139.80,143.70,139.85,3.85,2.75
Prince Pipes,597.20,576.55,591.35,576.55,14.8,2.57
Federal Bank,138.80,134.05,138.45,135.05,3.4,2.52
Adani Trans,"2,705.00","2,591.60","2,689.05","2,624.00",65.05,2.48
Finolex Cables,554.85,536.00,552.60,539.85,12.75,2.36
Canara Bank,325.20,316.60,324.60,317.15,7.45,2.35
Power Finance,153.75,147.50,152.75,149.25,3.5,2.35
VIP Industries,709.70,687.10,706.65,690.65,16,2.32
EID Parry,551.00,532.00,549.00,537.20,11.8,2.2
Tejas Networks,578.00,563.50,573.45,561.25,12.2,2.17
Sunteck Realty,365.90,355.40,364.10,356.60,7.5,2.1
IDFC,85.80,83.25,85.35,83.60,1.75,2.09
IndusInd Bank,"1,237.30","1,210.10","1,234.40","1,209.15",25.25,2.09
Rattanindia Ent,42.85,41.50,42.55,41.70,0.85,2.04
Adani Enterpris,"3,736.05","3,642.20","3,721.15","3,647.20",73.95,2.03
Tata Steel,121.60,118.15,120.45,118.10,2.35,1.99
Tata Steel,121.60,118.15,120.45,118.10,2.35,1.99
NBCC (India),39.75,38.65,39.45,38.70,0.75,1.94
Eicher Motors,"3,196.00","3,060.00","3,162.05","3,103.25",58.8,1.89
KPR Mill,527.35,510.35,524.05,514.35,9.7,1.89
MOIL,173.20,168.50,172.25,169.05,3.2,1.89
Balrampur Chini,396.40,384.60,394.15,386.95,7.2,1.86
Jubilant Food,498.65,487.75,497.65,488.55,9.1,1.86
Shyam Metalics,310.95,303.45,306.25,300.70,5.55,1.85
Sun TV Network,482.50,472.00,480.95,472.25,8.7,1.84
Sonata,590.85,571.50,584.85,574.40,10.45,1.82
AB Capital,149.60,146.00,148.95,146.30,2.65,1.81
Adani Total Gas,"3,742.00","3,615.60","3,715.10","3,649.05",66.05,1.81
Guj Amb Exports,241.70,236.55,240.50,236.25,4.25,1.8
Ceat,"1,684.00","1,640.65","1,674.20","1,644.85",29.35,1.78
NIIT,317.40,308.45,314.75,309.25,5.5,1.78
REC,123.45,120.30,122.80,120.65,2.15,1.78
Bank of Baroda,185.25,181.25,184.90,181.70,3.2,1.76
Angel One,"1,310.00","1,276.00","1,305.10","1,282.75",22.35,1.74
GMR Airports,41.35,40.20,41.10,40.40,0.7,1.73
HFCL,73.95,72.25,73.65,72.40,1.25,1.73
CAMS,"2,279.90","2,235.05","2,273.85","2,235.75",38.1,1.7
PNB,57.40,55.70,56.80,55.85,0.95,1.7
L&T Finance,92.90,90.60,92.45,90.95,1.5,1.65
Fortis Health,288.85,281.00,287.65,283.00,4.65,1.64
Bank of India,97.00,94.15,96.40,94.85,1.55,1.63
Ambuja Cements,520.50,511.40,518.65,510.40,8.25,1.62
Phoenix Mills,"1,440.00","1,405.10","1,437.30","1,414.75",22.55,1.59
Delta Corp,212.70,206.85,211.65,208.40,3.25,1.56
Infosys,"1,519.40","1,468.00","1,503.65","1,480.60",23.05,1.56
JBM Auto,540.00,520.55,531.45,523.45,8,1.53
Metro Brands,853.00,836.45,849.90,837.20,12.7,1.52
CCL Products,523.00,509.55,519.75,512.00,7.75,1.51
Central Bank,31.25,30.30,30.70,30.25,0.45,1.49
ICICI Bank,874.90,858.30,873.45,860.65,12.8,1.49
BPCL,351.15,342.05,350.10,345.05,5.05,1.46
Cochin Shipyard,495.25,483.55,492.90,486.05,6.85,1.41
Divis Labs,"3,359.35","3,307.50","3,351.70","3,305.30",46.4,1.4
Bajaj Holdings,"5,998.00","5,830.70","5,947.60","5,866.70",80.9,1.38
Birlasoft,295.00,287.30,293.70,289.70,4,1.38
Sundram,991.45,957.55,976.50,963.20,13.3,1.38
Adani Green Ene,"1,923.00","1,880.00","1,915.65","1,889.85",25.8,1.37
Mastek,"1,719.95","1,680.25","1,715.20","1,692.20",23,1.36
Bajaj Finance,"5,985.00","5,872.00","5,977.80","5,898.40",79.4,1.35
CSB Bank,252.25,245.75,251.30,247.95,3.35,1.35
ICICI Lombard ,"1,257.60","1,237.25","1,255.15","1,238.45",16.7,1.35
