company_name,high,low,last_price,prev_close,change,percent_gain
Gujarat Pipavav,97.70,92.15,95.40,88.85,6.55,7.37
FSN E-Co Nykaa,191.75,165.65,188.25,176.72,11.53,6.52
Godrej Prop,"1,245.00","1,154.25","1,235.35","1,169.70",65.65,5.61
New India Assur,105.60,97.05,102.20,97.65,4.55,4.66
CRISIL,"2,995.00","2,808.00","2,947.80","2,819.65",128.15,4.54
Endurance Techn,"1,478.00","1,359.70","1,457.35","1,395.90",61.45,4.4
Union Bank,67.50,64.05,66.85,64.05,2.8,4.37
General Insuran,149.10,139.05,141.60,136.10,5.5,4.04
Narayana Hruda,820.00,757.85,767.40,739.80,27.6,3.73
Lupin,754.00,707.60,719.35,694.25,25.1,3.62
Jubilant Ing.,579.40,551.60,576.55,557.15,19.4,3.48
CenturyPlyboard,610.00,578.00,606.75,586.45,20.3,3.46
Fine Organics,"6,094.70","5,768.95","5,938.45","5,753.70",184.75,3.21
MOTHERSON,71.75,67.70,70.45,68.30,2.15,3.15
Tejas Networks,644.70,620.25,634.45,615.85,18.6,3.02
Schaeffler Ind,"3,027.00","2,952.00","3,020.00","2,950.15",69.85,2.37
Elgi Equipments,512.60,496.05,509.90,498.40,11.5,2.31
Hero Motocorp,"2,722.00","2,626.35","2,712.50","2,651.50",61,2.3
Amara Raja Batt,633.00,606.20,629.15,615.45,13.7,2.23
ABB India,"3,240.00","3,054.50","3,166.90","3,103.90",63,2.03
Havells India,"1,229.90","1,183.10","1,226.75","1,203.05",23.7,1.97
Supreme Ind,"2,450.00","2,405.05","2,447.40","2,400.80",46.6,1.94
Guj State Petro,234.70,229.95,234.35,230.05,4.3,1.87
Welspun Corp,235.30,229.55,233.85,229.55,4.3,1.87
CG Power ,257.00,250.05,255.70,251.05,4.65,1.85
Shipping Corp,135.80,131.00,133.40,131.00,2.4,1.83
Linde India,"3,278.00","3,155.05","3,234.30","3,177.05",57.25,1.8
Vodafone Idea,8.75,8.45,8.65,8.50,0.15,1.76
Vardhman Text,348.95,337.50,347.30,341.30,6,1.76
IFB Industries,977.90,936.50,965.90,949.65,16.25,1.71
Vinati Organics,"2,157.95","2,081.25","2,112.65","2,077.85",34.8,1.67
Escorts Kubota,"2,062.85","1,988.00","2,020.45","1,987.50",32.95,1.66
Orient Electric,265.45,260.00,264.85,260.65,4.2,1.61
Petronet LNG,218.80,210.45,212.60,209.35,3.25,1.55
Jyothy Labs,197.25,192.10,195.60,192.70,2.9,1.5
JK Paper,414.90,405.00,409.60,403.90,5.7,1.41
FDC,305.95,292.90,300.40,296.40,4,1.35
APTUS VALUE,328.95,317.80,326.60,322.60,4,1.24
LIC Housing Fin,384.75,376.50,383.90,379.30,4.6,1.21
Sun TV Network,568.50,553.00,560.55,553.90,6.65,1.2
Campus Active,527.40,503.10,523.55,517.45,6.1,1.18
Blue Star,"1,225.25","1,183.65","1,215.20","1,201.65",13.55,1.13
Capri Global,768.80,738.25,756.15,747.90,8.25,1.1
HDFC Bank,"1,527.00","1,495.05","1,524.75","1,508.35",16.4,1.09
BHEL,76.40,74.35,75.55,74.80,0.75,1
Kotak Mahindra,"1,915.00","1,891.70","1,912.15","1,893.40",18.75,0.99
Easy Trip,401.70,391.50,397.60,393.75,3.85,0.98
Prince Pipes,585.00,510.00,573.10,567.60,5.5,0.97
Ceat,"1,747.95","1,666.05","1,722.00","1,706.05",15.95,0.93
Exide Ind,178.50,173.60,176.15,174.55,1.6,0.92
Indoco Remedies,369.90,352.10,356.90,353.65,3.25,0.92
L&T Technology,"3,670.90","3,581.00","3,652.35","3,620.65",31.7,0.88
ONGC,140.85,137.40,139.85,138.65,1.2,0.87
Polycab,"2,736.75","2,670.50","2,710.10","2,686.60",23.5,0.87
Bharti Airtel,830.70,817.55,825.75,819.05,6.7,0.82
Colgate,"1,645.00","1,584.40","1,597.40","1,584.40",13,0.82
Grindwell Norto,"2,140.00","2,061.35","2,134.05","2,116.70",17.35,0.82
Hinduja Global,"1,238.00","1,220.00","1,231.65","1,221.80",9.85,0.81
Sterlite Techno,169.60,163.65,168.20,166.85,1.35,0.81
GMR Airports,38.30,37.35,38.00,37.70,0.3,0.8
Whirlpool,"1,520.00","1,483.60","1,515.35","1,503.30",12.05,0.8
Galaxy Surfacta,"2,847.50","2,795.85","2,826.65","2,804.50",22.15,0.79
Polyplex Corp,"1,804.60","1,767.00","1,787.75","1,773.95",13.8,0.78
Torrent Pharma,"1,688.00","1,645.35","1,664.65","1,651.70",12.95,0.78
Navin Fluorine,"4,484.00","4,389.10","4,474.65","4,440.40",34.25,0.77
eClerx Services,"1,378.75","1,350.00","1,374.35","1,363.95",10.4,0.76
Allcargo,429.00,403.00,419.15,416.05,3.1,0.75
Saregama India,408.00,391.95,401.30,398.35,2.95,0.74
IWML,"1,790.90","1,740.80","1,784.75","1,772.35",12.4,0.7
IGL,423.45,413.80,419.45,416.65,2.8,0.67
KPR Mill,546.50,536.00,544.70,541.10,3.6,0.67
Godrej Consumer,822.30,793.85,820.20,814.85,5.35,0.66
Torrent Power,511.00,498.85,509.00,505.65,3.35,0.66
HPCL,206.45,204.35,205.80,204.50,1.3,0.64
Suzlon Energy,8.40,8.15,8.30,8.25,0.05,0.61
Bharat Dynamics,997.00,972.05,985.65,979.75,5.9,0.6
PNC Infratech,262.50,257.00,261.20,259.65,1.55,0.6
Cera Sanitary,"5,300.00","5,178.05","5,287.15","5,256.00",31.15,0.59
ZFCVINDIA,"9,923.00","9,715.00","9,882.70","9,826.85",55.85,0.57
Macrotech Dev,964.70,935.00,960.35,955.05,5.3,0.55
Cochin Shipyard,613.00,582.00,586.70,583.60,3.1,0.53
L&T Infotech,"4,904.90","4,788.45","4,862.50","4,837.05",25.45,0.53
MRF,"88,347.80","85,100.00","87,468.65","87,017.45",451.2,0.52
KRBL,394.50,386.05,390.80,388.85,1.95,0.5
Procter&Gamble,"4,240.00","4,163.05","4,232.90","4,212.65",20.25,0.48
Thyrocare Techn,672.90,657.55,670.65,667.45,3.2,0.48
Aditya Birla F,314.85,307.40,313.70,312.25,1.45,0.46
AAVAS Financier,"2,037.00","1,985.05","2,010.30","2,001.45",8.85,0.44
Thermax,"2,380.00","2,331.10","2,351.15","2,340.80",10.35,0.44
JB Chemicals,"1,997.00","1,970.00","1,989.45","1,981.05",8.4,0.42
Medplus Health,587.00,570.00,578.65,576.30,2.35,0.41
SIS,416.45,411.00,415.25,413.55,1.7,0.41
Indian Hotels,344.20,331.85,338.70,337.50,1.2,0.36
Marico,505.35,498.20,504.05,502.25,1.8,0.36
IDFC First Bank,58.50,57.20,57.60,57.40,0.2,0.35
3M India,"23,780.00","23,280.00","23,564.00","23,483.95",80.05,0.34
Max Healthcare,460.95,453.20,459.75,458.25,1.5,0.33
UPL,758.60,748.05,756.10,753.60,2.5,0.33
Dr Reddys Labs,"4,616.00","4,528.00","4,549.45","4,534.90",14.55,0.32
Indiamart Inter,"4,830.00","4,760.00","4,820.65","4,805.05",15.6,0.32
United Spirits,882.00,870.15,879.30,876.70,2.6,0.3
Adani Ports,898.00,876.30,893.45,890.80,2.65,0.3
Oracle Fin Serv,"3,049.90","3,011.00","3,036.50","3,027.65",8.85,0.29
CESC,75.50,74.90,75.25,75.05,0.2,0.27
Welspun India,78.30,76.50,77.60,77.40,0.2,0.26
Solar Ind,"4,250.00","4,126.00","4,178.15","4,167.70",10.45,0.25
Ajanta Pharma,"1,258.00","1,232.10","1,254.00","1,251.00",3,0.24
Hind Zinc,293.55,289.25,292.85,292.15,0.7,0.24
Sanofi India,"5,638.40","5,589.00","5,622.70","5,609.95",12.75,0.23
Aegis Logistics,322.55,310.50,316.95,316.30,0.65,0.21
HUL,"2,538.00","2,501.05","2,513.60","2,508.80",4.8,0.19
Adani Trans,"3,330.00","3,243.40","3,295.15","3,290.00",5.15,0.16
Bharat Forge,887.00,870.00,880.40,879.00,1.4,0.16
Anupam Rasayan,755.45,742.65,746.40,745.25,1.15,0.15
Pidilite Ind,"2,671.95","2,600.00","2,656.35","2,652.25",4.1,0.15
Home First,707.25,692.00,700.80,699.95,0.85,0.12
Sonata,531.40,520.00,529.80,529.15,0.65,0.12
Mahanagar Gas,897.45,873.30,878.00,877.15,0.85,0.1
Abbott India,"19,570.00","19,143.75","19,238.85","19,222.25",16.6,0.09
Siemens,"2,942.00","2,886.90","2,918.80","2,916.40",2.4,0.08
Sundram,970.50,942.90,954.45,953.65,0.8,0.08
IOC,69.85,69.40,69.60,69.55,0.05,0.07
Balrampur Chini,340.40,320.85,329.25,329.10,0.15,0.05
HDFC,"2,508.40","2,467.80","2,504.10","2,503.50",0.6,0.02
ICICI Bank,912.95,903.95,910.70,910.50,0.2,0.02
