company_name,high,low,last_price,prev_close,change,percent_gain
Rail Vikas,61.75,55.65,60.65,54.55,6.10,11.18
NCC,78.50,73.55,78.25,73.15,5.10,6.97
Gujarat Gas,515.00,485.20,513.40,484.15,29.25,6.04
KEC Intl,435.00,408.00,430.10,409.80,20.30,4.95
Mazagon Dock,852.95,797.40,839.10,800.15,38.95,4.87
Aether Ind,931.70,889.75,924.80,882.35,42.45,4.81
Balkrishna Ind,"1,981.15","1,796.30","1,963.20","1,875.55",87.65,4.67
Apollo Tyres,303.60,290.00,297.70,285.35,12.35,4.33
TeamLease Ser.,"2,420.00","2,291.55","2,403.35","2,304.10",99.25,4.31
Macrotech Dev,993.65,935.00,984.40,945.55,38.85,4.11
IGL,438.50,416.50,433.70,416.80,16.90,4.05
IRB Infra,261.80,245.70,255.90,246.25,9.65,3.92
Guj State Petro,257.70,244.00,252.55,243.05,9.50,3.91
Devyani Int,182.50,175.60,182.10,175.55,6.55,3.73
Hinduja Global,"1,377.50","1,322.30","1,339.35","1,296.05",43.30,3.34
RITES,378.00,361.05,375.75,364.45,11.30,3.1
Indian Bank,273.50,262.10,270.60,262.55,8.05,3.07
SJVN,38.40,36.25,37.40,36.30,1.10,3.03
Muthoot Finance,"1,125.95","1,077.30","1,120.05","1,087.30",32.75,3.01
Praj Industries,437.25,416.05,433.40,420.85,12.55,2.98
Sobha,657.00,622.50,652.35,633.55,18.80,2.97
City Union Bank,191.15,183.80,190.05,184.60,5.45,2.95
CG Power ,271.90,262.05,270.70,263.05,7.65,2.91
Triveni Turbine,284.70,275.00,281.65,273.80,7.85,2.87
Aegis Logistics,326.00,314.55,323.60,314.70,8.90,2.83
United Spirits,908.00,875.00,905.60,881.40,24.20,2.75
Guj Amb Exports,239.95,230.80,239.10,232.80,6.30,2.71
General Insuran,143.75,136.15,140.85,137.25,3.60,2.62
Hind Copper,119.50,115.50,119.20,116.45,2.75,2.36
HUDCO,42.15,40.05,41.60,40.65,0.95,2.34
ONGC,143.35,140.00,142.35,139.25,3.10,2.23
Mahanagar Gas,907.80,877.25,899.75,880.30,19.45,2.21
Power Grid Corp,216.50,209.65,216.00,211.35,4.65,2.2
JBM Auto,439.00,423.95,432.90,423.75,9.15,2.16
Krishna Inst.,"1,668.40","1,577.00","1,610.30","1,576.35",33.95,2.15
Deepak Nitrite,"2,201.00","2,139.00","2,187.20","2,141.55",45.65,2.13
Ceat,"1,789.00","1,720.00","1,754.30","1,719.10",35.20,2.05
GAIL,90.00,88.05,89.90,88.10,1.80,2.04
Cummins,"1,374.95","1,333.05","1,372.75","1,347.20",25.55,1.9
NBCC (India),35.70,34.75,35.00,34.35,0.65,1.89
ICICI Bank,913.65,898.80,911.70,894.95,16.75,1.87
Mahindra CIE,293.75,283.95,292.00,286.65,5.35,1.87
Godrej Ind,420.00,406.00,413.65,406.15,7.50,1.85
Balrampur Chini,348.20,337.00,347.55,341.45,6.10,1.79
ACC,"2,514.75","2,442.10","2,478.65","2,435.45",43.20,1.77
Delta Corp,232.00,222.70,227.85,223.90,3.95,1.76
Prism Johnson,125.05,122.55,124.55,122.40,2.15,1.76
Finolex Cables,532.00,506.80,527.15,518.15,9.00,1.74
Jindal Steel,525.50,511.80,524.05,515.10,8.95,1.74
Canara Bank,310.05,303.25,309.30,304.20,5.10,1.68
Latent View,403.30,388.10,395.30,388.85,6.45,1.66
MCX India,"1,564.50","1,510.60","1,539.70","1,514.80",24.90,1.64
Bharti Airtel,838.75,822.65,835.25,821.90,13.35,1.62
MRF,"87,850.00","86,179.85","87,574.25","86,179.85","1,394.40",1.62
Dr Reddys Labs,"4,442.60","4,363.70","4,433.70","4,363.65",70.05,1.61
IRFC,25.55,24.85,25.20,24.80,0.40,1.61
UltraTechCement,"7,000.00","6,867.05","6,964.55","6,854.40",110.15,1.61
Hind Zinc,315.00,309.65,314.30,309.35,4.95,1.6
Shree Renuka,58.25,56.70,57.50,56.60,0.90,1.59
Hero Motocorp,"2,754.05","2,692.00","2,730.75","2,688.40",42.35,1.58
Divis Labs,"3,330.00","3,279.00","3,326.60","3,275.70",50.90,1.55
Home First,676.70,655.90,671.30,661.30,10.00,1.51
MOTHERSON,74.20,72.40,74.00,72.90,1.10,1.51
Dhani Services,52.35,50.25,51.05,50.30,0.75,1.49
Natco Pharma,584.85,574.05,581.95,573.40,8.55,1.49
Indiamart Inter,"4,745.00","4,639.90","4,704.25","4,635.60",68.65,1.48
Shyam Metalics,304.00,298.75,303.05,298.65,4.40,1.47
Exide Ind,184.95,178.05,181.85,179.30,2.55,1.42
Ajanta Pharma,"1,283.70","1,255.85","1,280.25","1,262.40",17.85,1.41
