company_name,high,low,last_price,prev_close,change,percent_gain
Amber Enterpris,"2,228.90","2,056.65","2,171.85","1,882.20",289.65,15.39
Tanla Platforms,772.70,667.05,748.30,669.30,79.00,11.8
CreditAccess Gr,"1,212.70","1,120.00","1,171.50","1,085.90",85.60,7.88
Karur Vysya,107.80,98.05,105.05,97.65,7.40,7.58
IDBI Bank,56.95,53.20,56.65,53.30,3.35,6.29
IIFL Finance,469.00,440.65,464.35,439.85,24.50,5.57
Exide Ind,207.30,195.70,205.45,194.75,10.70,5.49
Suzlon Energy,8.80,8.20,8.65,8.20,0.45,5.49
GSFC,182.60,168.20,180.55,171.20,9.35,5.46
MTAR Tech,"2,010.00","1,905.30","1,998.05","1,898.95",99.10,5.22
Brightcom Group,16.35,16.35,16.35,15.60,0.75,4.81
Equitas Bank,82.70,77.85,82.05,78.30,3.75,4.79
Cyient,"1,293.85","1,236.00","1,287.25","1,230.15",57.10,4.64
CHEMPLAST SANMA,452.95,415.20,448.25,432.20,16.05,3.71
Triveni Turbine,407.95,382.30,398.35,384.30,14.05,3.66
Amara Raja Batt,653.95,627.00,649.00,626.35,22.65,3.62
Endurance Techn,"1,464.95","1,365.55","1,433.75","1,385.45",48.30,3.49
Shoppers Stop,734.80,705.00,729.30,705.35,23.95,3.4
Procter&Gamble,"4,998.00","4,809.05","4,978.55","4,826.30",152.25,3.15
Jubilant Food,485.00,449.50,481.10,466.70,14.40,3.09
Chalet Hotels,430.65,414.00,427.40,414.90,12.50,3.01
Max Healthcare,528.40,508.50,522.60,507.75,14.85,2.92
Guj Alkali,708.20,680.60,703.80,684.90,18.90,2.76
TeamLease Ser.,"2,435.00","2,255.20","2,316.50","2,256.05",60.45,2.68
Aster DM Health,263.20,253.00,261.75,254.95,6.80,2.67
GMM Pfaudler,"1,482.00","1,443.90","1,478.30","1,440.50",37.80,2.62
Rail Vikas,124.40,119.15,121.85,118.75,3.10,2.61
CCL Products,627.00,593.95,607.55,592.40,15.15,2.56
Polyplex Corp,"1,573.20","1,510.00","1,546.30","1,507.80",38.50,2.55
Fortis Health,283.25,275.60,282.25,275.55,6.70,2.43
Quess Corp,399.50,387.55,396.75,387.45,9.30,2.4
Welspun Corp,239.45,230.35,235.85,230.35,5.50,2.39
Ramco Cements,792.70,771.05,789.00,771.05,17.95,2.33
Escorts Kubota,"2,136.00","2,062.00","2,116.30","2,068.40",47.90,2.32
Deepak Nitrite,"1,979.45","1,928.95","1,972.90","1,929.20",43.70,2.27
Carborundum,"1,173.85","1,136.00","1,167.75","1,142.30",25.45,2.23
PCBL,133.30,128.70,132.00,129.20,2.80,2.17
G R Infra,"1,092.95","1,061.05","1,085.20","1,062.35",22.85,2.15
RITES,406.10,388.80,396.50,388.35,8.15,2.1
MRPL,66.00,63.10,64.55,63.25,1.30,2.06
Sudarshan Chem,409.80,391.95,403.10,394.95,8.15,2.06
Torrent Pharma,"1,662.35","1,622.00","1,656.10","1,622.85",33.25,2.05
Astral Ltd,"1,725.40","1,662.20","1,719.85","1,686.50",33.35,1.98
Fert and Chem,322.95,311.25,316.60,310.45,6.15,1.98
Bharat Dynamics,"1,104.95","1,054.00","1,075.35","1,054.65",20.70,1.96
Sanofi India,"6,564.00","6,394.60","6,551.30","6,425.15",126.15,1.96
Coromandel Int,"1,004.30",953.00,979.75,962.15,17.60,1.83
Can Fin Homes,673.45,649.60,670.55,658.50,12.05,1.83
Persistent,"4,813.45","4,684.00","4,804.35","4,718.00",86.35,1.83
Chambal Fert,304.95,295.10,301.20,295.90,5.30,1.79
Motilal Oswal,641.90,618.85,633.95,622.80,11.15,1.79
Oil India,267.85,261.80,265.65,261.05,4.60,1.76
Galaxy Surfacta,"2,650.00","2,599.65","2,645.25","2,599.65",45.60,1.75
Guj State Petro,289.80,278.65,285.05,280.25,4.80,1.71
Dixon Technolog,"3,019.05","2,916.05","2,961.10","2,912.55",48.55,1.67
Suprajit Eng,403.55,391.25,402.55,395.95,6.60,1.67
Aarti Drugs,472.00,455.60,466.05,458.50,7.55,1.65
IFB Industries,831.00,815.40,827.15,813.90,13.25,1.63
Saregama India,331.95,322.25,329.35,324.15,5.20,1.6
Graphite India,344.60,335.85,342.50,337.15,5.35,1.59
Radico Khaitan,"1,129.30","1,102.35","1,122.70","1,105.15",17.55,1.59
Varroc Engineer,305.00,292.05,299.30,294.85,4.45,1.51
SUMITOMO,396.00,388.50,394.55,388.75,5.80,1.49
PB Fintech,641.90,614.10,636.55,627.50,9.05,1.44
Godfrey Phillip,"1,738.00","1,706.00","1,734.05","1,709.85",24.20,1.42
eClerx Services,"1,360.90","1,334.75","1,353.50","1,334.65",18.85,1.41
Finolex Cables,910.00,891.10,904.35,891.95,12.40,1.39
Hero Motocorp,"2,766.40","2,682.40","2,722.95","2,686.00",36.95,1.38
City Union Bank,141.25,138.50,140.60,138.70,1.90,1.37
Alembic Pharma,569.55,560.00,567.65,560.10,7.55,1.35
Ambuja Cements,407.00,399.30,406.30,400.90,5.40,1.35
IRFC,34.65,33.60,34.00,33.55,0.45,1.34
Uflex,444.60,434.55,442.40,436.60,5.80,1.33
BASF,"2,537.25","2,420.35","2,490.40","2,458.20",32.20,1.31
Berger Paints,624.50,610.50,620.10,612.10,8.00,1.31
IndusInd Bank,"1,248.00","1,214.00","1,236.15","1,220.30",15.85,1.3
Rashtriya Chem,108.20,104.45,107.15,105.80,1.35,1.28
Sundram,"1,097.40","1,061.00","1,079.50","1,066.00",13.50,1.27
ICICI Securitie,505.00,495.50,501.65,495.55,6.10,1.23
Home First,706.00,696.00,703.10,694.65,8.45,1.22
Hindustan Aeron,"3,168.80","3,101.70","3,133.90","3,096.75",37.15,1.2
Thermax,"2,490.00","2,455.00","2,460.65","2,431.85",28.80,1.18
Shriram Finance,"1,350.60","1,325.10","1,344.20","1,328.60",15.60,1.17
CRISIL,"3,600.00","3,510.00","3,578.35","3,537.25",41.10,1.16
Gujarat Pipavav,117.00,113.80,115.50,114.20,1.30,1.14
Intellect Desig,550.00,534.95,546.30,540.15,6.15,1.14
ITI,109.60,105.20,106.65,105.45,1.20,1.14
MRF,"97,900.00","96,299.80","97,655.10","96,551.85","1,103.25",1.14
NCC,114.60,111.45,113.25,112.05,1.20,1.07
Transport Corp,683.00,671.00,678.80,671.65,7.15,1.06
Gujarat Gas,496.00,485.00,491.50,486.45,5.05,1.04
GNFC,656.75,641.70,654.75,648.10,6.65,1.03
Indian Hotels,376.40,364.25,367.50,363.75,3.75,1.03
Poonawalla Fin,332.40,321.15,328.55,325.30,3.25,1
CSB Bank,290.90,285.05,289.55,286.70,2.85,0.99
Bharat Forge,778.90,763.35,776.85,769.30,7.55,0.98
Hikal,301.65,292.85,298.70,295.80,2.90,0.98
Tube Investment,"2,728.40","2,682.05","2,707.40","2,681.25",26.15,0.98
Triveni Engg,267.50,262.80,264.60,262.05,2.55,0.97
Privi Special,"1,117.20","1,080.00","1,114.85","1,104.35",10.50,0.95
Torrent Power,536.40,524.80,534.45,529.60,4.85,0.92
L&T Finance,101.45,98.55,99.90,99.00,0.90,0.91
Sterling Wilson,297.10,288.25,293.60,291.00,2.60,0.89
Apollo Tyres,371.00,365.00,369.10,365.90,3.20,0.87
Varun Beverages,"1,624.00","1,580.00","1,587.75","1,574.05",13.70,0.87
ITC,428.95,422.60,427.60,423.95,3.65,0.86
EID Parry,508.65,499.00,503.35,499.15,4.20,0.84
Interglobe Avi,"2,307.00","2,268.00","2,300.20","2,281.00",19.20,0.84
BHEL,83.20,80.20,82.25,81.60,0.65,0.8
Linde India,"3,980.00","3,879.00","3,937.85","3,907.15",30.70,0.79
360 ONE WAM,418.00,399.10,405.85,402.65,3.20,0.79
360 ONE WAM,418.00,399.10,405.85,402.65,3.20,0.79
Indigo Paints,"1,348.00","1,311.70","1,327.50","1,317.35",10.15,0.77
NIIT,368.90,362.05,366.80,364.05,2.75,0.76
Brigade Ent,550.00,538.00,542.70,538.65,4.05,0.75
Poly Medicure,990.00,974.30,983.30,976.00,7.30,0.75
UPL,683.45,672.15,677.80,672.85,4.95,0.74
Thyrocare Techn,466.40,455.50,463.65,460.35,3.30,0.72
SIS,395.85,388.00,392.70,389.95,2.75,0.71
Bajaj Electric,"1,191.00","1,160.75","1,174.70","1,166.55",8.15,0.7
Fine Organics,"4,499.95","4,409.45","4,479.30","4,448.25",31.05,0.7
Infibeam Avenue,14.55,13.90,14.30,14.20,0.10,0.7
Adani Wilmar,388.80,377.50,385.75,383.15,2.60,0.68
BPCL,369.50,363.95,364.75,362.30,2.45,0.68
HEG,"1,238.45","1,212.00","1,223.00","1,214.80",8.20,0.68
Praj Industries,355.75,345.15,349.70,347.35,2.35,0.68
Bosch,"19,219.95","18,945.10","19,135.65","19,007.70",127.95,0.67
Supreme Ind,"2,820.00","2,760.00","2,798.75","2,780.00",18.75,0.67
Bank of Mah,31.60,30.75,31.20,31.00,0.20,0.65
Bayer CropScien,"4,172.40","4,135.00","4,160.15","4,133.25",26.90,0.65
KPIT Tech,938.50,927.50,933.15,927.20,5.95,0.64
Greenpanel Ind,331.75,323.55,329.40,327.35,2.05,0.63
IOC,88.60,87.30,87.55,87.00,0.55,0.63
TVS Motor,"1,256.80","1,225.55","1,252.00","1,244.10",7.90,0.63
AIA Engineering,"2,809.00","2,763.25","2,800.70","2,783.35",17.35,0.62
Bharti Airtel,797.65,783.90,792.25,787.35,4.90,0.62
PNB,49.50,48.50,49.30,49.00,0.30,0.61
Godrej Consumer,"1,023.00","1,010.85","1,018.35","1,012.25",6.10,0.6
Ajanta Pharma,"1,283.30","1,267.45","1,274.30","1,266.80",7.50,0.59
Sun Pharma Adv,198.80,194.60,196.10,194.95,1.15,0.59
Hind Zinc,313.60,310.15,312.35,310.55,1.80,0.58
Route,"1,424.55","1,365.00","1,389.15","1,381.20",7.95,0.58
Zomato,64.05,62.25,63.35,63.00,0.35,0.56
Adani Enterpris,"1,919.95","1,857.75","1,899.50","1,889.15",10.35,0.55
Federal Bank,128.15,126.05,127.65,126.95,0.70,0.55
Britannia,"4,639.20","4,583.65","4,631.90","4,606.90",25.00,0.54
SJVN,37.70,36.60,37.00,36.80,0.20,0.54
Tata Chemicals,984.55,966.60,982.10,976.80,5.30,0.54
Finolex Ind,194.40,185.05,188.70,187.70,1.00,0.53
Maruti Suzuki,"9,132.00","9,032.05","9,119.40","9,071.35",48.05,0.53
Relaxo Footwear,884.95,872.00,880.30,875.65,4.65,0.53
AstraZeneca,"3,350.00","3,266.10","3,301.00","3,283.95",17.05,0.52
Zydus Life,520.00,513.55,518.80,516.10,2.70,0.52
IRB Infra,30.25,29.05,29.10,28.95,0.15,0.52
IRB Infra,30.25,29.05,29.10,28.95,0.15,0.52
Siemens,"3,918.40","3,840.55","3,891.20","3,872.00",19.20,0.5
Century,809.00,795.75,805.45,801.55,3.90,0.49
Welspun India,94.40,91.50,92.75,92.30,0.45,0.49
Krishna Inst.,"1,535.00","1,505.05","1,530.50","1,523.40",7.10,0.47
UNO Minda,564.40,555.10,557.95,555.35,2.60,0.47
New India Assur,121.50,118.15,119.45,118.90,0.55,0.46
GMR Airports,45.70,45.05,45.60,45.40,0.20,0.44
Grindwell Norto,"2,097.00","2,050.00","2,071.25","2,062.10",9.15,0.44
LIC India,570.95,565.90,570.00,567.50,2.50,0.44
GlaxoSmithKline,"1,300.00","1,285.00","1,295.10","1,289.55",5.55,0.43
Sonata,985.70,937.15,958.40,954.25,4.15,0.43
Birla Corp,"1,012.00",992.35,999.55,995.50,4.05,0.41
Dhani Services,37.25,36.50,37.05,36.90,0.15,0.41
M&M Financial,285.90,281.70,285.05,283.90,1.15,0.41
Aegis Logistics,370.80,365.00,369.10,367.70,1.40,0.38
Balrampur Chini,382.70,375.55,380.35,378.90,1.45,0.38
Westlife Food,765.80,747.10,760.55,757.80,2.75,0.36
Trent,"1,513.15","1,486.00","1,505.55","1,500.20",5.35,0.36
Motherson SWI,55.85,54.50,55.25,55.05,0.20,0.36
Alkyl Amines,"2,554.00","2,520.00","2,545.60","2,537.05",8.55,0.34
REC,134.25,131.35,133.10,132.65,0.45,0.34
DCM Shriram,834.45,825.00,827.70,824.95,2.75,0.33
Edelweiss,62.45,60.80,61.15,60.95,0.20,0.33
Schaeffler Ind,"2,822.95","2,777.70","2,808.35","2,799.25",9.10,0.33
Polycab,"3,489.70","3,410.10","3,437.70","3,426.30",11.40,0.33
Vinati Organics,"1,971.00","1,935.00","1,961.30","1,954.85",6.45,0.33
Aether Ind,923.65,910.25,918.10,915.20,2.90,0.32
Oracle Fin Serv,"3,565.00","3,500.00","3,560.85","3,549.65",11.20,0.32
Tejas Networks,669.20,655.55,661.25,659.15,2.10,0.32
Emami,389.70,385.10,388.05,386.90,1.15,0.3
Mahanagar Gas,"1,065.00","1,045.45","1,057.45","1,054.35",3.10,0.29
Shilpa,261.35,256.00,257.75,257.00,0.75,0.29
India Cements,197.90,192.55,194.30,193.75,0.55,0.28
AU Small Financ,732.00,718.80,730.85,728.90,1.95,0.27
Coal India,243.70,240.75,241.60,240.95,0.65,0.27
Nazara,571.95,563.00,567.00,565.50,1.50,0.27
COFORGE LTD.,"4,234.05","4,130.75","4,214.00","4,204.00",10.00,0.24
Sapphire Foods,"1,317.05","1,291.10","1,298.75","1,295.70",3.05,0.24
V-Guard Ind,255.75,252.25,254.00,253.40,0.60,0.24
Ashok Leyland,154.35,151.75,152.90,152.55,0.35,0.23
Easy Trip,47.10,46.10,46.30,46.20,0.10,0.22
Easy Trip,47.10,46.10,46.30,46.20,0.10,0.22
SBI Card,881.70,865.50,879.40,877.50,1.90,0.22
ABB India,"3,946.05","3,877.00","3,918.90","3,910.50",8.40,0.21
Cipla,932.00,917.00,923.95,922.10,1.85,0.2
Clean Science,"1,548.75","1,495.00","1,527.40","1,524.45",2.95,0.19
HLE Glascoat,628.15,618.05,624.30,623.20,1.10,0.18
HLE Glascoat,628.15,618.05,624.30,623.20,1.10,0.18
Glenmark,613.15,607.85,608.85,607.85,1.00,0.16
Colgate,"1,681.00","1,640.70","1,663.40","1,660.95",2.45,0.15
Adani Green Ene,888.85,867.05,875.40,874.15,1.25,0.14
UTI AMC,650.70,643.90,646.25,645.35,0.90,0.14
Blue Dart,"6,049.00","5,936.00","6,009.60","6,001.75",7.85,0.13
CenturyPlyboard,579.50,570.20,575.90,575.20,0.70,0.12
Mahindra CIE,451.00,437.50,448.80,448.25,0.55,0.12
NALCO,81.70,80.70,81.35,81.25,0.10,0.12
HDFC Life,562.75,552.40,560.10,559.50,0.60,0.11
Jindal Stainles,281.70,276.40,280.40,280.10,0.30,0.11
NHPC,44.75,44.25,44.30,44.25,0.05,0.11
C. E. Info Syst,"1,069.00","1,050.00","1,061.70","1,060.65",1.05,0.1
Abbott India,"21,339.95","21,075.00","21,215.50","21,194.20",21.30,0.1
Ratnamani Metal,"2,382.85","2,330.00","2,352.70","2,350.25",2.45,0.1
TCNS Clothing C,407.60,402.35,404.35,403.95,0.40,0.1
IEX,160.75,157.50,159.35,159.20,0.15,0.09
Petronet LNG,231.10,228.10,229.65,229.45,0.20,0.09
Firstsource Sol,134.65,130.85,132.45,132.35,0.10,0.08
LTIMindtree,"4,757.00","4,681.00","4,739.90","4,736.05",3.85,0.08
Shree Cements,"24,848.95","24,350.00","24,419.00","24,398.35",20.65,0.08
Hitachi Energy,"3,873.95","3,790.00","3,815.40","3,812.65",2.75,0.07
Rossari,744.00,721.05,736.65,736.15,0.50,0.07
3M India,"23,469.90","23,001.00","23,312.75","23,299.25",13.50,0.06
Happiest Minds ,873.95,858.00,868.70,868.15,0.55,0.06
Cochin Shipyard,562.80,545.60,552.60,552.30,0.30,0.05
M&M,"1,271.70","1,260.70","1,263.10","1,262.45",0.65,0.05
Rallis India,189.30,188.10,188.95,188.85,0.10,0.05
Pidilite Ind,"2,559.20","2,523.05","2,545.10","2,544.20",0.90,0.04
Garware Technic,"3,076.50","2,966.60","2,977.40","2,976.50",0.90,0.03
PNC Infratech,327.50,316.00,319.15,319.05,0.10,0.03
UltraTechCement,"7,759.95","7,653.00","7,700.45","7,698.70",1.75,0.02
Pfizer,"3,827.95","3,801.00","3,817.75","3,817.35",0.40,0.01
