company_name,high,low,last_price,prev_close,change,percent_gain
Timken,"3,506.00","2,955.00","3,506.00","2,921.70",584.3,20
EngineersInd,81.20,72.85,80.70,73.30,7.4,10.1
Union Bank,70.90,66.45,70.25,66.05,4.2,6.36
Godfrey Phillip,"1,885.00","1,747.05","1,860.05","1,751.25",108.8,6.21
NLC India,81.20,75.70,80.45,75.90,4.55,5.99
TeamLease Ser.,"2,689.95","2,415.05","2,575.55","2,437.10",138.45,5.68
Equitas Bank,57.05,50.25,53.50,50.80,2.7,5.31
TataTeleservice,102.20,97.35,102.20,97.35,4.85,4.98
NBCC (India),38.90,36.20,38.00,36.30,1.7,4.68
Tata Coffee,231.50,220.55,230.75,221.10,9.65,4.36
IRFC,28.70,27.15,27.90,26.95,0.95,3.53
HUDCO,49.80,46.55,48.90,47.25,1.65,3.49
Shriram Trans,"1,309.80","1,232.00","1,275.65","1,233.65",42,3.4
KEI Industries,"1,648.00","1,573.00","1,625.35","1,573.20",52.15,3.31
Welspun Corp,239.30,226.20,236.95,229.75,7.2,3.13
CHEMPLAST SANMA,412.85,389.00,400.35,388.40,11.95,3.08
Asahi India,643.75,608.00,633.35,614.90,18.45,3
Raymond,"1,363.00","1,281.00","1,336.85","1,299.65",37.2,2.86
Suven Pharma,480.00,461.30,475.50,462.30,13.2,2.86
ABB India,"3,135.00","3,013.90","3,122.20","3,035.65",86.55,2.85
KPIT Tech,703.70,671.10,695.80,676.85,18.95,2.8
Polyplex Corp,"1,848.00","1,763.00","1,818.25","1,769.25",49,2.77
Macrotech Dev,"1,020.00",967.25,"1,013.15",986.25,26.9,2.73
Endurance Techn,"1,510.00","1,448.05","1,499.95","1,461.30",38.65,2.64
GMR Airports,37.90,35.60,37.35,36.40,0.95,2.61
NIIT,314.90,302.75,312.50,304.75,7.75,2.54
Exide Ind,187.20,182.00,186.70,182.15,4.55,2.5
CCL Products,522.00,503.55,517.95,505.40,12.55,2.48
Schaeffler Ind,"3,016.45","2,852.30","2,987.65","2,917.45",70.2,2.41
Home First,740.90,717.20,733.00,717.40,15.6,2.17
TATA Cons. Prod,789.45,766.00,786.00,769.55,16.45,2.14
Bharat Elec,111.35,108.10,110.60,108.30,2.3,2.12
Power Finance,124.80,120.15,123.05,120.50,2.55,2.12
Central Bank,23.25,22.25,22.85,22.40,0.45,2.01
Blue Dart,"7,175.00","7,002.25","7,155.40","7,015.30",140.1,2
Cyient,854.00,801.40,824.55,808.75,15.8,1.95
Prince Pipes,577.90,559.05,576.50,565.55,10.95,1.94
Poonawalla Fin,315.00,304.00,312.70,306.80,5.9,1.92
RHI Magnesita,629.80,615.05,626.75,614.95,11.8,1.92
SKF India,"4,950.05","4,836.10","4,940.45","4,850.40",90.05,1.86
INDUS TOWERS,197.30,192.50,196.55,193.05,3.5,1.81
GE Shipping,621.35,601.85,613.90,603.00,10.9,1.81
CSB Bank,226.65,219.90,222.10,218.35,3.75,1.72
Indian Hotels,317.80,306.65,315.60,310.30,5.3,1.71
RBL Bank,146.65,142.00,145.20,142.80,2.4,1.68
Suprajit Eng,340.00,332.30,337.45,331.95,5.5,1.66
Hind Zinc,326.80,319.95,324.25,319.05,5.2,1.63
MOTHERSON,73.55,71.40,73.30,72.15,1.15,1.59
Adani Enterpris,"4,033.00","3,900.00","4,018.15","3,956.60",61.55,1.56
MMTC Ltd,36.75,35.55,36.10,35.55,0.55,1.55
Sapphire Foods,"1,369.80","1,303.65","1,342.55","1,322.35",20.2,1.53
KRBL,403.95,392.00,400.35,394.50,5.85,1.48
Pfizer,"4,511.50","4,392.00","4,496.20","4,432.30",63.9,1.44
Varun Beverages,"1,150.80","1,123.00","1,147.95","1,131.60",16.35,1.44
Federal Bank,135.60,132.80,134.95,133.15,1.8,1.35
Vijaya Diagnost,460.90,442.00,457.65,451.60,6.05,1.34
Sunteck Realty,400.00,385.60,396.45,391.30,5.15,1.32
NOCIL,232.85,226.10,230.60,227.60,3,1.32
PNC Infratech,269.75,263.15,267.35,263.90,3.45,1.31
Larsen,"2,059.00","2,001.10","2,029.55","2,003.60",25.95,1.3
Indiabulls Hsg,127.50,123.80,125.85,124.25,1.6,1.29
Cochin Shipyard,684.40,652.00,674.90,666.70,8.2,1.23
Borosil Renew,549.80,538.15,547.40,540.95,6.45,1.19
JBM Auto,433.95,413.95,428.35,423.35,5,1.18
Balkrishna Ind,"1,997.10","1,927.15","1,978.35","1,956.30",22.05,1.13
Intellect Desig,451.40,438.10,448.55,443.55,5,1.13
PCBL,136.50,133.30,135.10,133.60,1.5,1.12
