company_name,high,low,last_price,prev_close,change,percent_gain
Adani Enterpris,"2,347.00","1,983.40","2,326.10","1,956.05",370.05,18.92
Elgi Equipments,564.80,484.40,557.50,472.20,85.3,18.06
Adani Wilmar,444.30,413.10,444.30,403.95,40.35,9.99
Suzlon Energy,9.60,8.50,9.25,8.50,0.75,8.82
Muthoot Finance,"1,134.00","1,046.00","1,124.20","1,034.90",89.3,8.63
Narayana Hruda,856.00,798.05,831.35,773.15,58.2,7.53
Cyient,"1,416.00","1,309.25","1,386.75","1,299.75",87,6.69
Balkrishna Ind,"2,299.40","2,130.10","2,291.05","2,148.95",142.1,6.61
Dixon Technolog,"3,273.20","3,041.05","3,231.55","3,035.35",196.2,6.46
NLC India,92.35,87.40,91.00,85.50,5.5,6.43
Triveni Turbine,403.00,378.85,401.05,377.45,23.6,6.25
Adani Ports,753.40,693.15,729.70,688.10,41.6,6.05
Mastek,"1,999.90","1,897.30","1,994.55","1,888.25",106.3,5.63
Divis Labs,"3,271.15","3,051.00","3,265.00","3,098.30",166.7,5.38
Ambuja Cements,433.70,405.00,423.90,403.15,20.75,5.15
Adani Total Gas,722.50,711.60,722.50,688.10,34.4,5
Adani Trans,826.70,825.00,826.70,787.35,39.35,5
Adani Green Ene,941.75,928.95,941.75,896.95,44.8,4.99
ACC,"1,843.30","1,730.95","1,813.40","1,729.05",84.35,4.88
Brightcom Group,15.50,14.10,15.50,14.80,0.7,4.73
Angel One,"1,259.90","1,198.10","1,249.30","1,195.90",53.4,4.47
Kajaria Ceramic,"1,247.00","1,190.05","1,243.65","1,192.15",51.5,4.32
Ramco Cements,884.65,836.30,879.90,843.90,36,4.27
Dr Lal PathLab,"2,024.95","1,931.00","2,018.20","1,940.15",78.05,4.02
Indiabulls Real,58.35,54.55,57.05,54.90,2.15,3.92
LTIMindtree,"5,015.40","4,810.00","4,987.45","4,803.00",184.45,3.84
Prince Pipes,604.85,571.05,594.20,572.25,21.95,3.84
CG Power ,354.60,339.10,353.00,340.65,12.35,3.63
Poonawalla Fin,348.80,331.25,346.60,334.55,12.05,3.6
Apollo Hospital,"4,625.00","4,451.95","4,605.30","4,447.15",158.15,3.56
Krishna Inst.,"1,629.95","1,517.15","1,590.40","1,537.20",53.2,3.46
Sun TV Network,441.80,425.80,440.45,425.90,14.55,3.42
MphasiS,"1,974.70","1,907.50","1,968.80","1,906.50",62.3,3.27
Happiest Minds ,909.80,873.55,903.25,875.00,28.25,3.23
Bharat Elec,111.30,107.60,110.45,107.00,3.45,3.22
Persistent,"5,056.25","4,890.00","5,041.10","4,888.20",152.9,3.13
Ceat,"1,948.25","1,870.00","1,928.05","1,870.20",57.85,3.09
CreditAccess Gr,"1,268.95","1,200.30","1,257.60","1,220.10",37.5,3.07
Tech Mahindra,"1,110.45","1,070.10","1,104.45","1,072.15",32.3,3.01
HEG,"1,266.00","1,227.20","1,260.90","1,224.50",36.4,2.97
Container Corp,646.10,622.25,644.90,626.35,18.55,2.96
SUMITOMO,399.00,387.55,397.85,386.45,11.4,2.95
KEC Intl,563.40,519.00,555.20,539.70,15.5,2.87
NIIT,404.40,381.05,396.75,386.25,10.5,2.72
Swan Energy,243.45,235.05,236.25,230.10,6.15,2.67
PNB,50.75,49.70,50.55,49.25,1.3,2.64
