company_name,high,low,last_price,prev_close,change,percent_gain
Vodafone Idea,8.95,7.75,8.65,7.90,0.75,9.49
General Insuran,164.30,146.90,159.90,146.75,13.15,8.96
New India Assur,126.95,112.75,122.45,112.40,10.05,8.94
PNB Housing Fin,487.90,444.25,481.05,443.05,38,8.58
Suzlon Energy,11.00,10.10,10.90,10.10,0.8,7.92
Finolex Ind,181.95,166.00,180.20,168.35,11.85,7.04
Infibeam Avenue,20.35,17.80,19.35,18.10,1.25,6.91
Sona BLW,483.30,452.00,479.20,449.90,29.3,6.51
RBL Bank,169.20,158.10,167.55,157.75,9.8,6.21
TV18 Broadcast,43.00,40.00,41.90,39.60,2.3,5.81
Sundram,977.60,920.05,969.65,920.50,49.15,5.34
IOB,33.60,29.50,32.45,30.85,1.6,5.19
Indiabulls Hsg,154.45,138.10,144.85,137.80,7.05,5.12
RHI Magnesita,818.00,770.35,811.80,774.30,37.5,4.84
MRPL,62.80,58.40,61.50,58.70,2.8,4.77
Rajesh Exports,750.00,707.00,741.95,709.00,32.95,4.65
Network 18,78.40,72.20,75.40,72.15,3.25,4.5
Indoco Remedies,400.00,380.40,398.40,381.35,17.05,4.47
Bank of Mah,36.20,32.50,34.10,32.65,1.45,4.44
IDFC First Bank,63.20,60.00,62.70,60.15,2.55,4.24
Borosil Renew,548.85,523.10,544.00,522.75,21.25,4.07
Westlife Food,775.00,740.50,770.50,740.50,30,4.05
Shoppers Stop,720.30,684.00,716.80,689.65,27.15,3.94
PCBL,139.80,129.50,137.10,132.05,5.05,3.82
Raymond,"1,517.00","1,418.15","1,464.30","1,410.50",53.8,3.81
Balrampur Chini,385.00,363.40,382.40,368.55,13.85,3.76
City Union Bank,203.70,196.00,203.10,195.80,7.3,3.73
Gujarat Pipavav,99.60,91.50,94.80,91.45,3.35,3.66
AAVAS Financier,"1,996.95","1,918.95","1,988.05","1,919.00",69.05,3.6
Solar Ind,"4,193.65","4,030.00","4,180.30","4,040.20",140.1,3.47
Caplin Labs,740.70,706.05,738.05,713.75,24.3,3.4
Edelweiss,71.70,66.75,69.90,67.60,2.3,3.4
V-Guard Ind,270.90,259.95,269.80,260.95,8.85,3.39
Triveni Turbine,308.50,293.85,304.25,294.50,9.75,3.31
L&T Technology,"4,045.00","3,924.00","4,029.65","3,905.05",124.6,3.19
NBCC (India),43.75,41.60,42.65,41.35,1.3,3.14
Suven Pharma,480.00,465.95,478.95,464.45,14.5,3.12
Motilal Oswal,678.95,656.05,676.30,656.50,19.8,3.02
Mastek,"1,848.70","1,758.00","1,803.90","1,751.75",52.15,2.98
Hind Copper,118.35,115.35,117.90,114.50,3.4,2.97
SRF,"2,405.00","2,336.40","2,399.95","2,330.80",69.15,2.97
GAIL,96.30,93.15,96.00,93.25,2.75,2.95
LTIMindtree,"4,465.00","4,350.00","4,443.15","4,317.80",125.35,2.9
Persistent,"4,215.00","4,101.30","4,197.20","4,079.60",117.6,2.88
Oil India,215.90,207.65,213.90,207.95,5.95,2.86
Hinduja Global,"1,367.75","1,313.30","1,354.25","1,317.90",36.35,2.76
INDUS TOWERS,200.50,193.85,199.70,194.45,5.25,2.7
TTK Prestige,878.40,830.05,850.80,828.70,22.1,2.67
Suprajit Eng,351.00,335.70,346.45,337.55,8.9,2.64
Rattanindia Ent,49.45,47.50,48.70,47.45,1.25,2.63
